type,column,group_key,baseline_method,baseline_value,bad_direction
A,Head_Temp,PKG_A|RCP_1,"initial_window_mean(n=25, machine pooled)",41.91008,up
A,Vibration,PKG_A|RCP_1,"initial_window_mean(n=25, machine pooled)",0.14054,up
A,Alignment_Time,PKG_A|RCP_1,"initial_window_mean(n=25, machine pooled)",0.3958,up
A,Process_Time,PKG_A|RCP_1,"initial_window_mean(n=25, machine pooled)",5.01684,up
A,Cooling_Flow,PKG_A|RCP_1,"initial_window_mean(n=25, machine pooled)",9.99544,down
A,Cooling_Water_Temp,PKG_A|RCP_1,"initial_window_mean(n=25, machine pooled)",21.97392,up
A,CLN_Flow,PKG_A|RCP_1,"initial_window_mean(n=25, machine pooled)",9.9776,down
A,Coating_Flow,PKG_A|RCP_1,"initial_window_mean(n=25, machine pooled)",49.95316,down
A,Head_Temp,PKG_A|RCP_2,"initial_window_mean(n=25, machine pooled)",41.99356,up
A,Vibration,PKG_A|RCP_2,"initial_window_mean(n=25, machine pooled)",0.14403,up
A,Alignment_Time,PKG_A|RCP_2,"initial_window_mean(n=25, machine pooled)",0.39794,up
A,Process_Time,PKG_A|RCP_2,"initial_window_mean(n=25, machine pooled)",4.99332,up
A,Cooling_Flow,PKG_A|RCP_2,"initial_window_mean(n=25, machine pooled)",9.97628,down
A,Cooling_Water_Temp,PKG_A|RCP_2,"initial_window_mean(n=25, machine pooled)",21.96388,up
A,CLN_Flow,PKG_A|RCP_2,"initial_window_mean(n=25, machine pooled)",10.00452,down
A,Coating_Flow,PKG_A|RCP_2,"initial_window_mean(n=25, machine pooled)",50.01904,down
A,Head_Temp,PKG_A|RCP_3,"initial_window_mean(n=25, machine pooled)",41.94472,up
A,Vibration,PKG_A|RCP_3,"initial_window_mean(n=25, machine pooled)",0.15006,up
A,Alignment_Time,PKG_A|RCP_3,"initial_window_mean(n=25, machine pooled)",0.40592,up
A,Process_Time,PKG_A|RCP_3,"initial_window_mean(n=25, machine pooled)",4.99692,up
A,Cooling_Flow,PKG_A|RCP_3,"initial_window_mean(n=25, machine pooled)",10.00096,down
A,Cooling_Water_Temp,PKG_A|RCP_3,"initial_window_mean(n=25, machine pooled)",21.92796,up
A,CLN_Flow,PKG_A|RCP_3,"initial_window_mean(n=25, machine pooled)",10.00468,down
A,Coating_Flow,PKG_A|RCP_3,"initial_window_mean(n=25, machine pooled)",50.1566,down
A,Head_Temp,PKG_A|RCP_4,"initial_window_mean(n=25, machine pooled)",42.0328,up
A,Vibration,PKG_A|RCP_4,"initial_window_mean(n=25, machine pooled)",0.14454,up
A,Alignment_Time,PKG_A|RCP_4,"initial_window_mean(n=25, machine pooled)",0.40078,up
A,Process_Time,PKG_A|RCP_4,"initial_window_mean(n=25, machine pooled)",4.95536,up
A,Cooling_Flow,PKG_A|RCP_4,"initial_window_mean(n=25, machine pooled)",9.98904,down
A,Cooling_Water_Temp,PKG_A|RCP_4,"initial_window_mean(n=25, machine pooled)",22.01192,up
A,CLN_Flow,PKG_A|RCP_4,"initial_window_mean(n=25, machine pooled)",9.99552,down
A,Coating_Flow,PKG_A|RCP_4,"initial_window_mean(n=25, machine pooled)",50.08312,down
A,Head_Temp,PKG_A|RCP_5,"initial_window_mean(n=25, machine pooled)",42.04564,up
A,Vibration,PKG_A|RCP_5,"initial_window_mean(n=25, machine pooled)",0.15848,up
A,Alignment_Time,PKG_A|RCP_5,"initial_window_mean(n=25, machine pooled)",0.40155,up
A,Process_Time,PKG_A|RCP_5,"initial_window_mean(n=25, machine pooled)",4.9908,up
A,Cooling_Flow,PKG_A|RCP_5,"initial_window_mean(n=25, machine pooled)",10.01104,down
A,Cooling_Water_Temp,PKG_A|RCP_5,"initial_window_mean(n=25, machine pooled)",22.03248,up
A,CLN_Flow,PKG_A|RCP_5,"initial_window_mean(n=25, machine pooled)",9.98572,down
A,Coating_Flow,PKG_A|RCP_5,"initial_window_mean(n=25, machine pooled)",49.92908,down
A,Head_Temp,PKG_A|RCP_6,"initial_window_mean(n=25, machine pooled)",41.93996,up
A,Vibration,PKG_A|RCP_6,"initial_window_mean(n=25, machine pooled)",0.14282,up
A,Alignment_Time,PKG_A|RCP_6,"initial_window_mean(n=25, machine pooled)",0.39904,up
A,Process_Time,PKG_A|RCP_6,"initial_window_mean(n=25, machine pooled)",4.97724,up
A,Cooling_Flow,PKG_A|RCP_6,"initial_window_mean(n=25, machine pooled)",9.99764,down
A,Cooling_Water_Temp,PKG_A|RCP_6,"initial_window_mean(n=25, machine pooled)",21.945,up
A,CLN_Flow,PKG_A|RCP_6,"initial_window_mean(n=25, machine pooled)",9.98372,down
A,Coating_Flow,PKG_A|RCP_6,"initial_window_mean(n=25, machine pooled)",49.99892,down
A,Head_Temp,PKG_A|RCP_7,"initial_window_mean(n=25, machine pooled)",41.94848,up
A,Vibration,PKG_A|RCP_7,"initial_window_mean(n=25, machine pooled)",0.15426,up
A,Alignment_Time,PKG_A|RCP_7,"initial_window_mean(n=25, machine pooled)",0.39543,up
A,Process_Time,PKG_A|RCP_7,"initial_window_mean(n=25, machine pooled)",5.01184,up
A,Cooling_Flow,PKG_A|RCP_7,"initial_window_mean(n=25, machine pooled)",9.96984,down
A,Cooling_Water_Temp,PKG_A|RCP_7,"initial_window_mean(n=25, machine pooled)",21.93176,up
A,CLN_Flow,PKG_A|RCP_7,"initial_window_mean(n=25, machine pooled)",9.98884,down
A,Coating_Flow,PKG_A|RCP_7,"initial_window_mean(n=25, machine pooled)",50.0406,down
A,Head_Temp,PKG_A|RCP_8,"initial_window_mean(n=25, machine pooled)",42.0128,up
A,Vibration,PKG_A|RCP_8,"initial_window_mean(n=25, machine pooled)",0.14826,up
A,Alignment_Time,PKG_A|RCP_8,"initial_window_mean(n=25, machine pooled)",0.39392,up
A,Process_Time,PKG_A|RCP_8,"initial_window_mean(n=25, machine pooled)",5.04592,up
A,Cooling_Flow,PKG_A|RCP_8,"initial_window_mean(n=25, machine pooled)",9.9726,down
A,Cooling_Water_Temp,PKG_A|RCP_8,"initial_window_mean(n=25, machine pooled)",21.94604,up
A,CLN_Flow,PKG_A|RCP_8,"initial_window_mean(n=25, machine pooled)",10.01608,down
A,Coating_Flow,PKG_A|RCP_8,"initial_window_mean(n=25, machine pooled)",50.10228,down
A,Head_Temp,PKG_A|RCP_9,"initial_window_mean(n=25, machine pooled)",42.09604,up
A,Vibration,PKG_A|RCP_9,"initial_window_mean(n=25, machine pooled)",0.15078,up
A,Alignment_Time,PKG_A|RCP_9,"initial_window_mean(n=25, machine pooled)",0.40252,up
A,Process_Time,PKG_A|RCP_9,"initial_window_mean(n=25, machine pooled)",4.98612,up
A,Cooling_Flow,PKG_A|RCP_9,"initial_window_mean(n=25, machine pooled)",9.98728,down
