column,matched_defect,group_key,threshold,n_NG,NG_rate_below,NG_rate_above,risky_direction
CLN_Pressure,Remain_Coat,PKG_A|RCP_1,297.00999,40,0.1858,0.0106,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_2,296.70201,41,0.2195,0.013,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_3,296.53751,50,0.2841,0.0146,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_4,296.82199,45,0.2706,0.013,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_5,297.00301,53,0.2586,0.0131,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_6,296.9435,45,0.3363,0.0042,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_7,296.845,40,0.2095,0.0101,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_8,296.8905,39,0.1765,0.0118,low_is_risky
CLN_Pressure,Remain_Coat,PKG_A|RCP_9,297.0005,34,0.168,0.0073,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_1,296.9875,45,0.2464,0.0061,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_2,297,46,0.1949,0.0128,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_3,296.99651,40,0.2583,0.0052,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_4,296.93599,43,0.2195,0.009,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_5,296.78349,35,0.2143,0.0082,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_6,296.972,58,0.2791,0.013,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_7,297.026,43,0.1984,0.0107,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_8,296.96449,45,0.2636,0.0095,low_is_risky
CLN_Pressure,Remain_Coat,PKG_B|RCP_9,296.948,49,0.2222,0.0113,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_1,296.98399,40,0.2353,0.0072,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_2,296.679,41,0.2083,0.0117,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_3,296.9915,39,0.194,0.0075,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_4,296.97801,45,0.194,0.0113,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_5,296.776,46,0.2455,0.0108,low_is_risky
CLN_Pressure,Remain_Coat,PKG_C|RCP_6,296.94901,50,0.2441,0.0115,low_is_risky
