stratum_type,stratum_value,n,n_burn,rate
Machine_ID,DP01,24720,94,0.003802588996763754
Machine_ID,DP02,24882,95,0.0038180210594003696
Machine_ID,DP03,25018,100,0.003997122072108082
Machine_ID,DP04,25380,103,0.004058313632781718
Product_ID,PKG_A,16667,79,0.004739905201895962
Product_ID,PKG_B,16628,65,0.003909069040173202
Product_ID,PKG_C,16631,59,0.0035475918465516206
Product_ID,PKG_D,16442,69,0.004196569760369784
Product_ID,PKG_E,16801,64,0.0038092970656508542
Product_ID,PKG_F,16831,56,0.0033271938684570138
Recipe_ID,RCP_1,11307,42,0.0037145131334571503
Recipe_ID,RCP_2,11164,47,0.00420996058760301
Recipe_ID,RCP_3,11055,46,0.0041610131162369965
Recipe_ID,RCP_4,11091,37,0.0033360382291948427
Recipe_ID,RCP_5,11082,44,0.003970402454430608
Recipe_ID,RCP_6,10946,35,0.0031975150739996347
Recipe_ID,RCP_7,11018,50,0.004538028680341259
Recipe_ID,RCP_8,11142,52,0.004667025668641177
Recipe_ID,RCP_9,11195,39,0.0034836980794997765
Product_ID+Recipe_ID,PKG_A|RCP_1,1909,5,0.0026191723415400735
Product_ID+Recipe_ID,PKG_A|RCP_2,1853,11,0.0059363194819212085
Product_ID+Recipe_ID,PKG_A|RCP_3,1800,4,0.0022222222222222222
Product_ID+Recipe_ID,PKG_A|RCP_4,1775,10,0.005633802816901409
Product_ID+Recipe_ID,PKG_A|RCP_5,1870,12,0.006417112299465241
Product_ID+Recipe_ID,PKG_A|RCP_6,1793,8,0.004461795872838818
Product_ID+Recipe_ID,PKG_A|RCP_7,1885,8,0.004244031830238726
Product_ID+Recipe_ID,PKG_A|RCP_8,1875,15,0.008
Product_ID+Recipe_ID,PKG_A|RCP_9,1907,6,0.003146303093864709
Product_ID+Recipe_ID,PKG_B|RCP_1,1942,9,0.004634397528321318
Product_ID+Recipe_ID,PKG_B|RCP_2,1912,5,0.002615062761506276
Product_ID+Recipe_ID,PKG_B|RCP_3,1845,4,0.002168021680216802
Product_ID+Recipe_ID,PKG_B|RCP_4,1896,12,0.006329113924050633
Product_ID+Recipe_ID,PKG_B|RCP_5,1805,5,0.002770083102493075
Product_ID+Recipe_ID,PKG_B|RCP_6,1819,9,0.004947773501924134
Product_ID+Recipe_ID,PKG_B|RCP_7,1806,10,0.005537098560354375
Product_ID+Recipe_ID,PKG_B|RCP_8,1790,7,0.003910614525139665
Product_ID+Recipe_ID,PKG_B|RCP_9,1813,4,0.002206287920573635
Product_ID+Recipe_ID,PKG_C|RCP_1,1786,6,0.0033594624860022394
Product_ID+Recipe_ID,PKG_C|RCP_2,1896,12,0.006329113924050633
Product_ID+Recipe_ID,PKG_C|RCP_3,1868,7,0.003747323340471092
Product_ID+Recipe_ID,PKG_C|RCP_4,1809,3,0.001658374792703151
Product_ID+Recipe_ID,PKG_C|RCP_5,1865,4,0.0021447721179624667
Product_ID+Recipe_ID,PKG_C|RCP_6,1778,4,0.0022497187851518562
Product_ID+Recipe_ID,PKG_C|RCP_7,1835,9,0.004904632152588556
Product_ID+Recipe_ID,PKG_C|RCP_8,1859,6,0.0032275416890801506
Product_ID+Recipe_ID,PKG_C|RCP_9,1935,8,0.004134366925064599
Product_ID+Recipe_ID,PKG_D|RCP_1,1868,11,0.005888650963597431
Product_ID+Recipe_ID,PKG_D|RCP_2,1775,5,0.0028169014084507044
Product_ID+Recipe_ID,PKG_D|RCP_3,1843,7,0.0037981551817688553
Product_ID+Recipe_ID,PKG_D|RCP_4,1756,6,0.003416856492027335
Product_ID+Recipe_ID,PKG_D|RCP_5,1841,8,0.0043454644215100485
Product_ID+Recipe_ID,PKG_D|RCP_6,1859,7,0.0037654653039268424
Product_ID+Recipe_ID,PKG_D|RCP_7,1827,4,0.0021893814997263274
Product_ID+Recipe_ID,PKG_D|RCP_8,1786,14,0.007838745800671893
Product_ID+Recipe_ID,PKG_D|RCP_9,1887,7,0.0037095919448860626
Product_ID+Recipe_ID,PKG_E|RCP_1,1866,5,0.0026795284030010718
Product_ID+Recipe_ID,PKG_E|RCP_2,1860,8,0.004301075268817204
Product_ID+Recipe_ID,PKG_E|RCP_3,1873,16,0.008542445274959957
Product_ID+Recipe_ID,PKG_E|RCP_4,1900,4,0.002105263157894737
Product_ID+Recipe_ID,PKG_E|RCP_5,1837,6,0.00326619488296135
Product_ID+Recipe_ID,PKG_E|RCP_6,1825,2,0.001095890410958904
Product_ID+Recipe_ID,PKG_E|RCP_7,1824,9,0.004934210526315789
Product_ID+Recipe_ID,PKG_E|RCP_8,1957,5,0.0025549310168625446
Product_ID+Recipe_ID,PKG_E|RCP_9,1859,9,0.004841312533620226
Product_ID+Recipe_ID,PKG_F|RCP_1,1936,6,0.0030991735537190084
Product_ID+Recipe_ID,PKG_F|RCP_2,1868,6,0.0032119914346895075
Product_ID+Recipe_ID,PKG_F|RCP_3,1826,8,0.004381161007667032
Product_ID+Recipe_ID,PKG_F|RCP_4,1955,2,0.0010230179028132991
Product_ID+Recipe_ID,PKG_F|RCP_5,1864,9,0.004828326180257511
Product_ID+Recipe_ID,PKG_F|RCP_6,1872,5,0.002670940170940171
Product_ID+Recipe_ID,PKG_F|RCP_7,1841,10,0.005431830526887561
Product_ID+Recipe_ID,PKG_F|RCP_8,1875,5,0.0026666666666666666
Product_ID+Recipe_ID,PKG_F|RCP_9,1794,5,0.002787068004459309
