column,subsystem,domain_mechanism,domain_direction_hypothesis,p_fdr_is_burn_primary,cliffs_delta_is_burn_primary,p_fdr_is_burn_broad,cliffs_delta_is_burn_broad,importance_mean_is_burn_primary,rank_is_burn_primary,importance_mean_is_burn_broad,rank_is_burn_broad,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,verdict
Frequency,fdc_motion,에너지 투입(펄스 중첩),up,4.505304384798249e-245,0.9799793762979452,7.056376268822042e-276,0.9806566231457143,0.13293872357585096,1,0.1583472641846231,1,2,2,2,confirmed
Thermal_Load_Ratio,engineered,에너지투입/방열 비율(신규 공학 피처),up,3.403981354779886e-74,0.5370351778973577,2.9461095395206653e-80,0.5269014813376878,0.0006197997705415126,12,0.006034007544858966,3,2,2,1,confirmed
Surface_Roughness,response,"결과 공변(동반증상 후보, 원인 아닐 수 있음)",up,8.995460086868153e-10,0.18715492280760992,1.4909389463784035e-16,0.23555553460146994,-0.003239515043158612,23,0.0028259564253050227,6,2,1,1,confirmed
Top_Kerf,response,"결과 공변, Kerf_Width_Profile과 동일 메커니즘 상속(HealthIndex 설계서 근거)",either,3.6864258962535234e-13,0.2219184663062881,6.725074744022268e-14,0.2142647032597429,-0.003794771602538146,25,-0.00022239999916148594,24,1,2,0,candidate_weak_signal
Bottom_Kerf,response,"결과 공변, Kerf_Width_Profile과 동일 메커니즘 상속(HealthIndex 설계서 근거)",either,4.9265174865544384e-11,0.20139167475278597,9.822262439784092e-12,0.19529159876233337,-0.0091670435289844,33,-0.003460486463986904,32,1,1,0,candidate_weak_signal
Kerf_Width_Profile,response,"결과 공변(동반증상 후보, 원인 아닐 수 있음)",either,4.9948912699835936e-11,0.2004049496475162,2.538106308538481e-11,0.19092795600480206,-0.002848760960095061,21,-0.0037851077813238986,34,1,1,0,candidate_weak_signal
Coating_Flow,fdc_cleaning,도메인 가설 없음,unknown,0.6219856783247784,0.04331451227587646,0.9012312006995497,0.03529021032640567,-0.0008495803004629783,17,0.00403497620222182,4,1,0,1,insufficient_evidence
Cooling_Flow,fdc_thermal,방열 능력,down,0.9524092365297667,-0.02795924309005593,0.9603413274488297,-0.0052127159685778635,0.007152226210455341,2,0.0076517738843351595,2,1,0,2,candidate_weak_signal
Package_Size_1,response,도메인 가설 없음,unknown,0.9524092365297667,0.0212855823399154,0.9603413274488297,0.016430166786093547,0.0016862727142173276,10,-2.381885587217821e-06,20,1,0,1,insufficient_evidence
Power_Efficiency,fdc_laser,에너지 투입,either,0.9524092365297667,0.01791087389095858,0.9603413274488297,0.01396004452196542,0.005053268815159743,4,-0.005934318597646602,36,1,0,1,candidate_weak_signal
Coating_Uniformity,response,도메인 가설 없음,unknown,0.9524092365297667,0.017667265886356143,0.9603413274488297,0.008343051359898546,-0.003913774240876757,26,0.0029742012134852873,5,1,0,1,insufficient_evidence
CLN_Pressure,fdc_cleaning,이물/잔사(레이저 흡수),down,0.9524092365297667,0.016880918096898956,0.9603413274488297,-0.002304425555247347,-0.0033472172661885274,24,0.002071128127756289,8,1,0,1,candidate_weak_signal
Laser_Centering_Position,fdc_laser,빔 품질/집속,either,0.9524092365297667,-0.015382006649740432,0.9603413274488297,-0.01269261843824232,0.0026241507914762765,8,0.0008481640665279862,17,1,0,1,candidate_weak_signal
Package_Size_3,response,도메인 가설 없음,unknown,0.9524092365297667,0.014108698957054466,0.9603413274488297,0.007003925861803317,0.0027892748989979455,7,-0.00025256927550781536,25,1,0,1,insufficient_evidence
Focus,fdc_thermal,빔 품질/집속,either,0.9524092365297667,0.012370379643303897,0.9603413274488297,0.0023611610194154142,0.0033453110778597956,5,-0.0006543397885375058,26,1,0,1,candidate_weak_signal
Process_Time,fdc_motion,체류시간(열 축적),up,0.9524092365297667,0.0072656497142267185,0.9603413274488297,0.01955899894953972,-0.0005397785094297225,16,0.002775172722923223,7,1,0,1,candidate_weak_signal
Laser_Power,fdc_laser,에너지 투입,up,0.9524092365297667,0.006090379389246614,0.9603413274488297,0.013959087922408964,0.005132301642293061,3,0.0013396451333606914,15,1,0,1,candidate_weak_signal
Groove_Depth,response,"결과 공변(동반증상 후보, 원인 아닐 수 있음)",either,0.9524092365297667,-0.0056530272136161575,0.9603413274488297,-0.004399743002696299,0.002849631327606818,6,0.0005835104698464174,19,1,0,1,candidate_weak_signal
Laser_Head_Remain_Time,fdc_cleaning,헤드 노후,down,0.9698458652904215,-0.0033143698809537936,0.9758428843058397,-0.0008343825750015688,-0.007030057245509932,32,0.0015036453943420773,10,1,0,1,candidate_weak_signal
Cutting_X_Index,fdc_motion,도메인 가설 없음,unknown,0.9698458652904215,0.003083029352613176,0.9603413274488297,-0.008679683299040342,-0.009525358747867514,34,0.002032724461613561,9,1,0,1,insufficient_evidence
