stratum_type,stratum_value,n,n_defect,rate
Machine_ID,DP01,24720,1448,0.05857605177993527
Machine_ID,DP02,24882,1698,0.06824210272486135
Machine_ID,DP03,25018,1783,0.0712686865456871
Machine_ID,DP04,25380,1526,0.060126083530338846
Product_ID,PKG_A,16667,1130,0.06779864402711945
Product_ID,PKG_B,16628,1125,0.06765696415684387
Product_ID,PKG_C,16631,986,0.05928687391016776
Product_ID,PKG_D,16442,1029,0.06258362729594939
Product_ID,PKG_E,16801,1101,0.06553181358252486
Product_ID,PKG_F,16831,1084,0.0644049670251322
Recipe_ID,RCP_1,11307,717,0.06341204563544707
Recipe_ID,RCP_2,11164,715,0.06404514510927983
Recipe_ID,RCP_3,11055,717,0.06485753052917231
Recipe_ID,RCP_4,11091,743,0.06699125417004778
Recipe_ID,RCP_5,11082,704,0.06352643927088973
Recipe_ID,RCP_6,10946,737,0.06733053170107801
Recipe_ID,RCP_7,11018,735,0.06670902160101652
Recipe_ID,RCP_8,11142,688,0.06174833961586789
Recipe_ID,RCP_9,11195,699,0.06243858865564984
Product_ID+Recipe_ID,PKG_A|RCP_1,1909,126,0.06600314300680984
Product_ID+Recipe_ID,PKG_A|RCP_2,1853,151,0.08148947652455478
Product_ID+Recipe_ID,PKG_A|RCP_3,1800,113,0.06277777777777778
Product_ID+Recipe_ID,PKG_A|RCP_4,1775,116,0.06535211267605634
Product_ID+Recipe_ID,PKG_A|RCP_5,1870,115,0.06149732620320856
Product_ID+Recipe_ID,PKG_A|RCP_6,1793,127,0.07083100948131622
Product_ID+Recipe_ID,PKG_A|RCP_7,1885,131,0.06949602122015915
Product_ID+Recipe_ID,PKG_A|RCP_8,1875,121,0.06453333333333333
Product_ID+Recipe_ID,PKG_A|RCP_9,1907,130,0.0681699003670687
Product_ID+Recipe_ID,PKG_B|RCP_1,1942,123,0.06333676622039135
Product_ID+Recipe_ID,PKG_B|RCP_2,1912,111,0.05805439330543933
Product_ID+Recipe_ID,PKG_B|RCP_3,1845,127,0.06883468834688347
Product_ID+Recipe_ID,PKG_B|RCP_4,1896,134,0.07067510548523206
Product_ID+Recipe_ID,PKG_B|RCP_5,1805,119,0.06592797783933518
Product_ID+Recipe_ID,PKG_B|RCP_6,1819,139,0.07641561297416163
Product_ID+Recipe_ID,PKG_B|RCP_7,1806,148,0.08194905869324474
Product_ID+Recipe_ID,PKG_B|RCP_8,1790,105,0.05865921787709497
Product_ID+Recipe_ID,PKG_B|RCP_9,1813,119,0.06563706563706563
Product_ID+Recipe_ID,PKG_C|RCP_1,1786,112,0.06270996640537514
Product_ID+Recipe_ID,PKG_C|RCP_2,1896,104,0.05485232067510549
Product_ID+Recipe_ID,PKG_C|RCP_3,1868,115,0.06156316916488223
Product_ID+Recipe_ID,PKG_C|RCP_4,1809,124,0.0685461580983969
Product_ID+Recipe_ID,PKG_C|RCP_5,1865,117,0.06273458445040214
Product_ID+Recipe_ID,PKG_C|RCP_6,1778,92,0.05174353205849269
Product_ID+Recipe_ID,PKG_C|RCP_7,1835,109,0.05940054495912807
Product_ID+Recipe_ID,PKG_C|RCP_8,1859,108,0.05809575040344271
Product_ID+Recipe_ID,PKG_C|RCP_9,1935,105,0.05426356589147287
Product_ID+Recipe_ID,PKG_D|RCP_1,1868,112,0.059957173447537475
Product_ID+Recipe_ID,PKG_D|RCP_2,1775,105,0.059154929577464786
Product_ID+Recipe_ID,PKG_D|RCP_3,1843,120,0.06511123168746609
Product_ID+Recipe_ID,PKG_D|RCP_4,1756,124,0.07061503416856492
Product_ID+Recipe_ID,PKG_D|RCP_5,1841,109,0.059206952743074415
Product_ID+Recipe_ID,PKG_D|RCP_6,1859,126,0.06777837547068316
Product_ID+Recipe_ID,PKG_D|RCP_7,1827,115,0.06294471811713191
Product_ID+Recipe_ID,PKG_D|RCP_8,1786,108,0.060470324748040316
Product_ID+Recipe_ID,PKG_D|RCP_9,1887,110,0.05829358770535241
Product_ID+Recipe_ID,PKG_E|RCP_1,1866,121,0.06484458735262594
Product_ID+Recipe_ID,PKG_E|RCP_2,1860,120,0.06451612903225806
Product_ID+Recipe_ID,PKG_E|RCP_3,1873,136,0.07261078483715963
Product_ID+Recipe_ID,PKG_E|RCP_4,1900,121,0.06368421052631579
Product_ID+Recipe_ID,PKG_E|RCP_5,1837,113,0.061513336962438755
Product_ID+Recipe_ID,PKG_E|RCP_6,1825,123,0.06739726027397261
Product_ID+Recipe_ID,PKG_E|RCP_7,1824,117,0.06414473684210527
Product_ID+Recipe_ID,PKG_E|RCP_8,1957,141,0.07204905467552376
Product_ID+Recipe_ID,PKG_E|RCP_9,1859,109,0.0586336740182894
Product_ID+Recipe_ID,PKG_F|RCP_1,1936,123,0.06353305785123967
Product_ID+Recipe_ID,PKG_F|RCP_2,1868,124,0.06638115631691649
Product_ID+Recipe_ID,PKG_F|RCP_3,1826,106,0.05805038335158817
Product_ID+Recipe_ID,PKG_F|RCP_4,1955,124,0.06342710997442455
Product_ID+Recipe_ID,PKG_F|RCP_5,1864,131,0.07027896995708155
Product_ID+Recipe_ID,PKG_F|RCP_6,1872,130,0.06944444444444445
Product_ID+Recipe_ID,PKG_F|RCP_7,1841,115,0.06246605105920695
Product_ID+Recipe_ID,PKG_F|RCP_8,1875,105,0.056
Product_ID+Recipe_ID,PKG_F|RCP_9,1794,126,0.07023411371237458
