column,subsystem,domain_status,domain_mechanism,domain_direction_hypothesis,p_fdr_is_particle_primary,cliffs_delta_is_particle_primary,p_fdr_is_particle_broad,cliffs_delta_is_particle_broad,importance_mean_is_particle_primary,rank_is_particle_primary,importance_mean_is_particle_broad,rank_is_particle_broad,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,verdict
Surface_Roughness,response,defect_related,"결과 공변(동반증상 후보) — particle이 표면에 남아 거칠기 증가 가능성, 원인 아닐 수 있음",up,0.0,0.7154543406643203,0.0,0.6101969464804329,0.12376291629223352,1,0.12074120324721023,1,2,2,2,confirmed
Vibration,fdc_mechanical,defect_related,기계적 진동 — 디브리 비산/재부착,up,1.5739152951872774e-190,0.21950818104956915,1.5777285580762321e-176,0.1936674991519931,0.00375982741939588,2,0.0008681899597458316,8,2,1,2,confirmed
Kerf_Width_Profile,response,defect_related,가공 제거량 — 넓을수록 디브리 발생량 증가,up,0.04641808737296885,0.020384506162486327,0.11297710771714678,0.014228153345208883,0.0006267913128813974,10,-0.0024099314899167484,40,1,0,1,candidate_weak_signal
Cooling_Flow,fdc_thermal,not_related_to_defect,"방열 계열 — Burn 전용 메커니즘(열 축적), 디브리 발생과 직접 연결고리 없음",not_applicable,0.12086021506244414,-0.01674985205966928,0.02912826287888403,-0.018279344489790295,0.00012756985871704892,14,0.0011403816644510493,6,1,0,1,insufficient_evidence
Alignment_Time,fdc_motion,not_related_to_defect,"체류시간/열축적 계열 — Burn 전용 메커니즘, 디브리 발생과 직접 연결고리 약함",not_applicable,0.21358990670522826,0.014043669940350556,0.09278192282856026,0.014982300194614107,0.002223500090971849,4,0.0015356622113862739,4,1,0,2,insufficient_evidence
CLN_Pressure,fdc_cleaning,defect_related,세정 능력 — 압력 부족 시 디브리 잔류,down,0.3391543788453428,0.01133287396237348,7.530925462754381e-39,-0.09013542216713144,0.0008135167100673838,8,0.020565712421081232,2,1,0,2,candidate_weak_signal
Groove_Depth,response,defect_related,가공 제거량 — 깊을수록 디브리 발생량 증가,up,0.4491652139361134,-0.009717834637964273,0.48804053326604685,-0.0071651668324377304,0.0014994721076825941,5,-0.0006379475636574353,36,1,0,1,candidate_weak_signal
Laser_Current,fdc_laser,team_undetermined,"HealthIndex 설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,0.7690129148240534,-0.005013050173352962,0.665194428840657,-0.004175847933392984,0.0010292271214970487,6,0.00033232409572004165,14,1,0,1,insufficient_evidence
Package_Size_3,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 디브리와 무관",not_applicable,0.7879137632063583,-0.0038511543693021677,0.9351637396528151,-0.0007546145002584881,0.0009323602927797307,7,0.00010420886230595635,20,1,0,1,insufficient_evidence
Coating_Thickness,response,team_undetermined,"HealthIndex 설계서 G유형(미해결형) — 측정 시점(가공전/후)이 불확실, 팀 미확정",unknown,0.8085592410823832,0.002964414124617898,2.83684495134207e-09,-0.042962155566238724,0.003463298551219655,3,0.008059299591710683,3,1,0,2,insufficient_evidence
