stratum_type,stratum_value,n,n_defect,rate
Machine_ID,DP01,24720,510,0.02063106796116505
Machine_ID,DP02,24882,482,0.019371433164536614
Machine_ID,DP03,25018,465,0.01858661763530258
Machine_ID,DP04,25380,875,0.03447596532702916
Product_ID,PKG_A,16667,387,0.023219535609287814
Product_ID,PKG_B,16628,404,0.024296367572768825
Product_ID,PKG_C,16631,392,0.023570440743190427
Product_ID,PKG_D,16442,370,0.022503345091837976
Product_ID,PKG_E,16801,382,0.022736741860603534
Product_ID,PKG_F,16831,397,0.02358742796031133
Recipe_ID,RCP_1,11307,251,0.022198638011851065
Recipe_ID,RCP_2,11164,269,0.02409530634181297
Recipe_ID,RCP_3,11055,249,0.022523744911804613
Recipe_ID,RCP_4,11091,247,0.022270309259760167
Recipe_ID,RCP_5,11082,272,0.02454430608193467
Recipe_ID,RCP_6,10946,265,0.024209756988854376
Recipe_ID,RCP_7,11018,259,0.023506988564167726
Recipe_ID,RCP_8,11142,265,0.02378388081134446
Recipe_ID,RCP_9,11195,255,0.022778025904421618
Product_ID+Recipe_ID,PKG_A|RCP_1,1909,40,0.020953378732320588
Product_ID+Recipe_ID,PKG_A|RCP_2,1853,41,0.022126281705342688
Product_ID+Recipe_ID,PKG_A|RCP_3,1800,50,0.027777777777777776
Product_ID+Recipe_ID,PKG_A|RCP_4,1775,45,0.02535211267605634
Product_ID+Recipe_ID,PKG_A|RCP_5,1870,53,0.028342245989304814
Product_ID+Recipe_ID,PKG_A|RCP_6,1793,45,0.02509760178471835
Product_ID+Recipe_ID,PKG_A|RCP_7,1885,40,0.021220159151193633
Product_ID+Recipe_ID,PKG_A|RCP_8,1875,39,0.0208
Product_ID+Recipe_ID,PKG_A|RCP_9,1907,34,0.01782905086523335
Product_ID+Recipe_ID,PKG_B|RCP_1,1942,45,0.023171987641606592
Product_ID+Recipe_ID,PKG_B|RCP_2,1912,46,0.02405857740585774
Product_ID+Recipe_ID,PKG_B|RCP_3,1845,40,0.02168021680216802
Product_ID+Recipe_ID,PKG_B|RCP_4,1896,43,0.02267932489451477
Product_ID+Recipe_ID,PKG_B|RCP_5,1805,35,0.019390581717451522
Product_ID+Recipe_ID,PKG_B|RCP_6,1819,58,0.03188565145684442
Product_ID+Recipe_ID,PKG_B|RCP_7,1806,43,0.023809523809523808
Product_ID+Recipe_ID,PKG_B|RCP_8,1790,45,0.025139664804469275
Product_ID+Recipe_ID,PKG_B|RCP_9,1813,49,0.02702702702702703
Product_ID+Recipe_ID,PKG_C|RCP_1,1786,40,0.022396416573348264
Product_ID+Recipe_ID,PKG_C|RCP_2,1896,41,0.021624472573839662
Product_ID+Recipe_ID,PKG_C|RCP_3,1868,39,0.0208779443254818
Product_ID+Recipe_ID,PKG_C|RCP_4,1809,45,0.024875621890547265
Product_ID+Recipe_ID,PKG_C|RCP_5,1865,46,0.024664879356568366
Product_ID+Recipe_ID,PKG_C|RCP_6,1778,50,0.0281214848143982
Product_ID+Recipe_ID,PKG_C|RCP_7,1835,41,0.0223433242506812
Product_ID+Recipe_ID,PKG_C|RCP_8,1859,53,0.028509951586874662
Product_ID+Recipe_ID,PKG_C|RCP_9,1935,37,0.019121447028423774
Product_ID+Recipe_ID,PKG_D|RCP_1,1868,37,0.01980728051391863
Product_ID+Recipe_ID,PKG_D|RCP_2,1775,54,0.030422535211267605
Product_ID+Recipe_ID,PKG_D|RCP_3,1843,44,0.02387411828540423
Product_ID+Recipe_ID,PKG_D|RCP_4,1756,31,0.01765375854214123
Product_ID+Recipe_ID,PKG_D|RCP_5,1841,40,0.021727322107550243
Product_ID+Recipe_ID,PKG_D|RCP_6,1859,36,0.019365250134480903
Product_ID+Recipe_ID,PKG_D|RCP_7,1827,53,0.029009304871373837
Product_ID+Recipe_ID,PKG_D|RCP_8,1786,36,0.020156774916013438
Product_ID+Recipe_ID,PKG_D|RCP_9,1887,39,0.02066772655007949
Product_ID+Recipe_ID,PKG_E|RCP_1,1866,42,0.022508038585209004
Product_ID+Recipe_ID,PKG_E|RCP_2,1860,40,0.021505376344086023
Product_ID+Recipe_ID,PKG_E|RCP_3,1873,41,0.02189001601708489
Product_ID+Recipe_ID,PKG_E|RCP_4,1900,43,0.022631578947368423
Product_ID+Recipe_ID,PKG_E|RCP_5,1837,47,0.02558519324986391
Product_ID+Recipe_ID,PKG_E|RCP_6,1825,34,0.01863013698630137
Product_ID+Recipe_ID,PKG_E|RCP_7,1824,40,0.021929824561403508
Product_ID+Recipe_ID,PKG_E|RCP_8,1957,51,0.026060296371997957
Product_ID+Recipe_ID,PKG_E|RCP_9,1859,44,0.023668639053254437
Product_ID+Recipe_ID,PKG_F|RCP_1,1936,47,0.02427685950413223
Product_ID+Recipe_ID,PKG_F|RCP_2,1868,47,0.025160599571734475
Product_ID+Recipe_ID,PKG_F|RCP_3,1826,35,0.019167579408543262
Product_ID+Recipe_ID,PKG_F|RCP_4,1955,40,0.020460358056265986
Product_ID+Recipe_ID,PKG_F|RCP_5,1864,51,0.02736051502145923
Product_ID+Recipe_ID,PKG_F|RCP_6,1872,42,0.022435897435897436
Product_ID+Recipe_ID,PKG_F|RCP_7,1841,42,0.022813688212927757
Product_ID+Recipe_ID,PKG_F|RCP_8,1875,41,0.021866666666666666
Product_ID+Recipe_ID,PKG_F|RCP_9,1794,52,0.028985507246376812
