column,subsystem,domain_status,domain_mechanism,domain_direction_hypothesis,p_fdr_is_remcoat_primary,cliffs_delta_is_remcoat_primary,p_fdr_is_remcoat_broad,cliffs_delta_is_remcoat_broad,importance_mean_is_remcoat_primary,rank_is_remcoat_primary,importance_mean_is_remcoat_broad,rank_is_remcoat_broad,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,verdict
CLN_Pressure,fdc_cleaning,defect_related,세정 능력 — 압력 부족 시 코팅 미제거 (HealthIndex 설계서 C유형 명시적 근거),down,0.0,-0.5427964392058482,0.0,-0.5427964392058482,0.15048612223690877,1,0.15048612223690877,1,2,2,2,confirmed
Coating_Thickness,response,team_undetermined,HealthIndex 설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실. **REM_COAT에서는 데이터 누수 위험이 특히 큼**: 세정 후 측정값이라면 잔류 코팅량과 사실상 동어반복이 되어 '원인'이 아니라 '같은 것을 두 번 재는' 문제가 된다. 측정 시점 확인 전까지는 후보에서 제외.,unknown,2.3439896487819962e-116,-0.27895662791108544,2.3439896487819962e-116,-0.27895662791108544,0.06555829770356711,2,0.06555829770356711,2,2,2,2,candidate_needs_domain_review
Cleaning_Load_Ratio,engineered,defect_related,팀 공용 피처(디브리수요/세정능력) — 분자가 원래 디브리(Particle) 기준이라 이 defect엔 다소 부정확할 수 있으나 세정능력 축은 공유,up,4.939683605661186e-57,0.19447374699080333,4.939683605661186e-57,0.19447374699080333,0.004633164668360969,4,0.004633164668360969,4,1,0,2,candidate_weak_signal
Cleaning_Capacity,engineered,defect_related,"팀 공용 피처(CLN_Flow×Pressure×Time) — 세정 능력 종합지표, 이 defect의 핵심 메커니즘",down,5.943038521772363e-56,-0.19238207907195104,5.943038521772363e-56,-0.19238207907195104,0.0027310512860609037,7,0.0027310512860609037,7,1,0,2,candidate_weak_signal
CLN_Flow,fdc_cleaning,defect_related,세정 능력 — 유량 부족 시 코팅 미제거 (HealthIndex 설계서 CLN_Pressure 근거와 동일 계열),down,1.807762130197062e-32,-0.14559893930577705,1.807762130197062e-32,-0.14559893930577705,0.02134777394019836,3,0.02134777394019836,3,1,0,2,candidate_weak_signal
Laser_Power,fdc_laser,not_related_to_defect,"절단(레이저) 서브시스템 — 코팅 제거는 별도의 세정 서브시스템이 담당한다고 판단, 세정 효율과 직접 연결고리 없음",not_applicable,0.03235087292818051,0.03397643861013799,0.03235087292818051,0.03397643861013799,0.0018872086704966576,10,0.0018872086704966576,10,1,0,2,insufficient_evidence
Coating_Uniformity,response,team_undetermined,HealthIndex 설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실. Coating_Thickness와 동일한 데이터 누수 위험으로 제외.,unknown,0.046302656197163325,-0.031927863962564085,0.046302656197163325,-0.031927863962564085,0.003950315267171737,6,0.003950315267171737,6,1,0,2,insufficient_evidence
Laser_Cleaning_Demand,engineered,not_related_to_defect,"팀 공용 피처(Laser_Power×Groove_Depth) — '디브리 발생 수요' 개념이라 Particle에 더 적합, Remain_Coat(코팅 자체 잔류)와는 개념이 다름",not_applicable,0.11234286720122172,0.027166441659639995,0.11234286720122172,0.027166441659639995,0.002429380370823379,8,0.002429380370823379,8,1,0,2,insufficient_evidence
Feed_Speed,fdc_motion,not_related_to_defect,"방열/체류시간 계열 — Burn 전용 메커니즘, 세정과 무관",not_applicable,0.15446478973230476,0.024415887940740344,0.15446478973230476,0.024415887940740344,0.004067113492440975,5,0.004067113492440975,5,1,0,2,insufficient_evidence
Cooling_Flow,fdc_thermal,not_related_to_defect,"방열/체류시간 계열 — Burn 전용 메커니즘, 세정 효율과 직접 연결고리 없음",not_applicable,0.9824557778429506,0.0014026058525289375,0.9824557778429506,0.0014026058525289375,0.0021206811507916107,9,0.0021206811507916107,9,1,0,2,insufficient_evidence
