stratum_type,stratum_value,n,n_defect,rate
Machine_ID,DP01,24720,5,0.0002022653721682848
Machine_ID,DP02,24882,8,0.0003215175628968732
Machine_ID,DP03,25018,9,0.0003597409864897274
Machine_ID,DP04,25380,12,0.00047281323877068556
Product_ID,PKG_A,16667,4,0.00023999520009599807
Product_ID,PKG_B,16628,3,0.00018041857108491702
Product_ID,PKG_C,16631,5,0.0003006433768264085
Product_ID,PKG_D,16442,10,0.000608198515995621
Product_ID,PKG_E,16801,7,0.00041664186655556215
Product_ID,PKG_F,16831,5,0.0002970708811122334
Recipe_ID,RCP_1,11307,7,0.0006190855222428585
Recipe_ID,RCP_2,11164,2,0.00017914725904693657
Recipe_ID,RCP_3,11055,6,0.000542740841248304
Recipe_ID,RCP_4,11091,4,0.0003606527815345776
Recipe_ID,RCP_5,11082,5,0.0004511820970943873
Recipe_ID,RCP_6,10946,1,9.13575735428467e-05
Recipe_ID,RCP_7,11018,2,0.0001815211472136504
Recipe_ID,RCP_8,11142,5,0.00044875246813857474
Recipe_ID,RCP_9,11195,2,0.0001786511835640911
Product_ID+Recipe_ID,PKG_A|RCP_1,1909,1,0.0005238344683080147
Product_ID+Recipe_ID,PKG_A|RCP_2,1853,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_3,1800,1,0.0005555555555555556
Product_ID+Recipe_ID,PKG_A|RCP_4,1775,2,0.0011267605633802818
Product_ID+Recipe_ID,PKG_A|RCP_5,1870,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_6,1793,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_7,1885,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_8,1875,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_9,1907,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_1,1942,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_2,1912,1,0.0005230125523012552
Product_ID+Recipe_ID,PKG_B|RCP_3,1845,1,0.0005420054200542005
Product_ID+Recipe_ID,PKG_B|RCP_4,1896,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_5,1805,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_6,1819,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_7,1806,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_8,1790,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_9,1813,1,0.0005515719801434088
Product_ID+Recipe_ID,PKG_C|RCP_1,1786,1,0.0005599104143337066
Product_ID+Recipe_ID,PKG_C|RCP_2,1896,1,0.0005274261603375527
Product_ID+Recipe_ID,PKG_C|RCP_3,1868,1,0.0005353319057815846
Product_ID+Recipe_ID,PKG_C|RCP_4,1809,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_5,1865,1,0.0005361930294906167
Product_ID+Recipe_ID,PKG_C|RCP_6,1778,1,0.0005624296962879641
Product_ID+Recipe_ID,PKG_C|RCP_7,1835,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_8,1859,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_9,1935,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_1,1868,2,0.0010706638115631692
Product_ID+Recipe_ID,PKG_D|RCP_2,1775,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_3,1843,1,0.0005425935973955507
Product_ID+Recipe_ID,PKG_D|RCP_4,1756,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_5,1841,3,0.0016295491580662683
Product_ID+Recipe_ID,PKG_D|RCP_6,1859,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_7,1827,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_8,1786,3,0.0016797312430011197
Product_ID+Recipe_ID,PKG_D|RCP_9,1887,1,0.0005299417064122947
Product_ID+Recipe_ID,PKG_E|RCP_1,1866,1,0.0005359056806002144
Product_ID+Recipe_ID,PKG_E|RCP_2,1860,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_3,1873,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_4,1900,1,0.0005263157894736842
Product_ID+Recipe_ID,PKG_E|RCP_5,1837,1,0.0005443658138268917
Product_ID+Recipe_ID,PKG_E|RCP_6,1825,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_7,1824,2,0.0010964912280701754
Product_ID+Recipe_ID,PKG_E|RCP_8,1957,2,0.001021972406745018
Product_ID+Recipe_ID,PKG_E|RCP_9,1859,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_1,1936,2,0.0010330578512396695
Product_ID+Recipe_ID,PKG_F|RCP_2,1868,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_3,1826,2,0.001095290251916758
Product_ID+Recipe_ID,PKG_F|RCP_4,1955,1,0.0005115089514066496
Product_ID+Recipe_ID,PKG_F|RCP_5,1864,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_6,1872,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_7,1841,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_8,1875,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_9,1794,0,0.0
