column,subsystem,domain_status,domain_mechanism,domain_direction_hypothesis,p_fdr_is_crack_primary,cliffs_delta_is_crack_primary,p_fdr_is_crack_broad,cliffs_delta_is_crack_broad,importance_mean_is_crack_primary,rank_is_crack_primary,importance_mean_is_crack_broad,rank_is_crack_broad,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,verdict
Frequency,fdc_motion,defect_related,"열피로 — 펄스 반복에 의한 열-기계 피로 축적 가능성(제 추론, Burn의 펄스중첩 가설과 연결)",up,2.2730604490543487e-16,0.8555146985269109,1.5276094008516934e-16,0.7831796402378635,0.2030177378226917,1,0.3259522533396161,1,2,2,2,confirmed
Surface_Roughness,response,defect_related,"결과 공변(동반증상 후보) — 균열이 표면 거칠기를 바꿀 가능성, 원인 아닐 수 있음(제 추론)",up,0.0005105353270407968,0.4169344047564407,1.6836909049495905e-05,0.44420261087533697,-0.007700287885029653,24,0.025049562327502765,5,2,2,1,confirmed
Top_Kerf,response,not_related_to_defect,"절단 폭, Kerf_Width_Profile과 동일 이유로 무관",not_applicable,0.0016097683966442527,0.3807423935902914,8.01583091395542e-05,0.4081790607319733,-0.01439824812563867,30,-0.011074129445910597,32,1,2,0,insufficient_evidence
CLN_Time,fdc_cleaning,not_related_to_defect,"세정 계열 — Particle/Remain_Coat 전용 메커니즘, 파단 스트레스와 무관",not_applicable,0.025226618282940826,-0.2991375891332465,0.08496278435861808,-0.21526215992459352,-0.009034190122312682,26,0.003126589530124916,26,1,1,0,insufficient_evidence
Cleaning_Capacity,engineered,not_related_to_defect,"팀 공용 피처, 세정 계열 — 파단 스트레스와 무관",not_applicable,0.030266834201831613,-0.2867657356442367,0.08496278435861808,-0.21672080675027983,-0.01000803205109607,28,0.00442556835577171,23,1,1,0,insufficient_evidence
Bottom_Kerf,response,not_related_to_defect,"절단 폭, Kerf_Width_Profile과 동일 이유로 무관",not_applicable,0.05269152407749877,0.2578550236492172,0.0013254191559064412,0.3446625311499667,-0.009917717215199875,27,-0.006199263855676381,31,1,1,0,insufficient_evidence
Kerf_Width_Profile,response,not_related_to_defect,"절단 폭 — 재질 제거 폭 지표, 파단 스트레스와는 별개 메커니즘(Particle/Chipping 계열)",not_applicable,0.054872346661576685,0.2518894659478341,0.002133036208713104,0.32879407386296666,-0.02537641886885272,34,0.010643605300155064,14,1,1,0,insufficient_evidence
Groove_Depth,response,defect_related,응력 집중 — 그루브가 깊을수록 절단 팁(선단)에 응력이 집중될 가능성(제 추론),up,0.31754277528634456,0.17372847944771808,0.644705418154663,0.0659587504047392,0.001193141444358727,10,-0.0009277928831368428,29,1,0,1,candidate_weak_signal
Alignment_Time,fdc_motion,defect_related,누적 스트레스 노출 — 위와 동일 이유(제 추론),up,0.36076822498966327,0.1632734541508818,0.4112599861352324,0.13895404432890657,-0.04543295317894714,38,0.02214924005591469,8,1,0,1,candidate_weak_signal
Process_Time,fdc_motion,defect_related,누적 스트레스 노출 — 공정시간이 길수록 누적 응력 노출 증가(제 추론),up,0.5464789430004773,-0.13784598528205472,0.6271965015121506,-0.11237265815569752,0.00549762557811139,6,0.004855340813156224,22,1,0,1,candidate_weak_signal
Package_Size_2,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — 다이 크기 불균형은 센터링 지표, 파단과 무관",not_applicable,0.7646684629808211,0.10260723940257344,0.644705418154663,0.07665581912974573,0.012015346818189086,3,0.010328658507983009,15,1,0,1,insufficient_evidence
Cooling_Thermal_Load,engineered,defect_related,"팀 공용 피처, 방열 능력 — 위와 동일 메커니즘(제 추론)",up,0.7646684629808211,-0.10245954212667596,0.644705418154663,-0.09474421098016039,0.021494056505543778,2,0.008401185871797997,19,1,0,1,candidate_weak_signal
Coating_Flow,fdc_cleaning,not_related_to_defect,"세정/코팅 계열 — Particle/Remain_Coat 전용 메커니즘, 파단 스트레스와 무관",not_applicable,0.911326429120964,-0.07766846610200406,0.644705418154663,-0.08686781092443019,-0.06754069101546999,40,0.027663144965116113,3,1,0,1,insufficient_evidence
Cutting_Y_Index,fdc_motion,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 파단 스트레스와 무관",not_applicable,0.9395080776081326,-0.059602029395877,0.644705418154663,-0.07129630465564052,0.004605883239237083,8,0.02095413966578929,9,1,0,2,insufficient_evidence
Head_Temp,fdc_thermal,defect_related,"방열 능력 — 방열 여력 저하 시 열충격 스트레스 증가(제 추론, Burn과 메커니즘 축 공유)",up,0.9935287109862209,-0.04191013179775238,0.644705418154663,-0.06723366336295444,-0.05175211224307615,39,0.039470978632466985,2,1,0,1,candidate_weak_signal
Laser_Centering_Position,fdc_laser,defect_related,빔 품질/집속 — 편심이 비대칭 열/응력 분포 유발 가능성(제 추론),either,0.9935287109862209,-0.03726561148437524,0.6458750747888823,0.06306122095424982,0.00869257082101004,5,0.026911468030025993,4,1,0,2,candidate_weak_signal
Cutting_Offset,response,not_related_to_defect,"정렬/센터링 계열(HealthIndex 설계서 E유형) — Chipping 메커니즘, 파단 스트레스와 무관",not_applicable,0.9935287109862209,0.026054152529507046,0.644705418154663,0.06555468229779082,3.494052905840261e-05,13,0.022466224327956055,7,1,0,1,insufficient_evidence
