stratum_type,stratum_value,n,n_defect,rate
Machine_ID,DP01,24720,1,4.045307443365696e-05
Machine_ID,DP02,24882,1,4.018969536210915e-05
Machine_ID,DP03,25018,1,3.9971220721080824e-05
Machine_ID,DP04,25380,1,3.940110323089047e-05
Product_ID,PKG_A,16667,1,5.999880002399952e-05
Product_ID,PKG_B,16628,0,0.0
Product_ID,PKG_C,16631,2,0.0001202573507305634
Product_ID,PKG_D,16442,0,0.0
Product_ID,PKG_E,16801,0,0.0
Product_ID,PKG_F,16831,1,5.941417622244667e-05
Recipe_ID,RCP_1,11307,0,0.0
Recipe_ID,RCP_2,11164,0,0.0
Recipe_ID,RCP_3,11055,1,9.045680687471733e-05
Recipe_ID,RCP_4,11091,0,0.0
Recipe_ID,RCP_5,11082,0,0.0
Recipe_ID,RCP_6,10946,1,9.13575735428467e-05
Recipe_ID,RCP_7,11018,0,0.0
Recipe_ID,RCP_8,11142,0,0.0
Recipe_ID,RCP_9,11195,2,0.0001786511835640911
Product_ID+Recipe_ID,PKG_A|RCP_1,1909,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_2,1853,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_3,1800,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_4,1775,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_5,1870,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_6,1793,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_7,1885,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_8,1875,0,0.0
Product_ID+Recipe_ID,PKG_A|RCP_9,1907,1,0.0005243838489774515
Product_ID+Recipe_ID,PKG_B|RCP_1,1942,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_2,1912,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_3,1845,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_4,1896,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_5,1805,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_6,1819,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_7,1806,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_8,1790,0,0.0
Product_ID+Recipe_ID,PKG_B|RCP_9,1813,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_1,1786,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_2,1896,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_3,1868,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_4,1809,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_5,1865,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_6,1778,1,0.0005624296962879641
Product_ID+Recipe_ID,PKG_C|RCP_7,1835,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_8,1859,0,0.0
Product_ID+Recipe_ID,PKG_C|RCP_9,1935,1,0.0005167958656330749
Product_ID+Recipe_ID,PKG_D|RCP_1,1868,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_2,1775,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_3,1843,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_4,1756,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_5,1841,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_6,1859,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_7,1827,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_8,1786,0,0.0
Product_ID+Recipe_ID,PKG_D|RCP_9,1887,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_1,1866,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_2,1860,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_3,1873,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_4,1900,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_5,1837,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_6,1825,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_7,1824,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_8,1957,0,0.0
Product_ID+Recipe_ID,PKG_E|RCP_9,1859,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_1,1936,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_2,1868,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_3,1826,1,0.000547645125958379
Product_ID+Recipe_ID,PKG_F|RCP_4,1955,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_5,1864,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_6,1872,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_7,1841,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_8,1875,0,0.0
Product_ID+Recipe_ID,PKG_F|RCP_9,1794,0,0.0
