column,subsystem,domain_status,domain_mechanism,domain_direction_hypothesis,p_fdr_is_chip_primary,cliffs_delta_is_chip_primary,p_fdr_is_chip_broad,cliffs_delta_is_chip_broad,importance_mean_is_chip_primary,rank_is_chip_primary,importance_mean_is_chip_broad,rank_is_chip_broad,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,verdict
Kerf_Width_Profile,response,defect_related,"절단 폭, Beam_Diameter가 만든 결과값이라 동일 메커니즘 상속 (HealthIndex 설계서 명시)",either,0.00893015859102066,0.9997849913996559,0.00893015859102066,0.9997849913996559,0.016899152542372876,1,0.016899152542372876,1,2,2,2,confirmed
Laser_Cleaning_Demand,engineered,not_related_to_defect,"팀 공용 피처, 세정 계열(디브리 발생 수요) — Chipping과 무관",not_applicable,0.00893015859102066,-0.984129365174607,0.00893015859102066,-0.984129365174607,0.004875953757335263,4,0.004875953757335263,4,2,2,2,candidate_needs_domain_review
Groove_Depth,response,defect_related,가공 깊이 — Depth 부족 시 Low-k가 완전히 승화되지 못해 Blade 진입 시 Chipping 발생 (HealthIndex 설계서 C유형 명시적 근거),down,0.025029993505915078,-0.8343333733349334,0.025029993505915078,-0.8343333733349334,0.004748726588438279,5,0.004748726588438279,5,2,2,2,confirmed
Laser_Power,fdc_laser,not_related_to_defect,"에너지 투입 계열 — Burn 전용 메커니즘(열 축적), Chipping(기계적 파손)과 직접 연결고리 없음",not_applicable,0.00893015859102066,-0.9800042001680067,0.00893015859102066,-0.9800042001680067,-0.0017813699411530872,26,-0.0017813699411530872,26,1,2,0,insufficient_evidence
Bottom_Kerf,response,defect_related,"절단 폭, Kerf_Width_Profile과 동일 메커니즘 상속",either,0.01021263224886988,0.9461478459138366,0.01021263224886988,0.9461478459138366,-0.09119899560577528,38,-0.09119899560577528,38,1,2,0,candidate_weak_signal
Top_Kerf,response,defect_related,"절단 폭, Kerf_Width_Profile과 동일 메커니즘 상속",either,0.012028324479042842,0.9141565662626505,0.012028324479042842,0.9141565662626505,-0.001970055077537661,27,-0.001970055077537661,27,1,2,0,candidate_weak_signal
Cleaning_Capacity,engineered,not_related_to_defect,"팀 공용 피처, 세정 계열 — Chipping과 무관",not_applicable,0.45718183794885886,0.43829753190127607,0.45718183794885886,0.43829753190127607,0.0012892193539965613,7,0.0012892193539965613,7,1,0,2,insufficient_evidence
Laser_Voltage,fdc_laser,team_undetermined,"HealthIndex 설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,0.4758730136240343,-0.40246359854394176,0.4758730136240343,-0.40246359854394176,0.00883549458098783,2,0.00883549458098783,2,1,0,2,insufficient_evidence
Alignment_Time,fdc_motion,not_related_to_defect,"체류시간 계열 — Burn 전용 메커니즘, Chipping과 무관",not_applicable,0.4758730136240343,-0.3975959038361534,0.4758730136240343,-0.3975959038361534,0.0003290206837746693,9,0.0003290206837746693,9,1,0,2,insufficient_evidence
Package_Size_2,response,defect_related,정렬 불량의 동반지표 — 위와 동일 이유,either,0.4758730136240343,0.39536831473258927,0.4758730136240343,0.39536831473258927,0.00034934843035659577,8,0.00034934843035659577,8,1,0,2,candidate_weak_signal
