column,label,lag_window_strips,n_group,n_rest,cliffs_delta_concurrent,p_concurrent,cliffs_delta_lagged,p_lagged,n_group_lagged,signal_retention_ratio,p_lagged_fdr,lagged_significant,interpretation
Surface_Roughness,is_particle_primary,5,6455,93545,0.7154543969712817,0.0,0.023406701303589683,0.0016308936206303937,6455,0.03271585359273322,0.0016308936206303937,False,선행신호 소멸 — 결과 공변(동반증상) 해석 지지
Surface_Roughness,is_particle_primary,20,6455,93545,0.7154543969712817,0.0,0.04199354848848591,1.5907323837313266e-08,6454,0.05869493382982386,1.9088788604775918e-08,False,선행신호 소멸 — 결과 공변(동반증상) 해석 지지
Surface_Roughness,is_particle_primary,50,6455,93545,0.7154543969712817,0.0,0.052801358393113285,1.204809319587178e-12,6452,0.07380115157113604,2.0653874050065907e-12,False,선행신호 소멸 — 결과 공변(동반증상) 해석 지지
Surface_Roughness,is_particle_broad,5,7792,92208,0.610197041124058,0.0,0.024612530348922634,0.0003021572396997676,7792,0.04033538134433318,0.0003296260796724737,False,선행신호 소멸 — 결과 공변(동반증상) 해석 지지
Surface_Roughness,is_particle_broad,20,7792,92208,0.610197041124058,0.0,0.04441124325259005,7.045043092883201e-11,7791,0.07278180695661696,1.0567564639324802e-10,False,선행신호 소멸 — 결과 공변(동반증상) 해석 지지
Surface_Roughness,is_particle_broad,50,7792,92208,0.610197041124058,0.0,0.05473127862294569,9.468643777441394e-16,7789,0.08969443464052848,2.2724745065859346e-15,False,선행신호 소멸 — 결과 공변(동반증상) 해석 지지
Vibration,is_particle_primary,5,6455,93545,0.21950860169569242,7.856396352930879e-192,0.04733707649858898,1.8764012580727192e-10,6455,0.21565021203229648,2.501868344096959e-10,False,선행신호 약함 — 판단 보류
Vibration,is_particle_primary,20,6455,93545,0.21950860169569242,7.856396352930879e-192,0.06722345689338338,1.4706800192916013e-19,6454,0.3062452057645382,4.412040057874804e-19,False,선행신호 약함 — 판단 보류
Vibration,is_particle_primary,50,6455,93545,0.21950860169569242,7.856396352930879e-192,0.07220762777690237,2.5751131096332704e-22,6452,0.3289512448218532,1.0300452438533082e-21,False,선행신호 약함 — 판단 보류
Vibration,is_particle_broad,5,7792,92208,0.1936678888610377,7.875792012003439e-178,0.04897147464071505,6.495410144139867e-13,7792,0.25286316140851567,1.2990820288279735e-12,False,선행신호 약함 — 판단 보류
Vibration,is_particle_broad,20,7792,92208,0.1936678888610377,7.875792012003439e-178,0.07076183692348681,2.810802627644931e-25,7791,0.3653772307822309,1.6864815765869587e-24,False,선행신호 약함 — 판단 보류
Vibration,is_particle_broad,50,7792,92208,0.1936678888610377,7.875792012003439e-178,0.07595174175267694,7.295814569019074e-29,7789,0.3921751933134073,8.75497748282289e-28,False,선행신호 약함 — 판단 보류
