column,label,n_group,cliffs_delta_opcond,p_opcond,cliffs_delta_group,p_group,delta_shrinkage,p_fdr_opcond,flag_opcond,p_fdr_group,flag_group,stratum_verdict
Surface_Roughness,is_particle_primary,6455,0.7154543969712817,0.0,0.7136172995520822,0.0,0.0025677351721876684,0.0,True,0.0,True,층 무관하게 유효 — 공정 인자로 조치 가능
Surface_Roughness,is_particle_broad,7792,0.610197041124058,0.0,0.6090788127752236,0.0,0.0018325692743028643,0.0,True,0.0,True,층 무관하게 유효 — 공정 인자로 조치 가능
Vibration,is_particle_primary,6455,0.21950860169569242,7.856396352930879e-192,0.2144213555081187,3.8796686012812505e-183,0.023175612018276337,2.0950390274482345e-190,True,1.0345782936750002e-181,True,층 무관하게 유효 — 공정 인자로 조치 가능
Vibration,is_particle_broad,7792,0.1936678888610377,7.875792012003439e-178,0.19067172917644282,1.9624596336053894e-172,0.01547060641914011,1.5751584024006877e-176,False,3.924919267210779e-171,False,양쪽 모두 미달
CLN_Pressure,is_particle_broad,7792,-0.09013542495076754,5.648163374921648e-40,-0.09011484970503258,5.87981419544741e-40,0.00022827035814376728,9.037061399874637e-39,False,9.407702712715856e-39,False,양쪽 모두 미달
Coating_Thickness,is_particle_broad,7792,-0.04296222933259364,2.83664652015373e-10,-0.04269709356776097,3.6447848805186947e-10,0.006171368873344796,3.782195360204973e-09,False,4.859713174024926e-09,False,양쪽 모두 미달
Cleaning_Capacity,is_particle_broad,7792,-0.03420232994344363,5.130212190632038e-07,-0.034166768993127206,5.27152505381587e-07,0.0010397230356887777,5.8630996464366154e-06,False,5.271525053815869e-06,False,양쪽 모두 미달
Bottom_Kerf,is_particle_primary,6455,0.03356183222686715,6.2683670891391365e-06,0.026815039374091798,0.0003072969176086457,0.20102576066673628,5.5718818570125654e-05,False,0.0024583753408691654,False,양쪽 모두 미달
Cleaning_Load_Ratio,is_particle_broad,7792,0.03230286022388085,2.1108716687279377e-06,0.03253614562522866,1.781432226670352e-06,-0.0072218187408479295,2.1108716687279376e-05,False,1.5834953125958683e-05,False,양쪽 모두 미달
Top_Kerf,is_particle_primary,6455,0.0306088831932374,3.7938572024385624e-05,0.02456249760126128,0.000946727602739412,0.19753695532779147,0.00027591688745007726,False,0.006885291656286632,False,양쪽 모두 미달
CLN_Flow,is_particle_broad,7792,-0.03036127269932709,8.293680195389213e-06,-0.034645089523516304,3.6495685665541883e-07,-0.14109477117815805,6.634944156311371e-05,False,4.170935504633358e-06,False,양쪽 모두 미달
Bottom_Kerf,is_particle_broad,7792,0.02455445205171336,0.00031223093457702534,0.021535225767134403,0.0015686686031724905,0.1229604422945485,0.002081539563846836,False,0.010457790687816604,False,양쪽 모두 미달
Top_Kerf,is_particle_broad,7792,0.02084469474380035,0.002211219547122344,0.018062152680164978,0.008006983088583981,0.1334892210145202,0.01360750490536827,False,0.04788252631582928,False,양쪽 모두 미달
Kerf_Width_Profile,is_particle_primary,6455,0.02038447800900567,0.00607746410636984,0.015237501728023295,0.04028307770252968,0.2524948776568372,0.034728366322113374,False,0.1696129587474934,False,양쪽 모두 미달
Power_Efficiency,is_particle_primary,6455,-0.020051422332475255,0.006960125478948956,-0.016420370219099034,0.027102508410403438,0.18108700984744475,0.03638443241725331,False,0.12754121604895735,False,양쪽 모두 미달
Cooling_Flow,is_particle_broad,7792,-0.018280964565961177,0.007276886483450662,-0.017957327906267473,0.008379442105270123,0.017703478310784004,0.03638443241725331,False,0.04788252631582928,False,양쪽 모두 미달
Head_Temp,is_particle_primary,6455,0.01755059004520243,0.01816900145545783,0.013229183119719545,0.07498889495439626,0.24622573453957297,0.08550118331980154,False,0.24996298318132087,False,양쪽 모두 미달
