column,FINAL_VERDICT,action_type,subsystem,domain_status,cliffs_delta_strict,p_fdr_strict,univariate_flag_strict,tree_importance,tree_rank,tree_flag,lagged_cliffs_delta,signal_retention,lagged_significant,cliffs_delta_broad,remcoat_inflated,n_methods_agree,median_z_defect,median_z_normal,tree_rank_all,tree_rank_excl,domain_direction,domain_mechanism
Surface_Roughness,"영향인자 — 동시 관측만 (원인 아님, 탐지지표로 활용)",관측지표(response),response,defect_related,0.7171691608763291,0.0,True,0.11778427043495293,1.0,True,0.05382677932496249,0.07505450911914567,True,0.6105681294277545,False,2,1.114446362780271,0.0,1,,up,"결과 공변(동반증상 후보) — particle이 표면에 남아 거칠기 증가 가능성, 원인 아닐 수 있음"
Vibration,영향인자 — 원인 후보 (선행 신호 있음),조작가능(FDC),fdc_mechanical,defect_related,0.2201801261634162,2.5570892083729082e-191,True,0.019558288755241484,1.0,True,0.07384466026957215,0.3353829501158753,True,0.19348863439298736,False,2,0.37808824579656897,0.0,32,1.0,up,기계적 진동 — 디브리 비산/재부착
Alignment_Time,근거 부족,조작가능(FDC),fdc_motion,not_related_to_defect,0.014728706795333668,0.1894654392066847,False,0.0006984468443898532,3.0,True,0.004082675657403501,,False,0.015401726799794124,False,1,0.024981139239873894,0.0,3,3.0,not_applicable,체류시간/열축적 계열 — Burn 전용 메커니즘
Package_Size_4,근거 부족,관측지표(response),response,not_related_to_defect,0.011995955353669707,0.30989240216858477,False,0.0002887264633978722,8.0,True,0.016407295599314198,,False,0.01380921331212881,False,1,0.017294634859240737,0.0,22,8.0,not_applicable,정렬/센터링 계열 — 다이 크기 불균형은 센터링 지표
Laser_Centering_Position,근거 부족,조작가능(FDC),fdc_laser,not_related_to_defect,0.0075646446020321,0.6827540083430463,False,0.0003492970086133353,6.0,True,0.02448251310858196,,True,0.0037955111655676443,False,1,0.0,0.0,9,6.0,not_applicable,"정렬/센터링 계열 — Chipping 메커니즘, 디브리와 무관"
Focus,약한 신호 — 후보 보류,조작가능(FDC),fdc_thermal,defect_related,0.007330424463719565,0.6827540083430463,False,0.0004048868278603771,4.0,True,0.038697531491441506,,True,0.004242114819414722,False,1,0.005014801185699597,0.0,13,4.0,either,빔 품질/집속 — 초점 이탈 시 비정상 어블레이션(스패터) 증가 가능성
CLN_Flow,약한 신호 — 후보 보류,조작가능(FDC),fdc_cleaning,defect_related,-0.004650858641788158,0.7865921947544432,False,0.00026143959916076763,9.0,True,-0.001716714106363204,,False,-0.03174882938919654,False,1,0.0,0.0,20,9.0,down,세정 능력 — 유량 부족 시 디브리 잔류
Cleaning_Capacity,약한 신호 — 후보 보류,파생지표(조작불가),engineered,defect_related,-0.003924672800802886,0.7868623055405318,False,0.0003534670098745899,5.0,True,-0.019507383059133576,,True,-0.03637828985023994,False,1,0.0037097203526947156,0.0,6,5.0,down,팀 공용 피처(CLN_Flow×Pressure×Time) — 세정 능력 종합지표
Cutting_X_Index,근거 부족,조작가능(FDC),fdc_motion,not_related_to_defect,-0.0029357516706810527,0.8377128859364465,False,0.00033747882562787563,7.0,True,0.005945597635172328,,False,-0.004547340657385046,False,1,0.0030566046501960538,0.0,4,7.0,not_applicable,"정렬/센터링 계열 — Chipping 메커니즘, 디브리와 무관"
Cleaning_Load_Ratio,약한 신호 — 후보 보류,파생지표(조작불가),engineered,defect_related,0.0011584779165387804,0.9223326252568332,False,0.0001882021762392642,10.0,True,0.0028527292199800325,,False,0.03447829572882477,False,1,-0.007726469219992267,0.0,18,10.0,up,팀 공용 피처(수요/능력) — 핵심 밸런스 가설을 직접 수식화
Frequency,근거 부족,조작가능(FDC),fdc_motion,not_related_to_defect,6.271626709075662e-05,0.993271874669642,False,0.004431670171930175,2.0,True,-0.004310942053603828,,False,-0.0018787439081496826,False,1,-0.0010112305239577425,0.0,5,2.0,not_applicable,체류시간/열축적 계열 — Burn 전용 메커니즘(펄스 중첩→열)
Bottom_Kerf,근거 부족,관측지표(response),response,defect_related,0.03420189783089711,5.666779599099765e-05,False,-0.0010200760970747041,39.0,False,0.04684580935553173,,True,0.025451296456398653,False,0,0.05654413552506695,0.0,2,39.0,up,"가공 제거량, Kerf_Width_Profile과 동일 메커니즘 상속"
Top_Kerf,근거 부족,관측지표(response),response,defect_related,0.031304226087842446,0.0002563406674273618,False,-9.719240140435293e-05,27.0,False,0.04381490782483177,,True,0.0218924921967385,False,0,0.0585664914162054,0.0,36,27.0,up,"가공 제거량, Kerf_Width_Profile과 동일 메커니즘 상속"
Kerf_Width_Profile,근거 부족,관측지표(response),response,defect_related,0.02126449540431241,0.0339759673507443,False,0.00011208013183488334,15.0,False,0.043119897037829036,,True,0.015312062265680826,False,0,0.030620538210070755,0.0,10,15.0,up,가공 제거량 — 넓을수록 디브리 발생량 증가
Power_Efficiency,근거 부족,조작가능(FDC),fdc_laser,defect_related,-0.020067659405175187,0.046465465542797374,False,-0.00011943990371159989,30.0,False,-0.04756716521188331,,True,-0.01594429286562149,False,0,-0.03929072385300916,0.0,15,30.0,either,에너지 변환 효율 이상 — 비정상 어블레이션 가능성
Head_Temp,근거 부족,조작가능(FDC),fdc_thermal,not_related_to_defect,0.017050437337687185,0.11848115706062008,False,-0.00011185069494443663,29.0,False,0.039961783772331394,,True,0.011038777545235634,False,0,0.02291958891426927,0.0,8,29.0,not_applicable,방열 계열 — Burn 전용 메커니즘(열 축적)
Cooling_Flow,근거 부족,조작가능(FDC),fdc_thermal,not_related_to_defect,-0.016823078924178114,0.11848115706062008,False,0.00016670222914141978,11.0,False,-0.008570084385709609,,False,-0.01801688842321636,False,0,-0.030892706540913875,0.0,35,11.0,not_applicable,방열 계열 — Burn 전용 메커니즘(열 축적)
Maintenance_Count,근거 부족,이력지표,undocumented_env_or_infra,defect_related,-0.015336668240801932,0.17319163044818786,False,6.237211813511408e-05,16.0,False,-0.009660601060390128,,False,-0.013856366110390539,False,0,0.0,0.0,16,16.0,either,"정비 이력 프록시 — 세정계 부품 교체/재교정과 연관 가능, 방향은 특정하지 않음"
Laser_Cleaning_Demand,근거 부족,파생지표(조작불가),engineered,defect_related,-0.014445132067426147,0.1894654392066847,False,-0.00020998309551557016,34.0,False,-0.049179293751019926,,True,-0.007982695201529943,False,0,-0.026534475483520115,0.0,31,34.0,up,팀 공용 피처(Laser_Power×Groove_Depth) — 디브리 발생 수요 지표
Laser_Power,근거 부족,조작가능(FDC),fdc_laser,defect_related,-0.012465088458016638,0.30989240216858477,False,-0.0005192990756367773,37.0,False,-0.04725404598739247,,True,-0.004322292247273096,False,0,-0.023666342437761258,0.0,39,37.0,up,에너지 투입 — 어블레이션(재질 제거)량 증가로 디브리 발생 소스
Cooling_Water_Temp,근거 부족,조작가능(FDC),fdc_thermal,not_related_to_defect,-0.011937764650910898,0.30989240216858477,False,0.00011859176029977159,14.0,False,-0.010492488283271761,,False,-0.008719070506850501,False,0,-0.015907800931048627,0.0,28,14.0,not_applicable,방열 계열 — Burn 전용 메커니즘(열 축적)
Cutting_Y_Index,근거 부족,조작가능(FDC),fdc_motion,not_related_to_defect,-0.010614910797620225,0.40933657867908346,False,-2.4521952460699694e-05,23.0,False,0.006342576727506488,,False,-0.009496818133979734,False,0,-0.00843113449345744,0.0,7,23.0,not_applicable,"정렬/센터링 계열 — Chipping 메커니즘, 디브리와 무관"
Groove_Depth,근거 부족,관측지표(response),response,defect_related,-0.009472245052687511,0.5069855526459821,False,-0.000139124736882279,32.0,False,-0.04113097846274605,,True,-0.00699217543171804,False,0,-0.01389400440870643,0.0,33,32.0,up,가공 제거량 — 깊을수록 디브리 발생량 증가
Package_Size_1,근거 부족,관측지표(response),response,not_related_to_defect,-0.007887942590315444,0.6796902822041718,False,-2.5848663633110115e-05,24.0,False,-0.011470303092682488,,False,-0.007753688529234415,False,0,-0.016862268987776038,0.0,11,24.0,not_applicable,정렬/센터링 계열 — 다이 크기 불균형은 센터링 지표
Cutting_Offset,근거 부족,관측지표(response),response,not_related_to_defect,0.006762517334238272,0.6921145720454615,False,-0.0001280554536878235,31.0,False,0.0223397745350169,,True,0.003047516947073392,False,0,0.0,0.0,34,31.0,not_applicable,"정렬/센터링 계열 — Chipping 메커니즘, 디브리와 무관"
Laser_Head_Remain_Time,근거 부족,조작가능(FDC),fdc_cleaning,defect_related,-0.006760271616794489,0.6921145720454615,False,-2.0768350141486814e-05,22.0,False,0.010927015294749154,,False,-0.010344468671270923,False,0,-0.029152842256355786,0.0,30,22.0,down,헤드 노후 — 빔 품질 저하 시 스패터 증가 가능성
Beam_Diameter,근거 부족,조작가능(FDC),fdc_laser,defect_related,0.0057247808597433725,0.7719084403052275,False,-3.850797944739322e-05,25.0,False,0.00794966697508026,,False,0.008065704200514556,False,0,0.016947004006958463,0.0,12,25.0,either,빔 품질/집속 — 빔 이상 시 비정상 어블레이션(스패터) 증가 가능성
Process_Time,근거 부족,조작가능(FDC),fdc_motion,not_related_to_defect,0.0056947554810031775,0.7719084403052275,False,-4.747727427116914e-05,26.0,False,-0.011631094322943292,,False,0.006111890436388379,False,0,0.029325685194635707,0.0,19,26.0,not_applicable,체류시간/열축적 계열 — Burn 전용 메커니즘
Laser_Current,근거 부족,조작가능(FDC),fdc_laser,team_undetermined,-0.005087773550590091,0.7865921947544432,False,2.0188634078645757e-05,18.0,False,0.00839828513782459,,False,-0.0042523426861640345,False,0,0.0,0.0,21,18.0,unknown,"HealthIndex 설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족"
Kerf_Angle,근거 부족,관측지표(response),response,not_related_to_defect,-0.004833932394672891,0.7865921947544432,False,0.0001531779360962086,12.0,False,0.008803308747928895,,False,-0.005507435527655868,False,0,0.0093033208202793,0.0,26,12.0,not_applicable,"정렬/센터링 계열 — 절단면 수직도, 디브리와 무관"
Coating_Uniformity,근거 부족,관측지표(response),response,team_undetermined,0.004748335748034238,0.7865921947544432,False,0.00012445890130539464,13.0,False,-0.0057938746461027035,,False,-8.67820710446221e-05,False,0,0.014438640111130174,0.0,14,13.0,unknown,HealthIndex 설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실
Coating_Flow,근거 부족,조작가능(FDC),fdc_cleaning,defect_related,0.0044388141099962475,0.7865921947544432,False,-0.00030919818658626716,36.0,False,0.004506536462081767,,False,0.004090075141613525,False,0,0.0039559575335918916,0.0,27,36.0,down,코팅 불균일 — 코팅 박리가 particle 소스가 될 가능성
Coating_Thickness,근거 부족,관측지표(response),response,team_undetermined,-0.004096980420441154,0.7868623055405318,False,-0.0008276066807927252,38.0,False,-0.0028417810192503667,,False,-0.04644510197964902,False,0,0.009358642847050893,0.0,40,38.0,unknown,HealthIndex 설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실
Package_Size_3,근거 부족,관측지표(response),response,not_related_to_defect,-0.003795445072400594,0.7868623055405318,False,2.5626080492842838e-05,17.0,False,0.01873236119417876,,True,-0.0008867991639517347,False,0,0.0,0.0,29,17.0,not_applicable,정렬/센터링 계열 — 다이 크기 불균형은 센터링 지표
Feed_Speed,근거 부족,조작가능(FDC),fdc_motion,not_related_to_defect,0.0035409844670670765,0.7924879064248059,False,-0.0001562396326135205,33.0,False,0.0035228049072877354,,False,0.008806490140839784,False,0,0.014845251165492917,0.0,37,33.0,not_applicable,체류시간 계열로 확립된 것은 Burn 메커니즘 — 디브리와의 관계는 근거 약함
CLN_Time,근거 부족,조작가능(FDC),fdc_cleaning,defect_related,-0.002745043161076599,0.8377128859364465,False,1.095683991282163e-06,21.0,False,-0.013954004800555309,,False,-0.0018055683633610986,False,0,0.0,0.0,17,21.0,down,세정 능력 — 시간 부족 시 디브리 잔류
Package_Size_2,근거 부족,관측지표(response),response,not_related_to_defect,-0.002308129958746963,0.8575498578977964,False,8.22521237497468e-06,19.0,False,-0.00925380174304924,,False,0.0018899853727509797,False,0,0.0,0.0,24,19.0,not_applicable,정렬/센터링 계열 — 다이 크기 불균형은 센터링 지표
