column,p_value,effect_rank_biserial,n_defect,median_defect,median_ok,p_fdr,univariate_significant
CLN_Flow,0.0,-0.6925846358333309,7442,9.137,9.995,0.0,True
Cleaning_Load_Ratio,0.0,0.6710060556667508,7442,0.01989260761985691,0.018380797783906645,0.0,True
Cleaning_Capacity,0.0,-0.6629506491768298,7442,41840.519171822,44877.604303714004,0.0,True
Bottom_Kerf,0.0,-0.2737083559636907,7442,50.0895,50.1543,0.0,True
Head_Temp,0.0,-0.27169503931667527,7442,42.031,42.224,0.0,True
Kerf_Width_Profile,0.0,-0.271258184304364,7442,50.09315,50.1646,0.0,True
Top_Kerf,0.0,-0.2681940611550503,7442,50.092200000000005,50.1522,0.0,True
Focus,0.0,-0.26681371702526646,7442,0.025,0.152,0.0,True
Power_Efficiency,2.3166661157404128e-287,0.2520099746835964,7442,94.981,94.891,1.0296293847735167e-286,True
Laser_Power,1.3030344045707704e-273,0.24585944669315452,7442,18.493,18.448,5.212137618283082e-273,True
Laser_Cleaning_Demand,2.873441905708145e-262,0.24066845998765918,7442,831.9569182,829.11217455,1.0448879657120526e-261,True
Kerf_Angle,3.354377418504979e-213,-0.21678626385556687,7442,90.0455,90.092,1.1181258061683264e-212,True
Groove_Depth,1.2140315295120819e-175,0.19655976049916424,7442,44.983450000000005,44.9246,3.735481629267944e-175,False
CLN_Pressure,4.297700159313892e-131,-0.1694757064491108,7442,299.4605,300.027,1.2279143312325407e-130,False
Laser_Centering_Position,3.642653525527847e-102,-0.14928952732204337,7442,0.012,0.05,9.713742734740926e-102,False
Cutting_Offset,1.1748655491943066e-100,-0.1481618992140602,7442,0.0152,0.0601,2.937163872985766e-100,False
Package_Size_1,4.1588786334086685e-99,0.14699378718257328,7442,4.99996,4.99982,9.785596784490986e-99,False
Vibration,2.8948503979647307e-98,0.14635614724032298,7442,0.1788,0.1659,6.433000884366068e-98,False
Cooling_Flow,1.5938792640546692e-95,0.14425871677117863,7442,9.991,9.966,3.355535292746672e-95,False
Package_Size_4,2.030039714618052e-88,-0.13867521486516476,7442,5.00005,5.00018,4.060079429236104e-88,False
Package_Size_3,6.345145010760409e-78,-0.1299927024410601,7442,5.00003,5.00015,1.2085990496686493e-77,False
Package_Size_2,3.031929757785691e-73,0.12593003633553357,7442,4.99997,4.99985,5.512599559610347e-73,False
Cooling_Thermal_Load,2.0468905277977154e-46,-0.09950999934908655,7442,2.202009560412579,2.2086258776328984,3.559809613561244e-46,False
Coating_Thickness,1.998846959175109e-39,-0.09139306995483187,7442,9.9833,10.0026,3.331411598625182e-39,False
Surface_Roughness,2.6938122741264407e-09,0.04138581229039895,7442,0.5969,0.5945,4.310099638602305e-09,False
Coating_Uniformity,0.0008016184791370414,-0.023319751818537626,7442,98.799,98.81,0.0012332591986723713,False
Maintenance_Count,0.002147733482468933,-0.02132275591555255,7442,9.0,10.0,0.003181827381435456,False
Alignment_Time,0.010358964104552516,0.017833695294200202,7442,0.4005,0.3999,0.014798520149360738,False
Laser_Voltage,0.014370731219640267,-0.017028481002018037,7442,23.994,24.0,0.019821698233986575,False
Process_Time,0.20924673783817882,0.008734794843137328,7442,5.001,5.0,0.2789956504509051,False
CLN_Time,0.21769233040963465,0.008575170359271134,7442,15.0075,14.997499999999999,0.2808933295608189,False
Cutting_X_Index,0.2787182812909019,-0.007535284034574374,7442,-0.008,0.0,0.3483978516136274,False
Cutting_Y_Index,0.4729205367081323,0.004992913672892119,7442,0.011,0.004,0.5732370141916755,False
Cooling_Water_Temp,0.5269062723363753,-0.004401614074837745,7442,21.997,22.003,0.6198897321604415,False
Laser_Head_Remain_Time,0.6251687575730226,-0.0033985082206986483,7442,2993.5,3001.0,0.7144785800834544,False
Beam_Diameter,0.7484294609133981,0.002231020448234311,7442,35.0,34.999,0.8097654274072529,False
Frequency,0.7490330203517089,-0.0022254819641144286,7442,99.991,99.999,0.8097654274072529,False
Laser_Current,0.9147253947848976,-0.0007448992564691448,7442,8.501,8.5,0.9350950892087803,False
Coating_Flow,0.9259676987214698,0.000646392634454207,7442,50.001,50.0,0.9350950892087803,False
Feed_Speed,0.9350950892087803,-0.000566510707793122,7442,249.9925,250.0,0.9350950892087803,False
