column,p_value,effect_rank_biserial,n_defect,median_defect,median_ok,p_fdr,univariate_significant
CLN_Pressure,0.0,-0.5431340639001692,2332,296.8275,300.028,0.0,True
Coating_Thickness,1.4624344393061906e-117,-0.2788539241106023,2332,9.9271,10.0006,2.924868878612381e-116,True
Cleaning_Load_Ratio,3.255584701871496e-58,0.1945895873239063,2332,0.018758529238723856,0.0185191933146951,4.340779602495328e-57,False
Cleaning_Capacity,5.0022938174849206e-57,-0.19253178812585303,2332,44374.723066793,44908.33554641499,5.002293817484921e-56,False
CLN_Flow,2.7373609049524768e-33,-0.14543089969582956,2332,9.98,9.992,2.1898887239619815e-32,False
Laser_Power,0.005757881515203345,0.03340454721427877,2332,18.493,18.488,0.0383858767680223,False
Coating_Uniformity,0.010679774621221359,-0.03088535804181647,2332,98.8005,98.81,0.06102728354983634,False
Laser_Cleaning_Demand,0.023845417595150832,0.02733599161959477,2332,832.09500975,831.74960745,0.10632789468131693,False
Frequency,0.02392377630329631,-0.02732074762184855,2332,99.978,100.003,0.10632789468131693,False
Package_Size_2,0.04078821152904594,0.024747462453928115,2332,5.000014999999999,4.99999,0.15615906893964523,False
Feed_Speed,0.04294374395840244,0.024488757938030847,2332,250.05149999999998,249.991,0.15615906893964523,False
Surface_Roughness,0.07416208077069843,-0.021601710727791268,2332,0.5846,0.5859,0.2472069359023281,False
Top_Kerf,0.0948211214848818,-0.020209093381849952,2332,50.0907,50.0934,0.2917572968765594,False
Head_Temp,0.13006023715764617,-0.018314201238051497,2332,42.013,42.023,0.3716006775932748,False
Bottom_Kerf,0.15768036337317992,-0.01709297349349792,2332,50.0931,50.095,0.41048232763315756,False
Laser_Head_Remain_Time,0.16877397319194765,-0.01664823688413808,2332,2977.5,2999.0,0.41048232763315756,False
Vibration,0.17736282159313232,0.016318747883314666,2332,0.1565,0.1555,0.41048232763315756,False
Laser_Voltage,0.1847170474349209,-0.016045954084938252,2332,23.995,24.001,0.41048232763315756,False
Alignment_Time,0.20577654015181768,0.015306716786402275,2332,0.4006,0.3999,0.4332137687406688,False
Cutting_Y_Index,0.25167777585616957,0.013867344448525998,2332,0.010499999999999999,0.0,0.5033555517123391,False
Maintenance_Count,0.3795814356919893,-0.010616518023638832,2332,9.0,10.0,0.7003028278390436,False
Groove_Depth,0.38516655531147403,0.01050580146512381,2332,44.99295,44.9897,0.7003028278390436,False
Laser_Centering_Position,0.5149573771532611,-0.00787723046205957,2332,0.007,0.005,0.8602001545548592,False
Package_Size_4,0.5161200927329155,0.007855361120822968,2332,5.00002,5.00001,0.8602001545548592,False
Laser_Current,0.582527385361606,-0.006650014004105809,2332,8.496,8.5,0.8803628035124443,False
CLN_Time,0.5934490587566237,-0.006458269802040895,2332,14.993500000000001,15.001,0.8803628035124443,False
Kerf_Width_Profile,0.5942448923709,-0.006444360532207982,2332,50.0931,50.0949,0.8803628035124443,False
Focus,0.647631290727172,-0.005529294783862215,2332,0.017,0.018,0.9251875581816743,False
Coating_Flow,0.706760623842983,-0.004551264124319054,2332,49.9915,50.001,0.9587714208598856,False
Kerf_Angle,0.7193733340763887,-0.004346629260565615,2332,90.034,90.032,0.9587714208598856,False
Package_Size_1,0.7430478511664114,-0.003965801531157664,2332,4.99998,4.99999,0.9587714208598856,False
Package_Size_3,0.7920503027523484,-0.0031894860180577966,2332,5.0,5.00001,0.967107503171974,False
Cutting_Offset,0.7978636901168785,-0.003098368885216307,2332,0.0089,0.0057,0.967107503171974,False
Cooling_Water_Temp,0.8371823187642625,0.0024860580644576746,2332,22.0,22.001,0.9699190447533508,False
Beam_Diameter,0.8652932391199565,0.002052249539887585,2332,35.004,34.999,0.9699190447533508,False
Process_Time,0.8984888618609518,-0.0015433011024641452,2332,5.0,5.001,0.9699190447533508,False
Cooling_Flow,0.9139119081391488,0.0013078226084783928,2332,9.997,9.999,0.9699190447533508,False
Power_Efficiency,0.959160753431034,-0.0006194849832923399,2332,94.985,94.981,0.9699190447533508,False
Cutting_X_Index,0.9635950617096881,-0.000552173425272251,2332,-0.01,-0.002,0.9699190447533508,False
Cooling_Thermal_Load,0.9699190447533508,-0.00045620473208818346,2332,2.2006569118341686,2.2005190143906876,0.9699190447533508,False
