column,logit_coef,odds_ratio_per_stratum_sd,meaningful_after_machine_control,gb_importance_mean,gb_top10,confirmed_v2_machine_controlled
CLN_Pressure,-0.42013633385145716,0.6569572481974842,True,0.25157097513408083,True,True
Coating_Thickness,-0.17405235058269602,0.8402529087776331,True,0.13882728262636101,True,True
CLN_Flow,-0.06863585913649783,0.9336666043478177,False,0.06314515683406464,True,False
Bottom_Kerf,0.0,1.0,False,6.886071834870666e-05,False,False
Beam_Diameter,0.0,1.0,False,-4.412481716305668e-06,False,False
CLN_Time,0.0,1.0,False,8.409718836334493e-05,False,False
Alignment_Time,0.0,1.0,False,0.00033221843003407395,True,False
Cleaning_Capacity,0.0,1.0,False,4.591256297651706e-06,False,False
Cleaning_Load_Ratio,0.0,1.0,False,-0.00011332358199261557,False,False
Coating_Flow,0.0,1.0,False,-0.00031363237445155195,False,False
Coating_Uniformity,0.0,1.0,False,0.012965813424345803,True,False
Cooling_Flow,0.0,1.0,False,0.00042055420120260163,True,False
Cooling_Thermal_Load,0.0,1.0,False,-4.1420445311316874e-05,False,False
Cooling_Water_Temp,0.0,1.0,False,-1.1227043718557243e-05,False,False
Cutting_Offset,0.0,1.0,False,6.900373801390635e-05,False,False
Cutting_X_Index,0.0,1.0,False,-7.765642775887649e-05,False,False
Cutting_Y_Index,0.0,1.0,False,-0.00032195676905582746,False,False
Feed_Speed,0.0,1.0,False,-6.122704371856654e-05,False,False
Focus,0.0,1.0,False,-9.440923126936932e-05,False,False
Frequency,0.0,1.0,False,-8.892247684062493e-05,False,False
Groove_Depth,0.0,1.0,False,1.5945067446717272e-05,False,False
Head_Temp,0.0,1.0,False,-3.227693807904182e-05,False,False
Kerf_Angle,0.0,1.0,False,-6.43393466602286e-05,False,False
Kerf_Width_Profile,0.0,1.0,False,-5.645376239238331e-05,False,False
Laser_Centering_Position,0.0,1.0,False,-0.00032601007638560406,False,False
Laser_Cleaning_Demand,0.0,1.0,False,6.864943929785206e-05,False,False
Laser_Current,0.0,1.0,False,-0.0001319600195027674,False,False
Laser_Head_Remain_Time,0.0,1.0,False,0.0001433869657077258,False,False
Laser_Power,0.0,1.0,False,0.00010077848204121942,False,False
Laser_Voltage,0.0,1.0,False,4.981147407763231e-05,False,False
Package_Size_1,0.0,1.0,False,0.00031593694132934965,True,False
Package_Size_2,0.0,1.0,False,-0.0003256557776694979,False,False
Package_Size_3,0.0,1.0,False,-6.496180724858321e-05,False,False
Package_Size_4,0.0,1.0,False,0.00014805460750849281,True,False
Power_Efficiency,0.0,1.0,False,0.00023315618397522868,True,False
Process_Time,0.0,1.0,False,-5.793271574849139e-05,False,False
Surface_Roughness,0.0,1.0,False,-9.731675605401483e-05,False,False
Top_Kerf,0.0,1.0,False,-9.172761254681028e-05,False,False
Vibration,0.0,1.0,False,0.00020159434422224455,True,False
