column,cliffs_delta_concurrent,p_concurrent,cliffs_delta_lagged_50strip,p_lagged,signal_retention_ratio,p_concurrent_fdr,concurrent_meaningful,pattern_type
CLN_Pressure,-0.5427964392058482,0.0,-0.022216738417580872,0.06635120927631996,0.04093014768130319,0.0,True,"즉시형 — 선행신호 없음 (순간적 원인 또는 결과공변, 개별 검토 필요)"
Coating_Thickness,-0.2789566191299808,1.2020661117886335e-117,-0.0019370642929354975,0.8728155157925022,0.00694396246619592,2.404132223577267e-116,True,"즉시형 — 선행신호 없음 (순간적 원인 또는 결과공변, 개별 검토 필요)"
Cleaning_Load_Ratio,0.19447374699080333,3.7997566103267556e-58,0.1375990571021779,5.797445532505854e-30,0.7075456673783581,5.066342147102341e-57,False,동시점부터 무신호 (후보 아님)
Cleaning_Capacity,-0.19238207907195104,6.095424117146498e-57,-0.1380514182223742,3.7748867502658224e-30,0.7175898030020919,6.095424117146498e-56,False,동시점부터 무신호 (후보 아님)
CLN_Flow,-0.14560473483487413,2.3042096742136426e-33,-0.1358510504038284,3.0033015909311315e-29,0.933012587522603,1.843367739370914e-32,False,동시점부터 무신호 (후보 아님)
Laser_Power,0.03397451115765793,0.0049795201293194044,0.03740840299583348,0.0019913537907716356,1.101072590043773,0.033196800862129366,False,동시점부터 무신호 (후보 아님)
Coating_Uniformity,-0.031926977070990126,0.008312530611300842,-0.005623120188197217,0.6421408461138687,0.17612441590364544,0.047500174921719096,False,동시점부터 무신호 (후보 아님)
Laser_Cleaning_Demand,0.027166441659639995,0.02472991783002773,0.04715575582346787,9.736623818467396e-05,1.7358090696701414,0.11522496159527522,False,동시점부터 무신호 (후보 아님)
Frequency,-0.026945399301768758,0.025925616358936924,0.00032306169501383764,0.9787004317628416,0.01198949369411019,0.11522496159527522,False,동시점부터 무신호 (후보 아님)
Package_Size_2,0.024770956299532854,0.040600735473576205,-0.007003454317662694,0.5627364718296586,0.28272845961117654,0.15842515059949103,False,동시점부터 무신호 (후보 아님)
Feed_Speed,0.024415896721845076,0.04356691641486003,-0.01087876127079157,0.36862801471493134,0.44556058680647453,0.15842515059949103,False,동시점부터 무신호 (후보 아님)
Surface_Roughness,-0.02125612157151424,0.07891018855660263,0.040595882031174035,0.0007938230987186008,1.9098442721355808,0.2630339618553421,False,동시점부터 무신호 (후보 아님)
Top_Kerf,-0.020079879426300185,0.09695152371918488,-0.04368487506574403,0.00030593583761038303,2.1755546504191923,0.298312380674415,False,동시점부터 무신호 (후보 아님)
Head_Temp,-0.017860771335046155,0.13984115382351936,-0.02701870810593865,0.025556215009241715,1.5127402730319333,0.3995461537814839,False,동시점부터 무신호 (후보 아님)
Bottom_Kerf,-0.017040835684386302,0.15895158924333785,-0.05703278620906149,2.437077893052389e-06,3.3468303588724755,0.41101163072530816,False,동시점부터 무신호 (후보 아님)
Vibration,0.01646304338617388,0.17356245379365542,0.061201031744954504,4.2412520196850375e-07,3.717479830998491,0.41101163072530816,False,동시점부터 무신호 (후보 아님)
Laser_Head_Remain_Time,-0.016420375998473125,0.17467994305825596,0.0331134082325546,0.00620833406174122,2.016604749832385,0.41101163072530816,False,동시점부터 무신호 (후보 아님)
Laser_Voltage,-0.01568936659503395,0.1946679809703319,-0.00731087186826207,0.545719038066296,0.4659762281656502,0.4325955132674042,False,동시점부터 무신호 (후보 아님)
Alignment_Time,0.014535331863587242,0.22955738705340967,-0.017649677121435614,0.14467225460782657,1.2142603476189067,0.4832787095861256,False,동시점부터 무신호 (후보 아님)
Cutting_Y_Index,0.013944640122581342,0.2490447038257625,-0.005887294298572487,0.6265846346331152,0.4221904794114306,0.498089407651525,False,동시점부터 무신호 (후보 아님)
Maintenance_Count,-0.010342486089500835,0.3920545349684801,-0.0015499794425477553,0.8980748875393758,0.14986526731916183,0.7380031175384513,False,동시점부터 무신호 (후보 아님)
Groove_Depth,0.010054694164309597,0.4059017146461482,0.050857086524152884,2.6345892169061294e-05,5.058044102890421,0.7380031175384513,False,동시점부터 무신호 (후보 아님)
Laser_Centering_Position,-0.008358061802257843,0.48963933925359293,-0.017092810654290247,0.157776295851495,2.045068708354466,0.8220218197472501,False,동시점부터 무신호 (후보 아님)
Package_Size_4,0.008289402344667351,0.49321309184835005,-0.013756624309156362,0.2555885798734445,1.6595435638380038,0.8220218197472501,False,동시점부터 무신호 (후보 아님)
Kerf_Width_Profile,-0.0066430813219510165,0.5829223230366323,-0.028973927169050673,0.016644237014546558,4.36151926566229,0.8893829712992108,False,동시점부터 무신호 (후보 아님)
