label,column,delta,p,delta_abs,p_abs,p_fdr,p_fdr_abs,univariate_flag,nonlinear_flag
primary,Laser_Power,0.18423960008031126,1.0519003417813617e-197,-0.126184358429424,8.495710526341277e-94,4.5582348143859007e-197,3.012115550248271e-93,False,False
primary,Power_Efficiency,0.1705811438642577,8.984160495140339e-170,-0.14013052422150118,3.18862081173409e-115,2.91985216092061e-169,1.3817356850847722e-114,False,False
primary,Laser_Centering_Position,-0.10056921808587638,2.905670720880179e-60,-0.09521259494807555,3.3412994434196295e-54,7.082572382145437e-60,8.687378552891036e-54,False,False
primary,Laser_Current,-0.0013258735447697623,0.8290834941612256,-0.006316205225163629,0.3037628203288122,0.8981737853413277,0.3484338233183434,False,False
primary,Laser_Voltage,-0.016683440790000614,0.006600031421063033,-0.010804984642796,0.07853413471143345,0.009533378719313269,0.1080018052404168,False,False
primary,Beam_Diameter,0.00036664170102973515,0.9523976800028569,0.004419936459084894,0.4717411376134578,0.9523976800028569,0.4841553780769699,False,False
primary,Frequency,-0.010124314170082305,0.09926459654554803,-0.011308908830059528,0.0655770620346068,0.1334937677681508,0.09472242293887649,False,False
primary,Feed_Speed,0.009012857055238799,0.1422501049458955,0.004777740025400545,0.43662433360951547,0.18492513642966413,0.4602256489397596,False,False
primary,Alignment_Time,0.0158159642881055,0.01002002575359786,0.010741357994359158,0.08030903466595096,0.013956464442511304,0.1080018052404168,False,False
primary,Process_Time,0.004377430802491977,0.47601388407662193,0.012315508436128608,0.044941930966541796,0.5304154708282358,0.0674128964498127,False,False
primary,Cutting_X_Index,-0.004632923623435814,0.45065270051886475,0.004983610284602147,0.41712122777955707,0.5169251564775214,0.45188133009452014,False,False
primary,Cutting_Y_Index,0.006951312906722462,0.25771648510195533,-0.006570818193387895,0.28468541961971294,0.3242239651282664,0.3364464050051153,False,False
primary,Head_Temp,-0.17936006590473708,1.765805856033382e-187,-0.1446115637643095,1.3962073747291126e-122,6.886642838530191e-187,6.806510951804424e-122,False,False
primary,Cooling_Flow,0.08832244057560179,6.85361637375991e-47,-0.05594467867236619,8.325838019424191e-20,1.2728144694125547e-46,1.546227060750207e-19,False,False
primary,Cooling_Water_Temp,-0.0008666515338788816,0.8877853061743136,-0.006181481384587628,0.31419349734311564,0.9155081398063525,0.3501013256109003,False,False
primary,CLN_Flow,-0.6106359565046171,0.0,0.608465667652353,0.0,0.0,0.0,True,True
primary,CLN_Pressure,-0.23685937586821804,0.0,0.2335291802877204,0.0,0.0,0.0,True,True
primary,CLN_Time,0.006657674651087353,0.27836701275489617,0.007557517850808493,0.21850750735714408,0.3392597967950297,0.26630602459151936,False,False
primary,Coating_Flow,0.0008336352727589258,0.8920335721190101,0.014170845661541032,0.021039156554958725,0.9155081398063525,0.03282108422573561,False,False
primary,Laser_Head_Remain_Time,-0.00613022076906844,0.31822332664028186,-0.010532192389666184,0.08637463413175682,0.3760821133021513,0.11228702437128386,False,False
primary,Vibration,0.19224453237509564,4.5168967255415564e-215,0.07023359491066117,2.7839579667713622e-30,2.9359828716020116e-214,5.428718035204157e-30,False,False
primary,Kerf_Width_Profile,-0.18859086502481914,4.711016983291353e-207,-0.14484924565026447,5.600032159296583e-123,2.2966207793545345e-206,3.120017917322382e-122,False,False
primary,Top_Kerf,-0.18925418683886042,1.6935862807101111e-208,-0.15467816355673758,5.919097378448814e-140,9.435694992527762e-208,4.616895955190076e-139,False,False
primary,Bottom_Kerf,-0.19448707665648746,4.543148485181018e-220,-0.14751958337707416,1.7619558383508345e-127,3.5436558184411946e-219,1.1452712949280424e-126,False,False
primary,Kerf_Angle,-0.12979564403805655,3.9407739569564045e-99,-0.12020733897386482,2.6781933662359546e-85,1.097787030866427e-98,8.704128440266852e-85,False,False
primary,Groove_Depth,0.1366008029403516,1.372704068025576e-109,-0.1012304293850339,4.923924827007399e-61,4.118112204076728e-109,1.3716647732377755e-60,False,False
primary,Package_Size_1,0.09578936754559209,7.710489969038195e-55,-0.09005666027448855,1.1132131152593285e-48,1.7688771105440565e-54,2.7134569684446132e-48,False,False
primary,Package_Size_2,0.08951865381805124,4.0315878086930364e-48,-0.054730156571845434,5.052403633111795e-19,8.452209165014244e-48,8.956533713243637e-19,False,False
primary,Package_Size_3,-0.08614971133441163,1.0684902013475408e-44,-0.07193356372551218,1.1041231649092425e-31,1.8941417205706406e-44,2.266358075340024e-31,False,False
primary,Package_Size_4,-0.08869171391328656,2.8694813282716954e-47,-0.08589211195933588,1.9281341347687075e-44,5.595488590129806e-47,4.1776239586655327e-44,False,False
primary,Coating_Thickness,-0.124657644780229,1.3774662331604503e-91,0.1149847046742718,3.295889827928544e-78,3.581412206217171e-91,9.887669483785634e-78,False,False
primary,Coating_Uniformity,-0.022598450715497487,0.000233733611534796,0.023076304668641523,0.0001717854185804811,0.0003646244339942817,0.0002791513051932818,False,False
primary,Surface_Roughness,0.048353583831148406,3.4657997339065773e-15,-0.009256445553759707,0.13177888430258275,5.631924567598188e-15,0.1657863383161525,False,False
primary,Cooling_Thermal_Load,-0.05927186804225337,4.887906356202671e-22,-0.028788065220979986,2.7691374864882913e-06,8.288189038778442e-22,4.695493998827972e-06,False,False
primary,Laser_Cleaning_Demand,0.1770014291592008,1.2337686646419289e-182,-0.1275425075747284,8.728204582011156e-96,4.374270720094112e-182,3.403999786984351e-95,False,False
primary,Cleaning_Capacity,-0.5839889016928301,0.0,0.4744579400535962,0.0,0.0,0.0,True,True
primary,Cleaning_Load_Ratio,0.6092705829480434,0.0,0.45961096690164727,0.0,0.0,0.0,True,True
primary,Package_Size_Asymmetry,-0.08950981794662405,4.1177429265454007e-48,-0.0877736710590793,2.4825708068259842e-46,8.452209165014244e-48,5.695309498012552e-46,False,False
primary,Maintenance_Count,-0.017422060456367627,0.004515084502324176,0.0032009177736362915,0.6007229593366501,0.006772626753486264,0.6007229593366501,False,False
broad,Laser_Power,0.13146599227514444,7.795471394997989e-107,-0.07970863229465774,1.9893374130811577e-40,3.040233844049216e-106,5.968012239243473e-40,False,False
broad,Power_Efficiency,0.11721269644584242,2.5521091715706097e-85,-0.089958356126432,5.189065463555797e-51,7.656327514711829e-85,1.8397595734425098e-50,False,False
broad,Laser_Centering_Position,-0.06381309044027239,1.621376265406655e-26,-0.05962297146423989,2.3500653943186397e-23,3.719627902991738e-26,5.728284398651685e-23,False,False
broad,Laser_Current,-0.002352792510826651,0.6943818522177008,-0.0064703184379152345,0.27990118079367077,0.7319160063916306,0.3210631191456812,False,False
broad,Laser_Voltage,-0.01761447393502502,0.0032650924344852987,-0.011467873595245481,0.05547576756377192,0.004716244627589876,0.07726981910668232,False,False
broad,Beam_Diameter,0.0018320319110545213,0.7596437349589837,0.004710716070678522,0.4314645248160247,0.7796343595631675,0.46741990188402677,False,False
broad,Frequency,-0.008912388512550606,0.13665440448967775,-0.009126744808649279,0.1274678956931391,0.1837766129343942,0.17142234248387672,False,False
broad,Feed_Speed,0.0062651490860932135,0.29543277940539336,0.006631425847464012,0.2681011769657782,0.3600586999003232,0.3168468455050106,False,False
broad,Alignment_Time,0.017423938829840946,0.0036166910687392513,0.00889284319582373,0.13751681724653858,0.0050375339886011,0.17877186242050014,False,False
broad,Process_Time,0.00583599438464022,0.32975414358955357,0.012261817376559403,0.04058744642599311,0.38970944242401784,0.05862631150421227,False,False
broad,Cutting_X_Index,-0.005077098787673817,0.3965082551860055,0.007042083493673301,0.2395846342888749,0.4548182927133593,0.2922697501327883,False,False
broad,Cutting_Y_Index,0.008250990376903689,0.16823024451240387,-0.007038691300151001,0.23981107703203142,0.218699317866125,0.2922697501327883,False,False
broad,Head_Temp,-0.1269513274562749,9.382409997156116e-100,-0.09354672998342439,5.1341148315784554e-55,3.326490817173532e-99,2.2247830936839972e-54,False,False
broad,Cooling_Flow,0.06011194322527169,1.0304766268298172e-23,-0.038092357208676764,1.9990597129616472e-10,2.115188865598046e-23,3.7125394669287737e-10,False,False
broad,Cooling_Water_Temp,-0.002406957348790706,0.6877127080899603,-0.003792639627854033,0.5264923557043193,0.7319160063916306,0.5403474176965383,False,False
broad,CLN_Flow,-0.5763064897006798,0.0,0.570918158905344,0.0,0.0,0.0,True,True
broad,CLN_Pressure,-0.2587821819583104,0.0,0.253446403539201,0.0,0.0,0.0,True,True
broad,CLN_Time,0.00420433477863047,0.4826027780695006,0.004070660194608777,0.4966318178253889,0.5377573812774434,0.5234767809510856,False,False
broad,Coating_Flow,-0.001071500724980634,0.8579846628937144,0.016656091327216682,0.005409801284847811,0.8579846628937144,0.008439290004362584,False,False
broad,Laser_Head_Remain_Time,-0.006994440036152572,0.24277885880268812,-0.012279615232250296,0.0402969726703092,0.3054314675259625,0.05862631150421227,False,False
broad,Vibration,0.22544996616100055,3.26265693253173e-310,0.10704940013293096,1.774804406769393e-71,2.544872407374747e-309,1.1536228644001054e-70,True,False
broad,Kerf_Width_Profile,-0.13246149861428003,1.9835538441244386e-108,-0.09093594359456958,4.36010572509977e-52,8.5953999912059e-108,1.7004412327889105e-51,False,False
broad,Top_Kerf,-0.13361312868369113,2.741725391926641e-110,-0.1012295131546016,4.112503248145746e-64,1.3365911285642378e-109,2.2912518096812012e-63,False,False
broad,Bottom_Kerf,-0.13856008223154703,1.8549445739696244e-118,-0.09442458524090303,5.094858072046691e-56,1.2057139730802559e-117,2.4837433101227616e-55,False,False
broad,Kerf_Angle,-0.08454038679990328,2.93312902774071e-45,-0.07941671863279098,3.815982026946841e-40,7.626135472125846e-45,1.0630235646494772e-39,False,False
broad,Groove_Depth,0.09122308763979525,2.095922402413939e-52,-0.06183850733795193,5.319225016095053e-25,5.838640978153116e-52,1.3829985041847136e-24,False,False
broad,Package_Size_1,0.06126590162919321,1.4344190180769887e-24,-0.05527611561370882,2.6783408189061147e-20,3.107907872500142e-24,6.144428937490499e-20,False,False
broad,Package_Size_2,0.057242132983662986,1.18416665077111e-21,-0.028283515806237447,2.3199991978302496e-06,2.309124969003665e-21,4.112725850699079e-06,False,False
broad,Package_Size_3,-0.05433719764575595,1.1440777888313128e-19,-0.04446842193335121,1.1173459306347152e-13,2.028137898382782e-19,2.1788245647376948e-13,False,False
broad,Package_Size_4,-0.05269228229191869,1.3730658475175938e-18,-0.052118542804193035,3.2097579937804867e-18,2.3282420892689633e-18,6.5884506188125784e-18,False,False
broad,Coating_Thickness,-0.13505948481070829,1.2023439000982034e-112,0.12555917542996586,1.276335721991819e-97,6.69877315768999e-112,9.95541863153619e-97,False,False
broad,Coating_Uniformity,-0.025193214599223857,2.5848705276540464e-05,0.024161949581425812,5.459348586834166e-05,4.032398023140312e-05,9.257156299414454e-05,False,False
broad,Surface_Roughness,0.06934356097482963,5.1832360845607525e-31,0.006280838586209869,0.29422507836160494,1.2634137956116835e-30,0.32785080160293123,False,False
broad,Cooling_Thermal_Load,-0.04205486844354955,2.1692165710212745e-12,-0.021376448284035288,0.00035717204032747574,3.524976927909571e-12,0.000580404565532148,False,False
broad,Laser_Cleaning_Demand,0.12500587784793193,8.860530333263175e-97,-0.08136116838577356,4.763997707159501e-42,2.8796723583105316e-96,1.5482992548268378e-41,False,False
broad,Cleaning_Capacity,-0.5620250849736679,0.0,0.4484718161190544,0.0,0.0,0.0,True,True
broad,Cleaning_Load_Ratio,0.563114212519372,0.0,0.4397328366254134,0.0,0.0,0.0,True,True
broad,Package_Size_Asymmetry,-0.05588436436428068,1.0323579188573019e-20,-0.053588587812055555,3.578177842278174e-19,1.9172361350207037e-20,7.752718658269376e-19,False,False
broad,Maintenance_Count,-0.019534006367332823,0.0010918101653070828,0.003084346716053732,0.6049811956867224,0.0016377152479606243,0.6049811956867224,False,False
pure,Laser_Power,0.18164991397772345,6.04957932395898e-77,-0.11907475374783916,4.470121203800034e-34,3.3704799090628604e-76,1.2452480496300094e-33,False,False
pure,Power_Efficiency,0.16388945540667432,5.588189399811705e-63,-0.1311073172547581,6.030368156691584e-41,1.981267150842332e-62,2.6131595345663526e-40,False,False
pure,Laser_Centering_Position,-0.09841321916154244,8.418482323389336e-24,-0.10089816180803324,6.1816882141506175e-25,1.8240045034010225e-23,1.506786502199213e-24,False,False
pure,Laser_Current,-0.012078938393174199,0.21699349531135426,-0.010283494976670249,0.2932338085016116,0.2564468580952369,0.3267462437589387,False,False
pure,Laser_Voltage,-0.021519490802399233,0.027845192128324033,-0.011580860311790953,0.23654981463670088,0.041767788192486055,0.2795588718433738,False,False
pure,Beam_Diameter,-0.013325329691633248,0.17321271450176567,0.001186382652257345,0.9034871122716973,0.2224050097239732,0.9034871122716973,False,False
pure,Frequency,-0.015486486693138013,0.1134578924359046,-0.036440062304631704,0.0001957338299349144,0.15803063589286712,0.00031806747364423587,False,False
pure,Feed_Speed,-0.001713350807376668,0.8609871214471374,-0.012250446642047663,0.210536512161123,0.8609871214471374,0.2565913741963687,False,False
pure,Alignment_Time,0.01321547705290671,0.17678346926777355,0.014942251980529786,0.12670751070129802,0.2224050097239732,0.17039975577071112,False,False
