column,l1_coef,l1_odds_ratio,l1_nonzero,hgb_importance,hgb_rank,hgb_flag,machine_controlled_flag
Laser_Power,0.07431,1.0771,True,0.000527,9,True,True
Power_Efficiency,0.04762,1.0488,True,0.000525,10,True,True
Laser_Centering_Position,-0.06719,0.935,True,0.000345,11,False,False
Laser_Current,0.01634,1.0165,True,1e-06,23,False,False
Laser_Voltage,0.01743,1.0176,True,-6.3e-05,32,False,False
Beam_Diameter,0.00803,1.0081,True,-0.000138,39,False,False
Frequency,-0.03066,0.9698,True,0.000209,13,False,False
Feed_Speed,-0.00033,0.9997,True,-7e-06,25,False,False
Alignment_Time,0.00906,1.0091,True,-2.6e-05,28,False,False
Process_Time,-0.01076,0.9893,True,-3.3e-05,29,False,False
Cutting_X_Index,-0.00195,0.998,True,-0.000118,38,False,False
Cutting_Y_Index,-0.01789,0.9823,True,-9.5e-05,35,False,False
Head_Temp,0.14387,1.1547,True,0.000885,5,True,True
Cooling_Flow,-0.03168,0.9688,True,7.9e-05,16,False,False
Cooling_Water_Temp,0.0073,1.0073,True,-1.1e-05,26,False,False
CLN_Flow,0.11324,1.1199,True,-8.1e-05,34,False,False
CLN_Pressure,0.14933,1.1611,True,-0.000115,37,False,False
CLN_Time,0.69589,2.0055,True,-8e-05,33,False,False
Coating_Flow,-0.00565,0.9944,True,-0.000111,36,False,False
Laser_Head_Remain_Time,-0.02256,0.9777,True,3.5e-05,20,False,False
Vibration,0.01484,1.015,True,0.000833,6,True,True
Kerf_Width_Profile,0.36505,1.4406,True,0.219699,1,True,True
Top_Kerf,0.05202,1.0534,True,0.000564,8,True,True
Bottom_Kerf,-0.00185,0.9982,True,0.0007,7,True,True
Kerf_Angle,0.01177,1.0118,True,1.2e-05,22,False,False
Groove_Depth,0.01508,1.0152,True,0.000335,12,False,False
Package_Size_1,-0.054,0.9474,True,0.000207,14,False,False
Package_Size_2,-0.00357,0.9964,True,5.3e-05,18,False,False
Package_Size_3,0.03431,1.0349,True,-3e-06,24,False,False
Package_Size_4,0.08764,1.0916,True,3.1e-05,21,False,False
Coating_Thickness,0.01541,1.0155,True,0.000165,15,False,False
Coating_Uniformity,0.00081,1.0008,True,-2.5e-05,27,False,False
Surface_Roughness,-0.30381,0.738,True,0.00716,2,True,True
Cooling_Thermal_Load,0.0,1.0,False,3.9e-05,19,False,False
Laser_Cleaning_Demand,-0.07627,0.9266,True,0.001717,3,True,True
Cleaning_Capacity,-0.71682,0.4883,True,6.6e-05,17,False,False
Cleaning_Load_Ratio,0.0,1.0,False,-3.7e-05,30,False,False
Package_Size_Asymmetry,-0.14788,0.8625,True,0.000994,4,True,True
Maintenance_Count,-0.01917,0.981,True,-4.6e-05,31,False,False
