column,l1_coef,l1_odds_ratio,l1_nonzero,hgb_importance,hgb_rank,hgb_flag,machine_controlled_flag
Alignment_Time,0.06813,1.0705,True,0.001099,4,True,True
Process_Time,-0.01671,0.9834,True,0.001009,6,True,True
Cutting_X_Index,0.00235,1.0023,True,0.000737,8,True,True
Cutting_Y_Index,-0.01367,0.9864,True,0.000315,11,False,False
Cooling_Flow,-0.10724,0.8983,True,8e-05,17,False,False
Cooling_Water_Temp,0.17501,1.1913,True,-4.3e-05,20,False,False
CLN_Flow,0.11962,1.1271,True,-0.000699,23,False,False
CLN_Pressure,0.15297,1.1653,True,0.00091,7,True,True
CLN_Time,0.65406,1.9233,True,0.000584,9,True,True
Coating_Flow,-0.00352,0.9965,True,0.000112,16,False,False
Vibration,-0.12232,0.8849,True,0.00383,3,True,True
Package_Size_1,-0.02757,0.9728,True,0.001072,5,True,True
Package_Size_2,0.0515,1.0528,True,7e-05,18,False,False
Package_Size_3,-0.01264,0.9874,True,0.000313,12,False,False
Package_Size_4,-0.0459,0.9551,True,0.000195,14,False,False
Coating_Thickness,0.01313,1.0132,True,-5.1e-05,21,False,False
Coating_Uniformity,0.0008,1.0008,True,-2.6e-05,19,False,False
Surface_Roughness,1.15574,3.1764,True,0.122666,1,True,True
Cooling_Thermal_Load,-0.21828,0.8039,True,0.000304,13,False,False
Cleaning_Capacity,0.0,1.0,False,0.00035,10,True,False
Cleaning_Load_Ratio,0.7213,2.0571,True,-0.000304,22,False,False
Package_Size_Asymmetry,-0.11292,0.8932,True,0.005389,2,True,True
Maintenance_Count,0.01103,1.0111,True,0.00017,15,False,False
