column,l1_coef,l1_odds_ratio,l1_nonzero,hgb_importance,hgb_rank,hgb_flag,machine_controlled_flag
Laser_Power,0.34537,1.4125,True,-0.000471,33,False,False
Power_Efficiency,0.06513,1.0673,True,-0.000478,34,False,False
Laser_Centering_Position,-0.06276,0.9392,True,4.2e-05,24,False,False
Laser_Current,-0.0115,0.9886,True,-0.000588,36,False,False
Laser_Voltage,-0.01547,0.9847,True,0.000817,11,False,False
Beam_Diameter,-0.00324,0.9968,True,8.7e-05,22,False,False
Frequency,0.01616,1.0163,True,0.000229,19,False,False
Feed_Speed,0.00376,1.0038,True,-0.000179,28,False,False
Alignment_Time,-0.00034,0.9997,True,0.000629,13,False,False
Process_Time,-0.00659,0.9934,True,-0.000366,32,False,False
Cutting_X_Index,-0.00114,0.9989,True,0.000217,20,False,False
Cutting_Y_Index,-0.00206,0.9979,True,0.000867,8,True,True
Head_Temp,0.00658,1.0066,True,-0.000862,38,False,False
Cooling_Flow,-0.27732,0.7578,True,-0.000889,39,False,False
Cooling_Water_Temp,0.33739,1.4013,True,-0.000147,27,False,False
CLN_Flow,0.03457,1.0352,True,0.003117,2,True,True
CLN_Pressure,0.02487,1.0252,True,0.000568,15,False,False
CLN_Time,0.01856,1.0187,True,0.00084,10,True,True
Coating_Flow,0.0132,1.0133,True,0.001366,4,True,True
Laser_Head_Remain_Time,-0.01072,0.9893,True,7.4e-05,23,False,False
Vibration,-0.01676,0.9834,True,-0.000755,37,False,False
Kerf_Width_Profile,-0.03846,0.9623,True,0.001182,5,True,True
Top_Kerf,-0.02584,0.9745,True,0.001049,6,True,True
Bottom_Kerf,-0.00558,0.9944,True,0.002518,3,True,True
Kerf_Angle,0.00323,1.0032,True,-0.000307,31,False,False
Groove_Depth,0.26883,1.3084,True,0.000723,12,False,False
Package_Size_1,-0.01601,0.9841,True,0.000575,14,False,False
Package_Size_2,-0.00579,0.9942,True,0.00086,9,True,True
Package_Size_3,0.00311,1.0031,True,-0.000184,29,False,False
Package_Size_4,0.02063,1.0208,True,0.000244,18,False,False
Coating_Thickness,0.01012,1.0102,True,-0.000582,35,False,False
Coating_Uniformity,0.02336,1.0236,True,0.000875,7,True,True
Surface_Roughness,1.93331,6.9123,True,0.371064,1,True,True
Cooling_Thermal_Load,-0.43989,0.6441,True,0.000535,16,False,False
Laser_Cleaning_Demand,-0.48553,0.6154,True,0.000255,17,False,False
Cleaning_Capacity,-0.25351,0.7761,True,-0.000141,26,False,False
Cleaning_Load_Ratio,-0.24073,0.7861,True,-2.4e-05,25,False,False
Package_Size_Asymmetry,-0.05869,0.943,True,0.000177,21,False,False
Maintenance_Count,-0.02299,0.9773,True,-0.000196,30,False,False
