column,l1_coef,l1_odds_ratio,l1_nonzero,hgb_importance,hgb_rank,hgb_flag,machine_controlled_flag
Laser_Power,0.88893,2.4325,True,-4.9e-05,30,False,False
Power_Efficiency,-0.01285,0.9872,True,-3.1e-05,29,False,False
Laser_Centering_Position,0.05329,1.0547,True,-2.9e-05,28,False,False
Laser_Current,0.0015,1.0015,True,-0.000202,38,False,False
Laser_Voltage,-0.01932,0.9809,True,-0.000159,34,False,False
Beam_Diameter,-0.02484,0.9755,True,0.000371,10,True,True
Frequency,-0.05706,0.9445,True,0.000264,15,False,False
Feed_Speed,0.02968,1.0301,True,0.000117,20,False,False
Alignment_Time,0.03173,1.0322,True,4e-05,24,False,False
Process_Time,0.02021,1.0204,True,0.000341,11,False,False
Cutting_X_Index,0.03012,1.0306,True,0.000698,6,True,True
Cutting_Y_Index,0.03238,1.0329,True,0.000115,21,False,False
Head_Temp,-0.04187,0.959,True,0.000295,13,False,False
Cooling_Flow,-0.27342,0.7608,True,1.4e-05,26,False,False
Cooling_Water_Temp,0.41869,1.52,True,-0.000169,35,False,False
CLN_Flow,-0.04803,0.9531,True,0.298515,1,True,True
CLN_Pressure,-0.67938,0.5069,True,0.116886,2,True,True
CLN_Time,1.48841,4.43,True,0.000104,22,False,False
Coating_Flow,-0.02725,0.9731,True,0.000283,14,False,False
Laser_Head_Remain_Time,-0.0327,0.9678,True,-0.000115,32,False,False
Vibration,-0.04757,0.9535,True,0.000444,9,True,True
Kerf_Width_Profile,0.02691,1.0273,True,0.000473,8,True,True
Top_Kerf,0.07083,1.0734,True,-0.000652,39,False,False
Bottom_Kerf,-0.05605,0.9455,True,-0.000174,36,False,False
Kerf_Angle,-0.00257,0.9974,True,-0.000176,37,False,False
Groove_Depth,0.66713,1.9486,True,-2.8e-05,27,False,False
Package_Size_1,-0.00621,0.9938,True,7.4e-05,23,False,False
Package_Size_2,0.02944,1.0299,True,0.000226,17,False,False
Package_Size_3,-0.02952,0.9709,True,-0.000153,33,False,False
Package_Size_4,-0.00759,0.9924,True,2.3e-05,25,False,False
Coating_Thickness,-0.69951,0.4968,True,0.057693,3,True,True
Coating_Uniformity,-0.13864,0.8705,True,0.00509,4,True,True
Surface_Roughness,-0.13562,0.8732,True,0.003313,5,True,True
Cooling_Thermal_Load,-0.52418,0.592,True,0.000158,19,False,False
Laser_Cleaning_Demand,-1.08192,0.3389,True,0.000227,16,False,False
Cleaning_Capacity,-2.50775,0.0815,True,0.00061,7,True,True
Cleaning_Load_Ratio,-0.86352,0.4217,True,-7.4e-05,31,False,False
Package_Size_Asymmetry,-0.04225,0.9586,True,0.000172,18,False,False
Maintenance_Count,-0.00598,0.994,True,0.000333,12,False,False
