model,column,mean_abs_shap,shap_rank,shap_direction
A_cause_FDConly,Alignment_Time,0.13225079,8,high_is_risky
A_cause_FDConly,Process_Time,0.13970686,7,low_is_risky
A_cause_FDConly,Cutting_X_Index,0.11055869,10,low_is_risky
A_cause_FDConly,Cutting_Y_Index,0.14694436,3,low_is_risky
A_cause_FDConly,Cooling_Flow,0.10831539,11,low_is_risky
A_cause_FDConly,Cooling_Water_Temp,0.15474832,2,low_is_risky
A_cause_FDConly,CLN_Flow,0.14078814,5,low_is_risky
A_cause_FDConly,CLN_Pressure,0.12275566,9,high_is_risky
A_cause_FDConly,CLN_Time,0.14056216,6,high_is_risky
A_cause_FDConly,Coating_Flow,0.102131404,12,low_is_risky
A_cause_FDConly,Vibration,0.24257784,1,high_is_risky
A_cause_FDConly,Cooling_Thermal_Load,0.14518909,4,high_is_risky
A_cause_FDConly,Cleaning_Capacity,0.09787128,13,low_is_risky
B_monitor_full,Alignment_Time,0.10297029,10,high_is_risky
B_monitor_full,Process_Time,0.1115137,5,low_is_risky
B_monitor_full,Cutting_X_Index,0.09596037,13,low_is_risky
B_monitor_full,Cutting_Y_Index,0.106497414,7,low_is_risky
B_monitor_full,Cooling_Flow,0.084015876,18,low_is_risky
B_monitor_full,Cooling_Water_Temp,0.10872174,6,low_is_risky
B_monitor_full,CLN_Flow,0.08224033,19,low_is_risky
B_monitor_full,CLN_Pressure,0.09704993,12,high_is_risky
B_monitor_full,CLN_Time,0.10328625,9,high_is_risky
B_monitor_full,Coating_Flow,0.093109846,15,low_is_risky
B_monitor_full,Vibration,0.11392176,4,low_is_risky
B_monitor_full,Package_Size_1,0.07989746,20,low_is_risky
B_monitor_full,Package_Size_2,0.09569358,14,high_is_risky
B_monitor_full,Package_Size_3,0.11888746,3,high_is_risky
B_monitor_full,Package_Size_4,0.09039592,17,low_is_risky
B_monitor_full,Coating_Thickness,0.09953895,11,high_is_risky
B_monitor_full,Coating_Uniformity,0.07145082,21,low_is_risky
B_monitor_full,Surface_Roughness,1.2924987,1,high_is_risky
B_monitor_full,Cooling_Thermal_Load,0.091214426,16,high_is_risky
B_monitor_full,Cleaning_Capacity,0.069892116,22,high_is_risky
B_monitor_full,Cleaning_Load_Ratio,0.1333603,2,high_is_risky
B_monitor_full,Package_Size_Asymmetry,0.10433777,8,low_is_risky
B_monitor_full,Maintenance_Count,0.062927976,23,low_is_risky
