model,column,mean_abs_shap,shap_rank,shap_direction
A_cause_FDConly,Laser_Power,0.112639345,7,high_is_risky
A_cause_FDConly,Power_Efficiency,0.09388067,21,high_is_risky
A_cause_FDConly,Laser_Centering_Position,0.11097169,9,high_is_risky
A_cause_FDConly,Laser_Current,0.09455015,20,low_is_risky
A_cause_FDConly,Laser_Voltage,0.10809204,12,low_is_risky
A_cause_FDConly,Beam_Diameter,0.09900079,19,low_is_risky
A_cause_FDConly,Frequency,0.101093456,17,low_is_risky
A_cause_FDConly,Feed_Speed,0.110949375,10,low_is_risky
A_cause_FDConly,Alignment_Time,0.10008373,18,high_is_risky
A_cause_FDConly,Process_Time,0.1020755,16,nonlinear_or_none
A_cause_FDConly,Cutting_X_Index,0.11258419,8,high_is_risky
A_cause_FDConly,Cutting_Y_Index,0.12895429,6,high_is_risky
A_cause_FDConly,Head_Temp,0.104320884,14,low_is_risky
A_cause_FDConly,Cooling_Flow,0.1097279,11,high_is_risky
A_cause_FDConly,Cooling_Water_Temp,0.10256084,15,nonlinear_or_none
A_cause_FDConly,CLN_Flow,1.1776352,1,low_is_risky
A_cause_FDConly,CLN_Pressure,0.83844453,2,low_is_risky
A_cause_FDConly,CLN_Time,0.16600876,4,high_is_risky
A_cause_FDConly,Coating_Flow,0.13764355,5,nonlinear_or_none
A_cause_FDConly,Laser_Head_Remain_Time,0.08255015,22,low_is_risky
A_cause_FDConly,Vibration,0.10531989,13,low_is_risky
A_cause_FDConly,Cooling_Thermal_Load,0.08148532,23,high_is_risky
A_cause_FDConly,Cleaning_Capacity,0.30876303,3,low_is_risky
B_monitor_full,Laser_Power,0.085230306,18,nonlinear_or_none
B_monitor_full,Power_Efficiency,0.060184978,38,high_is_risky
B_monitor_full,Laser_Centering_Position,0.06789587,34,high_is_risky
B_monitor_full,Laser_Current,0.09250804,14,low_is_risky
B_monitor_full,Laser_Voltage,0.07441102,30,low_is_risky
B_monitor_full,Beam_Diameter,0.07686549,28,low_is_risky
B_monitor_full,Frequency,0.08761474,16,low_is_risky
B_monitor_full,Feed_Speed,0.10219885,10,high_is_risky
B_monitor_full,Alignment_Time,0.06787414,35,high_is_risky
B_monitor_full,Process_Time,0.07409314,31,high_is_risky
B_monitor_full,Cutting_X_Index,0.09166601,15,high_is_risky
B_monitor_full,Cutting_Y_Index,0.094805285,13,high_is_risky
B_monitor_full,Head_Temp,0.07923247,26,low_is_risky
B_monitor_full,Cooling_Flow,0.08267008,22,high_is_risky
B_monitor_full,Cooling_Water_Temp,0.068977654,33,high_is_risky
B_monitor_full,CLN_Flow,1.8013233,1,low_is_risky
B_monitor_full,CLN_Pressure,1.6872307,2,low_is_risky
B_monitor_full,CLN_Time,0.17615043,7,high_is_risky
B_monitor_full,Coating_Flow,0.08456632,19,low_is_risky
B_monitor_full,Laser_Head_Remain_Time,0.06225344,37,low_is_risky
B_monitor_full,Vibration,0.06935293,32,nonlinear_or_none
B_monitor_full,Kerf_Width_Profile,0.08134639,23,high_is_risky
B_monitor_full,Top_Kerf,0.08049509,24,high_is_risky
B_monitor_full,Bottom_Kerf,0.08356629,20,low_is_risky
B_monitor_full,Kerf_Angle,0.10672542,9,low_is_risky
B_monitor_full,Groove_Depth,0.082807474,21,low_is_risky
B_monitor_full,Package_Size_1,0.0981138,12,nonlinear_or_none
B_monitor_full,Package_Size_2,0.07507319,29,high_is_risky
B_monitor_full,Package_Size_3,0.06320908,36,low_is_risky
B_monitor_full,Package_Size_4,0.079679705,25,low_is_risky
B_monitor_full,Coating_Thickness,1.000974,3,low_is_risky
B_monitor_full,Coating_Uniformity,0.21181953,5,low_is_risky
B_monitor_full,Surface_Roughness,0.18164407,6,low_is_risky
B_monitor_full,Cooling_Thermal_Load,0.07783736,27,low_is_risky
B_monitor_full,Laser_Cleaning_Demand,0.08721166,17,high_is_risky
B_monitor_full,Cleaning_Capacity,0.37166518,4,low_is_risky
B_monitor_full,Cleaning_Load_Ratio,0.12981187,8,high_is_risky
B_monitor_full,Package_Size_Asymmetry,0.10156228,11,high_is_risky
B_monitor_full,Maintenance_Count,0.05307979,39,low_is_risky
