column,threshold_z,risky_direction,defect_rate_below_pct,defect_rate_above_pct,risk_ratio,n_below,n_above
Surface_Roughness,0.5721,high_is_risky,0.118,17.066,144.76,111120,60593
Top_Kerf,10.4703,low_is_risky,6.153,3.16,1.95,168580,3133
Laser_Centering_Position,6.3487,low_is_risky,6.163,3.209,1.92,167974,3739
Bottom_Kerf,11.0924,low_is_risky,6.163,3.226,1.91,167962,3751
Kerf_Width_Profile,8.9762,low_is_risky,6.161,3.235,1.9,168035,3678
Package_Size_Asymmetry,6.3086,low_is_risky,6.157,3.258,1.89,168275,3438
Power_Efficiency,-10.552,high_is_risky,3.31,6.162,1.86,3807,167906
Laser_Power,-4.6128,high_is_risky,3.341,6.162,1.84,3891,167822
Package_Size_1,-3.1264,high_is_risky,3.364,6.161,1.83,3835,167878
Laser_Cleaning_Demand,-3.8336,high_is_risky,3.374,6.166,1.83,4149,167564
Package_Size_4,3.4408,low_is_risky,6.154,3.363,1.83,168323,3390
Vibration,0.0374,high_is_risky,4.32,7.749,1.79,82643,89070
Groove_Depth,-3.0851,high_is_risky,3.627,6.15,1.7,3474,168239
Process_Time,2.7775,low_is_risky,6.104,3.73,1.64,171284,429
Package_Size_2,-2.4638,high_is_risky,3.88,6.142,1.58,3299,168414
Feed_Speed,-2.7198,low_is_risky,9.122,6.088,1.5,581,171132
Kerf_Angle,4.4264,high_is_risky,6.034,8.975,1.49,167936,3777
Cooling_Thermal_Load,-2.786,low_is_risky,8.929,6.092,1.47,392,171321
Head_Temp,7.566,high_is_risky,6.025,8.719,1.45,167045,4668
Frequency,-1.224,low_is_risky,8.095,5.837,1.39,19877,151836
Cooling_Water_Temp,-2.6499,low_is_risky,8.424,6.089,1.38,736,170977
Package_Size_3,2.1593,low_is_risky,6.147,4.492,1.37,166726,4987
Coating_Thickness,-1.9872,high_is_risky,4.672,6.131,1.31,3831,167882
CLN_Flow,-16.5469,high_is_risky,4.732,6.109,1.29,1268,170445
Cleaning_Load_Ratio,-1.897,high_is_risky,4.926,6.128,1.24,4202,167511
Coating_Uniformity,-2.2587,high_is_risky,5.036,6.119,1.22,3197,168516
Laser_Head_Remain_Time,1.3109,low_is_risky,6.113,5.147,1.19,169129,2584
Cutting_X_Index,1.6892,low_is_risky,6.132,5.393,1.14,163907,7806
Beam_Diameter,2.0033,high_is_risky,6.084,6.707,1.1,167717,3996
CLN_Pressure,-1.0908,high_is_risky,5.649,6.171,1.09,23916,147797
Alignment_Time,-1.3006,high_is_risky,5.631,6.149,1.09,16692,155021
Cooling_Flow,-0.3473,low_is_risky,6.377,5.932,1.08,64290,107423
Laser_Voltage,1.226,low_is_risky,6.145,5.722,1.07,152961,18752
Laser_Current,1.0386,low_is_risky,6.156,5.771,1.07,146135,25578
Cutting_Y_Index,-1.1293,low_is_risky,6.484,6.041,1.07,22410,149303
Cleaning_Capacity,1.0531,low_is_risky,6.157,5.739,1.07,147599,24114
CLN_Time,1.1168,low_is_risky,6.154,5.741,1.07,148789,22924
Coating_Flow,-0.5562,high_is_risky,5.897,6.181,1.05,49639,122074
Maintenance_Count,0.932,low_is_risky,6.152,5.838,1.05,142354,29359
