column,label,lag_window,delta_concurrent,delta_lagged,p_lagged,signal_retention_ratio,p_lagged_fdr,lagged_significant,interpretation
Beam_Diameter,primary,5,0.00036664170102973515,-0.0011863169181500766,0.8468382604209223,3.235630084680042,0.8468382604209223,False,선행신호 약함 - 판단 보류
Beam_Diameter,primary,20,0.00036664170102973515,-0.0016236330003683852,0.7915060466715023,4.428391521772659,0.8310813490050775,False,선행신호 약함 - 판단 보류
Beam_Diameter,primary,50,0.00036664170102973515,-0.007685139598470059,0.21086479098970323,20.960898819981153,0.2214080305391884,False,선행신호 약함 - 판단 보류
Beam_Diameter,broad,5,0.0018320319110545213,0.0020233854226774373,0.7354358389487885,1.1044487874191953,0.8128501377855031,False,선행신호 약함 - 판단 보류
Beam_Diameter,broad,20,0.0018320319110545213,0.00020896460355346314,0.9721622124317224,0.11406166142225256,0.9839935544680634,False,선행신호 소멸 - 결과 공변 해석 지지
Beam_Diameter,broad,50,0.0018320319110545213,-0.0045039763318172055,0.4519869010874732,2.458459541365034,0.4519869010874732,False,선행신호 약함 - 판단 보류
Beam_Diameter,pure,5,-0.013325329691633248,-0.001684959498585159,0.8632679270306832,0.12644786564966698,0.8851130608118638,False,선행신호 소멸 - 결과 공변 해석 지지
Beam_Diameter,pure,20,-0.013325329691633248,-0.004915182176239097,0.6154085518262049,0.36886008001177323,0.680188399386858,False,선행신호 약함 - 판단 보류
Beam_Diameter,pure,50,-0.013325329691633248,-0.02035449839965786,0.03751799269928986,1.5275042997576347,0.052525189779005804,False,선행신호 약함 - 판단 보류
Bottom_Kerf,primary,5,-0.19448707665648746,-0.2225728868062672,1.4830140571285334e-287,1.144409647327808,6.22865903993984e-287,True,선행신호 유지 - 상류 원인 가능성
Bottom_Kerf,primary,20,-0.19448707665648746,-0.2671481510343787,0.0,1.3736036122658617,0.0,True,선행신호 유지 - 상류 원인 가능성
Bottom_Kerf,primary,50,-0.19448707665648746,-0.29422811737636934,0.0,1.5128414825014278,0.0,True,선행신호 유지 - 상류 원인 가능성
Bottom_Kerf,broad,5,-0.13856008223154703,-0.16624904770183402,1.1989215748738531e-169,1.199833639128592,5.035470614470184e-169,False,선행신호 약함 - 판단 보류
Bottom_Kerf,broad,20,-0.13856008223154703,-0.20890230341368587,1.201255013558289e-266,1.5076658446592888,4.204392547454012e-266,True,선행신호 유지 - 상류 원인 가능성
Bottom_Kerf,broad,50,-0.13856008223154703,-0.23484144563318887,0.0,1.6948708592763864,0.0,True,선행신호 유지 - 상류 원인 가능성
Bottom_Kerf,pure,5,-0.201399192793822,-0.21895540159563487,6.313571357334748e-111,1.0871711974525422,2.6516999700805942e-110,True,선행신호 유지 - 상류 원인 가능성
Bottom_Kerf,pure,20,-0.201399192793822,-0.2654855690993043,3.8472119369724896e-162,1.318205725735402,1.6158290135284458e-161,True,선행신호 유지 - 상류 원인 가능성
Bottom_Kerf,pure,50,-0.201399192793822,-0.2911866173135821,1.40090907838659e-194,1.4458181945727955,7.354772661529598e-194,True,선행신호 유지 - 상류 원인 가능성
CLN_Flow,primary,5,-0.6106359565046171,-0.6049478839244578,0.0,0.9906850022184759,0.0,True,선행신호 유지 - 상류 원인 가능성
CLN_Flow,primary,20,-0.6106359565046171,-0.6082501771181967,0.0,0.9960929595432326,0.0,True,선행신호 유지 - 상류 원인 가능성
CLN_Flow,primary,50,-0.6106359565046171,-0.6111758682849897,0.0,1.00088417947653,0.0,True,선행신호 유지 - 상류 원인 가능성
CLN_Flow,broad,5,-0.5763064897006798,-0.5685622834979486,0.0,0.9865623477418182,0.0,True,선행신호 유지 - 상류 원인 가능성
CLN_Flow,broad,20,-0.5763064897006798,-0.571878914790625,0.0,0.9923173259555791,0.0,True,선행신호 유지 - 상류 원인 가능성
CLN_Flow,broad,50,-0.5763064897006798,-0.5767675969547809,0.0,1.0008001076898172,0.0,True,선행신호 유지 - 상류 원인 가능성
CLN_Flow,pure,5,-0.5555735682963605,-0.5483167131567188,0.0,0.9869380842542699,0.0,True,선행신호 유지 - 상류 원인 가능성
CLN_Flow,pure,20,-0.5555735682963605,-0.5499379368113345,0.0,0.9898561922189578,0.0,True,선행신호 유지 - 상류 원인 가능성
CLN_Flow,pure,50,-0.5555735682963605,-0.5579885435602792,0.0,1.004346814538575,0.0,True,선행신호 유지 - 상류 원인 가능성
CLN_Pressure,primary,5,-0.23685937586821804,-0.003455578534202308,0.5736857167831604,0.014589156631590957,0.7086705913203746,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,primary,20,-0.23685937586821804,0.019171215153494625,0.001799901572432189,0.08093922853263345,0.0029075333093135356,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,primary,50,-0.23685937586821804,0.019751085473515007,0.0013016935072571623,0.08338739136298308,0.0019525402608857436,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,broad,5,-0.2587821819583104,-0.004937829153009332,0.409591182282518,0.019081024495746824,0.5375884267458049,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,broad,20,-0.2587821819583104,0.017263117757050583,0.003940256558440608,0.06670906639094518,0.006365029825173289,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,broad,50,-0.2587821819583104,0.019558213636177824,0.0010908868598028094,0.07557789909712037,0.001762201850450692,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,pure,5,-0.2465791499892721,-0.004399348403286263,0.6529648050576135,0.0178415263556455,0.7617922725672157,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,pure,20,-0.2465791499892721,0.02429186839390618,0.013035049631199816,0.09851550058049532,0.024885094750472375,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Pressure,pure,50,-0.2465791499892721,0.0304081715584823,0.0018868029371650193,0.12332012483539369,0.0030479124369588773,False,선행신호 소멸 - 결과 공변 해석 지지
CLN_Time,primary,5,0.006657674651087353,-0.008039066483620738,0.19056556586835482,1.2074886360371744,0.26679179221569677,False,선행신호 약함 - 판단 보류
