column,delta_original,delta_r1,reproducibility
Alignment_Time,0.16330228748362674,0.022684174115739753,direction_only
CLN_Flow,-0.014492868751846189,-0.007637675118803866,direction_only
CLN_Pressure,-0.05048598876559207,0.018658686515001355,not_reproduced
CLN_Time,-0.2991375891332465,0.0011071964756832475,not_reproduced
Cleaning_Capacity,-0.2867657356442367,0.011738637546334862,not_reproduced
Cleaning_Load_Ratio,0.2618078381943978,0.07779962658053874,direction_only
Coating_Flow,-0.07766876031968517,0.0014332213944969752,not_reproduced
Coating_Thickness,0.025874679744054108,0.011538541694036342,direction_only
Coating_Uniformity,-0.010479739582046177,0.0007614842488488094,not_reproduced
Cooling_Flow,0.06837942547524989,0.06496965040437575,direction_only
Cooling_Thermal_Load,-0.10245954212667596,-0.05113713179019386,direction_only
Cooling_Water_Temp,-0.10140300643395228,-0.012706351241096758,direction_only
Cutting_X_Index,-0.002511147907935718,0.004580363760223749,not_reproduced
Cutting_Y_Index,-0.05960114674283379,-0.0022570871517454405,direction_only
Maintenance_Count,-0.006802312786347353,0.00487009054102816,not_reproduced
Package_Size_1,0.09257059164821912,0.1315731688096562,direction_only
Package_Size_2,0.10260723940257344,0.1321495867695146,direction_only
Package_Size_3,0.21523200241023122,-0.12374321381386144,not_reproduced
Package_Size_4,0.05797000391897944,-0.13539175788429414,not_reproduced
Package_Size_Asymmetry,-0.1796210711641958,-0.13744433669671763,direction_only
Process_Time,-0.13784598528205472,-0.011730599978553746,direction_only
Surface_Roughness,0.41693558162716493,0.36384205817017135,reproduced
Vibration,0.08715492679275649,-0.09221442997667184,not_reproduced
