column,delta_original,delta_r1,reproducibility
Alignment_Time,0.014139934288756484,-0.0033364858528462937,not_reproduced
Beam_Diameter,0.005386300075820749,-0.0014659055123470432,not_reproduced
Bottom_Kerf,0.03300038034628905,-0.13790451564095907,not_reproduced
CLN_Flow,-0.0007244743307687207,-0.01606914279284477,direction_only
CLN_Pressure,0.011593357612519117,0.011828634294911655,direction_only
CLN_Time,-0.002647677526009029,0.013106152320523368,not_reproduced
Cleaning_Capacity,0.0009574451335976342,0.0024679429115401774,direction_only
Cleaning_Load_Ratio,-0.0036848213656834883,0.07603360620133826,not_reproduced
Coating_Flow,0.004410765705857189,0.014029383639933446,direction_only
Coating_Thickness,0.0029841886981634147,0.015941124685264096,direction_only
Coating_Uniformity,0.005170787084799011,0.004549546665441939,direction_only
Cooling_Flow,-0.01670399363603592,0.06775507427894634,not_reproduced
Cooling_Thermal_Load,-0.00019072170501199803,-0.04147749382190491,direction_only
Cooling_Water_Temp,-0.011946063747363844,0.005298247166890313,not_reproduced
Cutting_X_Index,-0.002970511147295074,0.0008897022739930982,not_reproduced
Cutting_Y_Index,-0.010717669529621832,0.005977625466734526,not_reproduced
Feed_Speed,0.002572947352284416,-0.019088730853381475,not_reproduced
Frequency,-0.0040374728102121615,0.00025566836192436604,not_reproduced
Groove_Depth,-0.0094501833368551,0.13323017865056697,not_reproduced
Head_Temp,0.017782717031475936,-0.11784939806620487,not_reproduced
Kerf_Angle,-0.004794463019817008,-0.09896253056251625,direction_only
Kerf_Width_Profile,0.01989316495345106,-0.14877240017678095,not_reproduced
Laser_Centering_Position,0.007146148268761365,-0.13106400750984304,not_reproduced
Laser_Cleaning_Demand,-0.014798957569429727,0.1519741196285047,not_reproduced
Laser_Current,-0.005040915814202074,-0.008092185762071602,direction_only
Laser_Head_Remain_Time,-0.0064206795686093665,0.003462061104070102,not_reproduced
Laser_Power,-0.013060266242402419,0.1581892643037841,not_reproduced
Laser_Voltage,-0.00104040537125194,-0.003863616951253257,direction_only
Maintenance_Count,-0.014778679063138345,-0.007357274575987227,direction_only
Package_Size_1,-0.00793115317846027,0.1311674623470349,not_reproduced
Package_Size_2,-0.0027734967413686196,0.09942783382139853,not_reproduced
Package_Size_3,-0.004155489540477064,-0.10662855575876362,direction_only
Package_Size_4,0.011345482869915768,-0.12944748941149997,not_reproduced
Package_Size_Asymmetry,-0.00454156173998066,-0.13058044370540367,direction_only
Power_Efficiency,-0.01980960146503752,0.15652612728391402,not_reproduced
Process_Time,0.005655699601009312,-0.007687764804463315,not_reproduced
Surface_Roughness,0.715285996378838,0.4967020791551984,reproduced
Top_Kerf,0.030316491201902496,-0.14478582698573217,not_reproduced
Vibration,0.21922620660509873,-0.03399422433114152,not_reproduced
