label,column,delta,p,delta_abs,p_abs,p_fdr,p_fdr_abs,univariate_flag,nonlinear_flag
primary,Laser_Power,0.07702987634665392,3.6595182397176e-43,-0.09263600883269496,1.2589469127962209e-61,4.1257468536022326e-42,1.636630986635087e-60,False,False
primary,Power_Efficiency,0.07697120118364542,4.231535234463828e-43,-0.08183122986339264,1.7443698775862168e-48,4.1257468536022326e-42,8.503803153232807e-48,False,False
primary,Laser_Centering_Position,-0.0666798463102547,8.962318324243321e-33,-0.06333633968795527,9.832111050851228e-30,3.8836712738387723e-32,2.7389452213085566e-29,False,False
primary,Laser_Current,-0.00579278371907066,0.3002856034261906,0.0014244996495553774,0.7989408529289415,0.4182549476293369,0.7989408529289415,False,False
primary,Laser_Voltage,-0.0016608263099280318,0.7664847358880053,-0.0030159691508105935,0.5896851268379776,0.8303584638786723,0.6980370271829635,False,False
primary,Beam_Diameter,0.002337355555664944,0.6759852188776145,0.006558740608671343,0.24088261654506038,0.7753948098890284,0.3479415572317539,False,False
primary,Frequency,0.0014950349155125053,0.7892146450006081,0.11229824726847104,1.0970780288806184e-89,0.8318748960817222,2.139302156317206e-88,False,False
primary,Feed_Speed,-0.005861677964494105,0.2945740384858383,0.002894182721258076,0.604796390718405,0.4182549476293369,0.6980370271829635,False,False
primary,Alignment_Time,0.004985779736095264,0.37265092635751174,-0.00309074911482099,0.5804935403171284,0.48444620426476526,0.6980370271829635,False,False
primary,Process_Time,0.0010018702454879236,0.8578225338766967,0.002581682777553773,0.6443418712458124,0.8803968110839783,0.6980370271829635,False,False
primary,Cutting_X_Index,-0.0004574370540176842,0.9348094958325844,-0.013618486475183489,0.01488549053293308,0.9348094958325844,0.02761053009861771,False,False
primary,Cutting_Y_Index,-0.0034135478932246777,0.5416072419535554,0.002071207170508682,0.7111163021388698,0.6400812859451109,0.7495550211734033,False,False
primary,Head_Temp,-0.06389793932407173,3.1099959740602955e-30,-0.07374145697282819,1.0581062857925218e-39,1.1026349362577411e-29,3.438845428825696e-39,False,False
primary,Cooling_Flow,0.031763331207956824,1.3495062908604835e-08,-0.01591610052928194,0.004427282097644339,2.770039228608361e-08,0.008633200090406462,False,False
primary,Cooling_Water_Temp,-0.004649296873085906,0.4057751002213965,-0.0028125501594955526,0.6150215459377923,0.494538403394827,0.6980370271829635,False,False
primary,CLN_Flow,-0.007574176717731307,0.17562245598411097,-0.001761984576561182,0.7527120837435539,0.279610092099277,0.7725202964736475,False,False
primary,CLN_Pressure,0.01310424937510235,0.019119072077401943,-0.00820622154663675,0.14227449778371062,0.03550684814374647,0.21341174667556595,False,False
primary,CLN_Time,0.004730254824348856,0.3976488381869785,-0.01158908404475123,0.03824018204117516,0.494538403394827,0.06465596102887694,False,False
primary,Coating_Flow,0.009305316394613738,0.0961313890731076,-0.005641966519743358,0.3130451183308226,0.16300539886309548,0.43602712910364577,False,False
primary,Laser_Head_Remain_Time,-0.0019860350147131722,0.7224941165465524,-0.003862004840021638,0.48983331467046765,0.8050648727233012,0.6587413542120082,False,False
primary,Vibration,0.08651160901648636,5.587564607230343e-54,-0.05774856015413443,5.3669461062786165e-25,1.089575098409917e-52,1.3081931134054129e-24,False,False
primary,Kerf_Width_Profile,-0.0692496877501032,3.242589546127512e-35,-0.0878813521549825,1.2076718862526905e-55,1.8065856042710425e-34,9.419840712770987e-55,False,False
primary,Top_Kerf,-0.06243925315412213,6.055409636383653e-29,-0.08507101910899262,2.9555298900539067e-52,1.8166228909150961e-28,1.646652367315748e-51,False,False
primary,Bottom_Kerf,-0.0589605476445626,5.47992084564273e-26,-0.08927290379020691,2.3098720260583526e-57,1.3357307061254156e-25,2.252125225406894e-56,False,False
