model,column,mean_abs_shap,shap_rank,shap_direction
A_cause_FDConly,Laser_Power,1.1250668,2,low_is_risky
A_cause_FDConly,Power_Efficiency,0.95383996,3,low_is_risky
A_cause_FDConly,Laser_Centering_Position,0.21285798,4,high_is_risky
A_cause_FDConly,Laser_Current,0.07378172,16,high_is_risky
A_cause_FDConly,Laser_Voltage,0.06411558,21,high_is_risky
A_cause_FDConly,Beam_Diameter,0.07623392,14,low_is_risky
A_cause_FDConly,Frequency,0.086807206,10,low_is_risky
A_cause_FDConly,Feed_Speed,0.07032743,17,low_is_risky
A_cause_FDConly,Alignment_Time,0.096834704,8,high_is_risky
A_cause_FDConly,Process_Time,0.0896512,9,low_is_risky
A_cause_FDConly,Cutting_X_Index,0.07936156,12,high_is_risky
A_cause_FDConly,Cutting_Y_Index,0.07601512,15,low_is_risky
A_cause_FDConly,Head_Temp,1.8968658,1,high_is_risky
A_cause_FDConly,Cooling_Flow,0.09777103,7,low_is_risky
A_cause_FDConly,Cooling_Water_Temp,0.061117534,22,high_is_risky
A_cause_FDConly,CLN_Flow,0.11889856,6,high_is_risky
A_cause_FDConly,CLN_Pressure,0.07814889,13,high_is_risky
A_cause_FDConly,CLN_Time,0.067597255,19,high_is_risky
A_cause_FDConly,Coating_Flow,0.06626101,20,nonlinear_or_none
A_cause_FDConly,Laser_Head_Remain_Time,0.058387287,23,high_is_risky
A_cause_FDConly,Vibration,0.19461901,5,high_is_risky
A_cause_FDConly,Cooling_Thermal_Load,0.069542855,18,high_is_risky
A_cause_FDConly,Cleaning_Capacity,0.079419814,11,high_is_risky
B_monitor_full,Laser_Power,0.09452949,11,low_is_risky
B_monitor_full,Power_Efficiency,0.15904856,5,low_is_risky
B_monitor_full,Laser_Centering_Position,0.06518881,17,high_is_risky
B_monitor_full,Laser_Current,0.06373077,19,high_is_risky
B_monitor_full,Laser_Voltage,0.055241242,28,low_is_risky
B_monitor_full,Beam_Diameter,0.07566283,13,low_is_risky
B_monitor_full,Frequency,0.062372047,22,low_is_risky
B_monitor_full,Feed_Speed,0.06155719,23,low_is_risky
B_monitor_full,Alignment_Time,0.08259321,12,high_is_risky
B_monitor_full,Process_Time,0.06371154,20,low_is_risky
B_monitor_full,Cutting_X_Index,0.059251964,24,nonlinear_or_none
B_monitor_full,Cutting_Y_Index,0.06892958,16,nonlinear_or_none
B_monitor_full,Head_Temp,0.12615746,7,nonlinear_or_none
B_monitor_full,Cooling_Flow,0.057483234,27,low_is_risky
B_monitor_full,Cooling_Water_Temp,0.049026713,34,high_is_risky
B_monitor_full,CLN_Flow,0.06976498,15,high_is_risky
B_monitor_full,CLN_Pressure,0.053112883,32,high_is_risky
B_monitor_full,CLN_Time,0.044825114,38,high_is_risky
B_monitor_full,Coating_Flow,0.058409017,25,low_is_risky
B_monitor_full,Laser_Head_Remain_Time,0.045837637,37,high_is_risky
B_monitor_full,Vibration,0.15464374,6,high_is_risky
B_monitor_full,Kerf_Width_Profile,5.5631146,1,high_is_risky
B_monitor_full,Top_Kerf,0.46295884,2,high_is_risky
B_monitor_full,Bottom_Kerf,0.33099535,3,high_is_risky
B_monitor_full,Kerf_Angle,0.11034208,9,high_is_risky
B_monitor_full,Groove_Depth,0.112372376,8,low_is_risky
B_monitor_full,Package_Size_1,0.057777397,26,low_is_risky
B_monitor_full,Package_Size_2,0.04644004,36,nonlinear_or_none
B_monitor_full,Package_Size_3,0.053456526,31,high_is_risky
B_monitor_full,Package_Size_4,0.053018156,33,high_is_risky
B_monitor_full,Coating_Thickness,0.06497194,18,low_is_risky
B_monitor_full,Coating_Uniformity,0.06277073,21,low_is_risky
B_monitor_full,Surface_Roughness,0.1777492,4,low_is_risky
B_monitor_full,Cooling_Thermal_Load,0.048231248,35,low_is_risky
B_monitor_full,Laser_Cleaning_Demand,0.09489882,10,low_is_risky
B_monitor_full,Cleaning_Capacity,0.055174306,29,high_is_risky
B_monitor_full,Cleaning_Load_Ratio,0.054463312,30,low_is_risky
B_monitor_full,Package_Size_Asymmetry,0.075021476,14,high_is_risky
B_monitor_full,Maintenance_Count,0.034358673,39,low_is_risky
