model,column,mean_abs_shap,shap_rank,shap_direction
A_cause_FDConly,Laser_Power,0.049649324,9,high_is_risky
A_cause_FDConly,Power_Efficiency,0.04664804,11,high_is_risky
A_cause_FDConly,Laser_Centering_Position,0.0675454,4,low_is_risky
A_cause_FDConly,Laser_Current,0.043605417,19,low_is_risky
A_cause_FDConly,Laser_Voltage,0.05088208,7,low_is_risky
A_cause_FDConly,Beam_Diameter,0.042607255,21,low_is_risky
A_cause_FDConly,Frequency,0.18343683,2,nonlinear_or_none
A_cause_FDConly,Feed_Speed,0.043326464,20,low_is_risky
A_cause_FDConly,Alignment_Time,0.045313444,16,nonlinear_or_none
A_cause_FDConly,Process_Time,0.045557067,14,low_is_risky
A_cause_FDConly,Cutting_X_Index,0.045577116,13,nonlinear_or_none
A_cause_FDConly,Cutting_Y_Index,0.045090187,17,low_is_risky
A_cause_FDConly,Head_Temp,0.04673619,10,low_is_risky
A_cause_FDConly,Cooling_Flow,0.046266127,12,low_is_risky
A_cause_FDConly,Cooling_Water_Temp,0.04158948,23,low_is_risky
A_cause_FDConly,CLN_Flow,0.05402274,5,high_is_risky
A_cause_FDConly,CLN_Pressure,0.053773735,6,high_is_risky
A_cause_FDConly,CLN_Time,0.04421048,18,low_is_risky
A_cause_FDConly,Coating_Flow,0.05076556,8,high_is_risky
A_cause_FDConly,Laser_Head_Remain_Time,0.04536652,15,low_is_risky
A_cause_FDConly,Vibration,0.3567338,1,high_is_risky
A_cause_FDConly,Cooling_Thermal_Load,0.042166464,22,low_is_risky
A_cause_FDConly,Cleaning_Capacity,0.072499014,3,high_is_risky
B_monitor_full,Laser_Power,0.04373267,16,high_is_risky
B_monitor_full,Power_Efficiency,0.053180475,5,high_is_risky
B_monitor_full,Laser_Centering_Position,0.04905453,9,high_is_risky
B_monitor_full,Laser_Current,0.04099832,19,low_is_risky
B_monitor_full,Laser_Voltage,0.04303702,17,low_is_risky
B_monitor_full,Beam_Diameter,0.03580446,29,nonlinear_or_none
B_monitor_full,Frequency,0.031458747,36,nonlinear_or_none
B_monitor_full,Feed_Speed,0.037252016,28,low_is_risky
B_monitor_full,Alignment_Time,0.03550878,31,high_is_risky
B_monitor_full,Process_Time,0.03816682,26,nonlinear_or_none
B_monitor_full,Cutting_X_Index,0.038358614,25,low_is_risky
B_monitor_full,Cutting_Y_Index,0.045965873,15,nonlinear_or_none
B_monitor_full,Head_Temp,0.03882403,24,low_is_risky
B_monitor_full,Cooling_Flow,0.047458645,13,low_is_risky
B_monitor_full,Cooling_Water_Temp,0.033060685,34,nonlinear_or_none
B_monitor_full,CLN_Flow,0.05738709,4,high_is_risky
B_monitor_full,CLN_Pressure,0.048449326,11,high_is_risky
B_monitor_full,CLN_Time,0.035574455,30,low_is_risky
B_monitor_full,Coating_Flow,0.046096448,14,high_is_risky
B_monitor_full,Laser_Head_Remain_Time,0.040800378,20,high_is_risky
B_monitor_full,Vibration,0.060663532,3,high_is_risky
B_monitor_full,Kerf_Width_Profile,0.050524913,6,low_is_risky
B_monitor_full,Top_Kerf,0.037668575,27,high_is_risky
B_monitor_full,Bottom_Kerf,0.06160985,2,low_is_risky
B_monitor_full,Kerf_Angle,0.034206204,32,high_is_risky
B_monitor_full,Groove_Depth,0.040676188,21,low_is_risky
B_monitor_full,Package_Size_1,0.048831616,10,high_is_risky
B_monitor_full,Package_Size_2,0.03945226,23,low_is_risky
B_monitor_full,Package_Size_3,0.03130807,38,nonlinear_or_none
B_monitor_full,Package_Size_4,0.04751789,12,nonlinear_or_none
B_monitor_full,Coating_Thickness,0.03990745,22,high_is_risky
B_monitor_full,Coating_Uniformity,0.04208439,18,high_is_risky
B_monitor_full,Surface_Roughness,5.6169267,1,high_is_risky
B_monitor_full,Cooling_Thermal_Load,0.032070912,35,low_is_risky
B_monitor_full,Laser_Cleaning_Demand,0.033593416,33,high_is_risky
B_monitor_full,Cleaning_Capacity,0.05000401,7,high_is_risky
B_monitor_full,Cleaning_Load_Ratio,0.027314285,39,nonlinear_or_none
B_monitor_full,Package_Size_Asymmetry,0.049485277,8,high_is_risky
B_monitor_full,Maintenance_Count,0.03141043,37,low_is_risky
