column,threshold_z,risky_direction,defect_rate_below_pct,defect_rate_above_pct,risk_ratio,n_below,n_above
Bottom_Kerf,3.65,high_is_risky,0.236,42.46,180.16,145963,28554
Kerf_Width_Profile,3.3641,high_is_risky,0.279,43.074,154.31,146521,27996
Top_Kerf,3.4838,high_is_risky,0.304,42.689,140.4,146353,28164
Head_Temp,2.5796,high_is_risky,0.645,40.673,63.05,146181,28336
Power_Efficiency,-2.2523,low_is_risky,40.356,1.241,32.52,26338,148179
CLN_Flow,-2.346,high_is_risky,0.262,7.716,29.49,13378,161139
Laser_Power,-2.1935,low_is_risky,41.926,2.041,20.54,22330,152187
Laser_Cleaning_Demand,-2.292,low_is_risky,42.479,2.324,18.28,20949,153568
Vibration,2.0639,high_is_risky,2.207,38.219,17.32,150589,23928
Laser_Centering_Position,3.4457,high_is_risky,3.116,45.453,14.59,157913,16604
Package_Size_Asymmetry,3.6755,high_is_risky,3.373,44.95,13.33,158686,15831
Kerf_Angle,1.8611,high_is_risky,2.678,34.825,13.0,150273,24244
Groove_Depth,-2.3377,low_is_risky,42.297,3.427,12.34,16689,157828
Package_Size_1,-2.5456,low_is_risky,43.297,3.516,12.32,15918,158599
Package_Size_4,2.5481,high_is_risky,3.55,43.242,12.18,158713,15804
Package_Size_2,-1.9676,low_is_risky,34.516,4.673,7.39,14454,160063
Package_Size_3,1.9095,high_is_risky,4.613,33.879,7.34,159422,15095
Cooling_Flow,-1.3199,low_is_risky,21.169,4.861,4.36,24437,150080
Cleaning_Load_Ratio,-1.2915,low_is_risky,20.439,5.241,3.9,21860,152657
Process_Time,-2.9968,high_is_risky,2.232,7.151,3.2,224,174293
Cleaning_Capacity,-2.3245,high_is_risky,2.39,7.236,3.03,3306,171211
Surface_Roughness,0.8908,high_is_risky,4.799,14.149,2.95,130746,43771
Cooling_Thermal_Load,1.1768,high_is_risky,5.766,15.173,2.63,148952,25565
Coating_Uniformity,2.7221,low_is_risky,7.15,3.846,1.86,174231,286
CLN_Pressure,-2.772,high_is_risky,4.535,7.151,1.58,441,174076
Cooling_Water_Temp,3.0766,high_is_risky,7.14,10.476,1.47,174307,210
Beam_Diameter,-2.5025,high_is_risky,4.985,7.157,1.44,1003,173514
Laser_Voltage,2.8824,high_is_risky,7.138,10.116,1.42,174171,346
CLN_Time,2.4955,high_is_risky,7.128,9.617,1.35,173394,1123
Frequency,1.767,low_is_risky,7.206,5.677,1.27,167453,7064
Alignment_Time,2.2312,high_is_risky,7.123,8.732,1.23,172238,2279
Coating_Flow,2.4704,low_is_risky,7.152,5.914,1.21,173384,1133
Coating_Thickness,-1.9187,high_is_risky,6.326,7.164,1.13,4031,170486
Feed_Speed,-1.9353,low_is_risky,7.982,7.122,1.12,4573,169944
Laser_Head_Remain_Time,1.2876,high_is_risky,7.126,7.917,1.11,170513,4004
Maintenance_Count,-1.1446,low_is_risky,7.635,7.101,1.08,14015,160502
Laser_Current,0.6948,high_is_risky,7.033,7.49,1.06,131898,42619
Cutting_Y_Index,0.2475,low_is_risky,7.266,6.964,1.04,104217,70300
Cutting_X_Index,0.1726,low_is_risky,7.217,7.049,1.02,99127,75390
