column,threshold_z,risky_direction,defect_rate_below_pct,defect_rate_above_pct,risk_ratio,n_below,n_above
Surface_Roughness,-0.0683,high_is_risky,0.188,5.092,27.07,71768,93987
CLN_Flow,-7.0253,low_is_risky,9.146,2.772,3.3,5128,160627
Cleaning_Load_Ratio,3.1061,high_is_risky,2.895,9.257,3.2,163843,1912
Cleaning_Capacity,-2.6461,low_is_risky,8.585,2.885,2.98,2446,163309
Package_Size_2,-3.6365,high_is_risky,1.221,2.978,2.44,901,164854
Cooling_Flow,-2.0133,low_is_risky,5.117,2.883,1.77,6391,159364
Vibration,1.0027,high_is_risky,2.592,4.311,1.66,129456,36299
Coating_Thickness,-2.0176,high_is_risky,1.997,2.986,1.49,2804,162951
Package_Size_Asymmetry,5.3134,low_is_risky,3.003,2.054,1.46,159768,5987
Package_Size_4,3.1559,low_is_risky,3.001,2.095,1.43,159883,5872
Package_Size_3,2.4638,low_is_risky,2.991,2.142,1.4,161506,4249
Process_Time,-1.9829,high_is_risky,2.132,2.989,1.4,3940,161815
Package_Size_1,-3.2725,high_is_risky,2.174,2.997,1.38,5658,160097
Cooling_Thermal_Load,1.6344,high_is_risky,2.907,3.91,1.34,155575,10180
Maintenance_Count,-1.1017,high_is_risky,2.564,3.004,1.17,13337,152418
Coating_Flow,-1.9049,low_is_risky,3.36,2.957,1.14,4732,161023
Cutting_X_Index,-1.2888,high_is_risky,2.66,3.003,1.13,16317,149438
Alignment_Time,0.3803,high_is_risky,2.847,3.193,1.12,107445,58310
CLN_Pressure,-0.7071,high_is_risky,2.726,3.044,1.12,39355,126400
Cutting_Y_Index,0.9872,low_is_risky,3.016,2.723,1.11,139093,26662
Cooling_Water_Temp,-0.6216,low_is_risky,3.142,2.906,1.08,44399,121356
Coating_Uniformity,-1.2008,low_is_risky,3.143,2.944,1.07,20967,144788
CLN_Time,0.8604,low_is_risky,2.999,2.843,1.05,133330,32425
