column,threshold_z,risky_direction,defect_rate_below_pct,defect_rate_above_pct,risk_ratio,n_below,n_above
CLN_Time,2.8744,low_is_risky,2.219,0.0,22185645.98,159788,328
CLN_Flow,-5.0565,low_is_risky,20.504,0.945,21.7,10388,149728
Cleaning_Load_Ratio,1.9863,high_is_risky,1.443,13.407,9.29,149793,10323
Cleaning_Capacity,-1.8059,low_is_risky,12.932,1.411,9.17,11166,148950
Coating_Thickness,-2.044,low_is_risky,14.629,1.92,7.62,3705,156411
Coating_Uniformity,-3.2332,low_is_risky,15.452,2.186,7.07,343,159773
CLN_Pressure,-1.5343,low_is_risky,9.756,1.656,5.89,11039,149077
Package_Size_1,-2.8503,high_is_risky,0.693,2.226,3.21,1298,158818
Head_Temp,2.4616,low_is_risky,2.279,0.72,3.17,153445,6671
Kerf_Width_Profile,2.1502,low_is_risky,2.285,0.848,2.7,152211,7905
Vibration,0.7493,high_is_risky,1.627,3.949,2.43,119647,40469
Package_Size_4,2.7979,low_is_risky,2.225,0.959,2.32,158760,1356
Bottom_Kerf,1.7612,low_is_risky,2.31,1.008,2.29,148310,11806
Power_Efficiency,-2.1296,high_is_risky,1.003,2.267,2.26,6683,153433
Top_Kerf,1.6935,low_is_risky,2.306,1.099,2.1,147924,12192
Coating_Flow,2.5231,high_is_risky,2.202,4.269,1.94,159179,937
Kerf_Angle,1.9613,low_is_risky,2.266,1.173,1.93,152529,7587
Laser_Cleaning_Demand,-1.3069,high_is_risky,1.368,2.312,1.69,16665,143451
Alignment_Time,2.1764,high_is_risky,2.196,3.375,1.54,157716,2400
Laser_Centering_Position,1.7584,low_is_risky,2.251,1.487,1.51,152381,7735
Cutting_X_Index,2.0652,high_is_risky,2.197,3.077,1.4,157029,3087
Cooling_Flow,-1.2945,high_is_risky,1.658,2.278,1.37,16410,143706
Laser_Power,-0.217,high_is_risky,1.909,2.428,1.27,66064,94052
Surface_Roughness,-0.9621,high_is_risky,1.808,2.295,1.27,26544,133572
Package_Size_Asymmetry,1.6278,low_is_risky,2.253,1.786,1.26,146791,13325
Maintenance_Count,1.2441,low_is_risky,2.224,1.773,1.25,156619,3497
Cutting_Y_Index,-1.1634,high_is_risky,1.833,2.267,1.24,19589,140527
Cooling_Water_Temp,1.6625,low_is_risky,2.235,1.799,1.24,152335,7781
Groove_Depth,-0.563,high_is_risky,1.928,2.329,1.21,46047,114069
Frequency,1.1637,low_is_risky,2.259,1.892,1.19,140349,19767
Process_Time,1.7909,high_is_risky,2.2,2.586,1.18,154432,5684
Laser_Current,1.2311,low_is_risky,2.251,1.917,1.17,142588,17528
Package_Size_3,1.0961,low_is_risky,2.254,1.966,1.15,137944,22172
Cooling_Thermal_Load,0.1944,low_is_risky,2.326,2.061,1.13,92391,67725
Laser_Voltage,0.5778,low_is_risky,2.288,2.025,1.13,115267,44849
Laser_Head_Remain_Time,0.8714,low_is_risky,2.258,2.01,1.12,131859,28257
Feed_Speed,0.8345,low_is_risky,2.256,2.051,1.1,127344,32772
Package_Size_2,-0.0196,high_is_risky,2.103,2.321,1.1,78639,81477
Beam_Diameter,-0.0684,low_is_risky,2.293,2.144,1.07,75632,84484
