column,delta_original,delta_r1,reproducibility
Alignment_Time,-0.8447920104269795,-0.0015445983660286045,direction_only
Beam_Diameter,-0.05582834151691218,0.005737086977139594,not_reproduced
Bottom_Kerf,0.9725991779753393,0.8089744447187031,reproduced
CLN_Flow,-0.019737258784430223,0.13517795632305796,not_reproduced
CLN_Pressure,0.7229016870506115,0.006269904621957201,direction_only
CLN_Time,0.2708114576770637,0.00272647894598399,direction_only
Cleaning_Capacity,0.4451433543006291,0.11896397271702752,direction_only
Cleaning_Load_Ratio,-0.6678833698344284,-0.44115113063135303,reproduced
Coating_Flow,0.0025234090356043293,0.0010020998763407007,direction_only
Coating_Thickness,-0.27986506261854527,0.006792775640875437,not_reproduced
Coating_Uniformity,0.24872412839051838,0.00225014801826684,direction_only
Cooling_Flow,0.2985222890020034,-0.4119532094330911,not_reproduced
Cooling_Thermal_Load,0.45299692324103047,0.26965850230877786,reproduced
Cooling_Water_Temp,0.6829404882146464,-0.003382773874577194,not_reproduced
Cutting_X_Index,-0.0768689727358487,-0.0026691582263432823,direction_only
Cutting_Y_Index,0.2766082982489475,-0.011860476598999914,not_reproduced
Feed_Speed,-0.63018890566717,0.00158267928860778,not_reproduced
Frequency,-0.34711041331239934,-0.015437155147682513,direction_only
Groove_Depth,-0.7973072525509098,-0.65205922307027,reproduced
Head_Temp,0.2143530972595844,0.7529581966995449,reproduced
Kerf_Angle,0.5207422889353348,0.6633207557043654,reproduced
Kerf_Width_Profile,0.9998199945998381,0.8130909511159721,reproduced
Laser_Centering_Position,-0.02419072572177161,0.5153776765610298,not_reproduced
Laser_Cleaning_Demand,-0.9816261154501301,-0.7552293634147969,reproduced
Laser_Current,-0.4893880149737826,0.009105605823684026,not_reproduced
Laser_Head_Remain_Time,-0.24813744412332372,-0.0012967987981015172,direction_only
Laser_Power,-0.9777593327799834,-0.76506719322471,reproduced
Laser_Voltage,-0.22547676430292907,0.0041558410731175055,not_reproduced
Maintenance_Count,0.4404898813631075,0.0025919460878762735,direction_only
Package_Size_1,-0.11846022047328086,-0.5094914195229592,direction_only
Package_Size_2,0.3349467150681187,-0.44621990937737566,not_reproduced
Package_Size_3,-0.11541679583720843,0.44493935438259524,not_reproduced
Package_Size_4,0.21717651529545878,0.5064839642047025,reproduced
Package_Size_Asymmetry,0.6253420935961411,0.5109416262146795,reproduced
Power_Efficiency,-0.3466737335453397,-0.77923611095359,reproduced
Process_Time,-0.20151604548136448,0.005663403310957937,not_reproduced
Surface_Roughness,0.12097029577553986,0.2594813370279645,direction_only
Top_Kerf,0.9098039607854902,0.8066353260426389,reproduced
Vibration,0.33686010580317416,0.7091238590232349,reproduced
