column,delta_original,delta_r1,reproducibility
Alignment_Time,0.010705852796515591,0.013170680250766731,direction_only
Beam_Diameter,-0.019923898683700703,-0.010563170919799525,direction_only
Bottom_Kerf,-0.013754120383168034,-0.34964789490607073,direction_only
CLN_Flow,-0.12158847881544155,-0.6935373957270512,direction_only
CLN_Pressure,-0.5287807080041609,-0.13611297503911213,direction_only
CLN_Time,-0.01907788366056795,0.012942587999241306,not_reproduced
Cleaning_Capacity,-0.1896318419171067,-0.6513368375354067,direction_only
Cleaning_Load_Ratio,0.19145279937711646,0.6886208817671855,direction_only
Coating_Flow,-0.013704776789131068,0.001736517293917661,not_reproduced
Coating_Thickness,-0.31275624171061156,-0.08249895846574129,direction_only
Coating_Uniformity,-0.04287094605692454,-0.016044875129106462,direction_only
Cooling_Flow,0.03449779744259551,0.18676579085589817,direction_only
Cooling_Thermal_Load,-0.0265903747231383,-0.12055992508443514,direction_only
Cooling_Water_Temp,-0.0045762728604826775,0.00913597925413634,not_reproduced
Cutting_X_Index,0.01466029069392416,0.010718380814209949,direction_only
Cutting_Y_Index,0.03775472868319141,0.010840086063934828,direction_only
Feed_Speed,0.010694014804947916,-0.007376432293893287,not_reproduced
Frequency,-0.043315912280746716,-0.0034742051787352013,direction_only
Groove_Depth,0.01656375844709279,0.24528834849853953,direction_only
Head_Temp,-0.016455793931721585,-0.3202903078303694,direction_only
Kerf_Angle,-0.0004985471075448222,-0.2640340021015687,direction_only
Kerf_Width_Profile,0.004948656445876942,-0.330674169164762,not_reproduced
Laser_Centering_Position,0.001002103768602769,-0.19305393162885887,not_reproduced
Laser_Cleaning_Demand,0.03168944987217204,0.2985082621130344,direction_only
Laser_Current,-0.01490133862179599,-0.010363985424992839,direction_only
Laser_Head_Remain_Time,-0.0017659641463917408,-0.017268878764068685,direction_only
Laser_Power,0.031843028760202285,0.3069668272520272,direction_only
Laser_Voltage,-0.004492858205736083,-0.027296574743622792,direction_only
Maintenance_Count,-0.016929272948967844,-0.005100252481975542,direction_only
Package_Size_1,-0.0013452124581112557,0.186695752511725,not_reproduced
Package_Size_2,0.027443533186676472,0.16758810875790298,direction_only
Package_Size_3,-0.025408922841942294,-0.1657828685260807,direction_only
Package_Size_4,-0.009768883384951077,-0.18414005490167862,direction_only
Package_Size_Asymmetry,-0.008435803598025982,-0.18163307559536446,direction_only
Power_Efficiency,-0.009323967967959645,0.3102213555612374,not_reproduced
Process_Time,-0.011185845249465753,0.009818675107600594,not_reproduced
Surface_Roughness,-0.11423095874806444,-0.16308103611808344,direction_only
Top_Kerf,-0.011824395659861042,-0.3353354299461103,direction_only
Vibration,-0.029078100707348953,0.050516641098105275,not_reproduced
