column,kruskal_h,p_value,epsilon_squared,n_total,p_fdr,significant_fdr
CLN_Flow,11327.70874052114,0.0,0.1132516174699102,100000,0.0,True
Vibration,3347.544206904047,0.0,0.03344677994023808,100000,0.0,True
Laser_Power,3037.4733494484994,0.0,0.03034594733237829,100000,0.0,True
Bottom_Kerf,2852.3814511738324,0.0,0.02849495430991072,100000,0.0,True
Laser_Cleaning_Demand,2517.3232580006074,0.0,0.025144238349540056,100000,0.0,True
Power_Efficiency,2358.4203012586368,0.0,0.023555145218395104,100000,0.0,True
Top_Kerf,2271.637504539379,0.0,0.022687282536695257,100000,0.0,True
Kerf_Width_Profile,1963.6320005839948,0.0,0.01960710429001155,100000,0.0,True
Focus,1721.7526809721317,0.0,0.017188214338294847,100000,0.0,True
Cleaning_Load_Ratio,1603.2315820367767,0.0,0.01600295593860531,100000,0.0,True
Cleaning_Capacity,1271.78113060691,1.9530966170415446e-275,0.012688318838822652,100000,7.102169516514708e-275,True
Head_Temp,1244.2460954511507,1.8413448656387602e-269,0.01241295747281042,100000,6.137816218795868e-269,True
Groove_Depth,597.1860290925541,4.106026478248688e-129,0.005942097974844535,100000,1.2633927625380578e-128,False
Surface_Roughness,350.9054608798233,9.497621369597831e-76,0.003479193776549295,100000,2.7136061055993807e-75,False
Laser_Centering_Position,312.9739304570201,1.547567863829416e-67,0.0030998632991021654,100000,4.1268476368784426e-67,False
Cutting_Offset,196.2360031917428,2.7442216604685446e-42,0.0019324373294106044,100000,6.860554151171361e-42,False
Package_Size_1,81.18798179966164,1.7068424555695015e-17,0.000781911094440394,100000,4.016099895457651e-17,False
Package_Size_3,65.45239371450157,4.0140762188278204e-14,0.0006245489191017798,100000,8.920169375172934e-14,False
Package_Size_4,63.31785080288026,1.1484443007062341e-13,0.000603202636134248,100000,2.4177774751710195e-13,False
Package_Size_2,38.191600326487524,2.574414729343249e-08,0.00035193008046809397,100000,5.148829458686498e-08,False
Cooling_Flow,34.70952951533972,1.403128266683537e-07,0.0003171079794725761,100000,2.672625269873404e-07,False
Kerf_Angle,21.771382746335675,7.278023681983537e-05,0.00018772133631680943,100000,0.00013232770330879156,False
Cooling_Thermal_Load,11.675625556208857,0.008581103486364771,8.675972595112662e-05,100000,0.014923658237156124,False
Laser_Voltage,9.70300398864466,0.0212669781529807,6.703272119529442e-05,100000,0.03544496358830117,False
CLN_Time,6.105910372009377,0.10656962362129734,3.106034613393913e-05,100000,0.17051139779407573,False
Coating_Thickness,4.062742956678742,0.2547682425813428,1.0627854680974655e-05,100000,0.391951142432835,False
Coating_Flow,3.1279613185085187,0.37231373615389834,1.279664371660053e-06,100000,0.5515759054131827,False
Beam_Diameter,2.486277022191918,0.47777623852560036,-5.13743527549184e-06,100000,0.6825374836080006,False
Cooling_Water_Temp,2.049707709098978,0.5621540425204199,-9.503303041131867e-06,100000,0.7603238928464329,False
Frequency,2.010438811140861,0.5702429196348247,-9.896007728900548e-06,100000,0.7603238928464329,False
Alignment_Time,1.899626836442029,0.5934985427234625,-1.1004171802451809e-05,100000,0.7658045712560806,False
Laser_Current,1.1456685029243234,0.7660625083655387,-1.8544056733026087e-05,100000,0.9575781354569233,False
Process_Time,1.0439343579302622,0.7906228016373537,-1.9561438878252504e-05,100000,0.9583306686513379,False
Cutting_Y_Index,0.8388341838233806,0.840157613838783,-2.16125226626727e-05,100000,0.9624781117001031,False
Laser_Head_Remain_Time,0.8304601386344781,0.8421683477375902,-2.1696266464313793e-05,100000,0.9624781117001031,False
Coating_Uniformity,0.43280534124284226,0.9333853380548123,-2.567297350651184e-05,100000,0.999865404571371,False
CLN_Pressure,0.2949029260225666,0.9609842346752916,-2.705205282188721e-05,100000,0.999865404571371,False
Cutting_X_Index,0.2929184761605708,0.9613547751797635,-2.7071898114318865e-05,100000,0.999865404571371,False
Maintenance_Count,0.2018079016116646,0.9772969142626831,-2.7983040305495574e-05,100000,0.999865404571371,False
Feed_Speed,0.006358576011302458,0.999865404571371,-2.993761174435675e-05,100000,0.999865404571371,False
