variable,target,bin,bin_left,bin_right,n,n_defect,defect_rate_pct,lift_vs_overall,overall_rate_pct
Laser_Head_Remain_Time,Chipping,"(999.999, 1500.0]",999.999,1500.0,24904,1901,7.6333,0.999,7.642
Laser_Head_Remain_Time,Chipping,"(1500.0, 2000.0]",1500.0,2000.0,25007,1924,7.6938,1.007,7.642
Laser_Head_Remain_Time,Chipping,"(2000.0, 2500.0]",2000.0,2500.0,24887,1892,7.6024,0.995,7.642
Laser_Head_Remain_Time,Chipping,"(2500.0, 3000.0]",2500.0,3000.0,25282,1932,7.6418,1.0,7.642
Laser_Head_Remain_Time,Chipping,"(3000.0, 3500.0]",3000.0,3500.0,25184,1894,7.5206,0.984,7.642
Laser_Head_Remain_Time,Chipping,"(3500.0, 4000.0]",3500.0,4000.0,25018,1939,7.7504,1.014,7.642
Laser_Head_Remain_Time,Chipping,"(4000.0, 4500.0]",4000.0,4500.0,24755,1874,7.5702,0.991,7.642
Laser_Head_Remain_Time,Chipping,"(4500.0, 5000.0]",4500.0,5000.0,24963,1928,7.7234,1.011,7.642
Laser_Head_Remain_Time,Micro_Crack,"(999.999, 1500.0]",999.999,1500.0,24904,824,3.3087,1.015,3.261
Laser_Head_Remain_Time,Micro_Crack,"(1500.0, 2000.0]",1500.0,2000.0,25007,760,3.0391,0.932,3.261
Laser_Head_Remain_Time,Micro_Crack,"(2000.0, 2500.0]",2000.0,2500.0,24887,754,3.0297,0.929,3.261
Laser_Head_Remain_Time,Micro_Crack,"(2500.0, 3000.0]",2500.0,3000.0,25282,886,3.5045,1.075,3.261
Laser_Head_Remain_Time,Micro_Crack,"(3000.0, 3500.0]",3000.0,3500.0,25184,851,3.3791,1.036,3.261
Laser_Head_Remain_Time,Micro_Crack,"(3500.0, 4000.0]",3500.0,4000.0,25018,830,3.3176,1.017,3.261
Laser_Head_Remain_Time,Micro_Crack,"(4000.0, 4500.0]",4000.0,4500.0,24755,785,3.1711,0.972,3.261
Laser_Head_Remain_Time,Micro_Crack,"(4500.0, 5000.0]",4500.0,5000.0,24963,832,3.3329,1.022,3.261
Maintenance_Count,Chipping,"(-0.001, 3.0]",-0.001,3.0,40148,3124,7.7812,1.018,7.642
Maintenance_Count,Chipping,"(3.0, 6.0]",3.0,6.0,29991,2237,7.4589,0.976,7.642
