target,model,factor,layer,process_stage,is_laser_grooving,shap_rank,mean_abs_shap,mean_signed_shap,value_shap_corr,shap_direction,model_roc_auc,model_pr_auc,n_features
Chipping,A_cause_FDConly,Head_Temp,FDC,2_laser_grooving,True,1,2.064985,-1.714369,0.8572,high_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Laser_Power,FDC,2_laser_grooving,True,2,0.947988,-0.792654,-0.7331,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Power_Efficiency,FDC,2_laser_grooving,True,3,0.827136,-0.579011,-0.7676,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Laser_Centering_Position,FDC,2_laser_grooving,True,4,0.216368,-0.165519,0.5056,high_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Laser_Cleaning_Demand,Engineered,2_laser_grooving,True,5,0.207746,-0.113912,-0.618,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Vibration,FDC,4_blade_dicing,False,6,0.186289,-0.133808,0.4658,high_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,CLN_Flow,FDC,3_cleaning,False,7,0.13548,-0.100443,0.7636,high_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Cleaning_Load_Ratio,Engineered,3_cleaning,False,8,0.119202,-0.105915,-0.7767,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Frequency,FDC,2_laser_grooving,True,9,0.109772,-0.058827,-0.4498,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Alignment_Time,FDC,4_blade_dicing,False,10,0.086705,-0.05128,-0.3788,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Cooling_Thermal_Load,Engineered,4_blade_dicing,False,11,0.085405,-0.062496,0.508,high_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Cooling_Flow,FDC,4_blade_dicing,False,12,0.080464,-0.059669,-0.3519,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Feed_Speed,FDC,4_blade_dicing,False,13,0.079932,-0.048637,-0.3352,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Process_Time,FDC,4_blade_dicing,False,14,0.079607,-0.036798,0.0437,nonlinear_or_none,0.9647,0.5646,26
Chipping,A_cause_FDConly,CLN_Pressure,FDC,3_cleaning,False,15,0.077775,-0.046431,-0.0863,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Cutting_X_Index,FDC,4_blade_dicing,False,16,0.077254,-0.044314,0.4904,high_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Laser_Current,FDC,2_laser_grooving,True,17,0.070917,-0.039209,-0.0786,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Cutting_Y_Index,FDC,4_blade_dicing,False,18,0.07038,-0.047922,-0.2702,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Maintenance_Count,Engineered,0_equipment,False,19,0.07,-0.038737,-0.3812,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Laser_Voltage,FDC,2_laser_grooving,True,20,0.068543,-0.035524,-0.4361,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Coating_Flow,FDC,1_coating,False,21,0.065426,-0.03579,-0.2679,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Beam_Diameter,FDC,2_laser_grooving,True,22,0.061303,-0.037581,-0.0162,nonlinear_or_none,0.9647,0.5646,26
Chipping,A_cause_FDConly,Cooling_Water_Temp,FDC,4_blade_dicing,False,23,0.059893,-0.037966,-0.1578,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,CLN_Time,FDC,3_cleaning,False,24,0.059535,-0.026481,-0.1409,low_is_risky,0.9647,0.5646,26
Chipping,A_cause_FDConly,Laser_Head_Remain_Time,FDC,2_laser_grooving,True,25,0.056773,-0.041272,0.0299,nonlinear_or_none,0.9647,0.5646,26
Chipping,A_cause_FDConly,Cleaning_Capacity,Engineered,3_cleaning,False,26,0.051939,-0.012739,-0.253,low_is_risky,0.9647,0.5646,26
Chipping,B_monitor_full,Kerf_Width_Profile,Response,2R_grooving_result,True,1,6.141639,-5.496047,0.8807,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Top_Kerf,Response,2R_grooving_result,True,2,0.4024,-0.366139,0.6824,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Bottom_Kerf,Response,2R_grooving_result,True,3,0.215969,-0.133576,0.7546,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Head_Temp,FDC,2_laser_grooving,True,4,0.150405,-0.105013,0.3404,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Cleaning_Demand,Engineered,2_laser_grooving,True,5,0.147128,-0.079828,-0.193,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Power_Efficiency,FDC,2_laser_grooving,True,6,0.140574,-0.0892,-0.595,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Power,FDC,2_laser_grooving,True,7,0.127484,-0.10645,-0.4459,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Surface_Roughness,Response,4R_dicing_result,False,8,0.115644,0.005896,-0.3674,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Kerf_Angle,Response,2R_grooving_result,True,9,0.111727,-0.005216,0.2693,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Vibration,FDC,4_blade_dicing,False,10,0.094899,-0.038036,0.1459,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Package_Size_4,Response,4R_dicing_result,False,11,0.081824,-0.044494,-0.0376,nonlinear_or_none,0.9686,0.6159,39
Chipping,B_monitor_full,Groove_Depth,Response,2R_grooving_result,True,12,0.080347,-0.068948,-0.5143,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,CLN_Flow,FDC,3_cleaning,False,13,0.073316,-0.057263,0.6841,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Cleaning_Load_Ratio,Engineered,3_cleaning,False,14,0.071853,-0.051118,-0.5568,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Beam_Diameter,FDC,2_laser_grooving,True,15,0.071495,-0.041357,0.4188,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,CLN_Pressure,FDC,3_cleaning,False,16,0.069518,-0.040613,-0.1488,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Feed_Speed,FDC,4_blade_dicing,False,17,0.066332,-0.038068,-0.468,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Alignment_Time,FDC,4_blade_dicing,False,18,0.062036,-0.034616,-0.3749,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Coating_Flow,FDC,1_coating,False,19,0.061191,-0.033205,-0.4008,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Process_Time,FDC,4_blade_dicing,False,20,0.060753,-0.027179,0.1194,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Cutting_Y_Index,FDC,4_blade_dicing,False,21,0.060514,-0.040464,0.0167,nonlinear_or_none,0.9686,0.6159,39
Chipping,B_monitor_full,Cooling_Thermal_Load,Engineered,4_blade_dicing,False,22,0.060021,-0.030011,0.2906,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Current,FDC,2_laser_grooving,True,23,0.059137,-0.028954,-0.1809,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Package_Size_1,Response,4R_dicing_result,False,24,0.058894,-0.033729,-0.3101,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Package_Size_Asymmetry,Response,4R_dicing_result,False,25,0.058311,-0.045786,0.171,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Package_Size_2,Response,4R_dicing_result,False,26,0.058308,-0.034991,-0.0025,nonlinear_or_none,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Centering_Position,FDC,2_laser_grooving,True,27,0.056678,-0.025821,0.388,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Cutting_X_Index,FDC,4_blade_dicing,False,28,0.05648,-0.033267,0.5649,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,CLN_Time,FDC,3_cleaning,False,29,0.056388,-0.011674,0.647,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Coating_Thickness,Response,1_coating,False,30,0.05636,-0.036898,-0.2947,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Voltage,FDC,2_laser_grooving,True,31,0.055174,-0.027625,-0.5261,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Cooling_Water_Temp,FDC,4_blade_dicing,False,32,0.054893,-0.032621,0.2215,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Frequency,FDC,2_laser_grooving,True,33,0.053189,-0.028188,-0.2197,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Cleaning_Capacity,Engineered,3_cleaning,False,34,0.051256,-0.015929,-0.0378,nonlinear_or_none,0.9686,0.6159,39
Chipping,B_monitor_full,Package_Size_3,Response,4R_dicing_result,False,35,0.051112,-0.024456,-0.0645,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Coating_Uniformity,Response,1_coating,False,36,0.047681,-0.026964,0.0773,high_is_risky,0.9686,0.6159,39
