target,case_rank,Lot_ID,Strip_ID,Machine_ID,Product_ID,Recipe_ID,source_dataset,predicted_risk,actual_defect,contrib_rank,factor,shap_value,factor_zscore,factor_raw,interpretation
Chipping,1,LOT003142,STRIP983329,DP02,PKG_D,RCP_5,r1,0.979,1,1,Head_Temp,0.87224,5.066,43.717,위험을 높임
Chipping,1,LOT003142,STRIP983329,DP02,PKG_D,RCP_5,r1,0.979,1,2,Power_Efficiency,0.85781,-14.693,92.559,위험을 높임
Chipping,1,LOT003142,STRIP983329,DP02,PKG_D,RCP_5,r1,0.979,1,3,Laser_Power,0.44554,-7.198,17.869,위험을 높임
Chipping,1,LOT003142,STRIP983329,DP02,PKG_D,RCP_5,r1,0.979,1,4,Laser_Cleaning_Demand,0.30961,-7.38,789.16116,위험을 높임
Chipping,1,LOT003142,STRIP983329,DP02,PKG_D,RCP_5,r1,0.979,1,5,Alignment_Time,0.18092,1.999,0.4405,위험을 높임
Chipping,2,LOT001777,STRIP74223,DP02,PKG_F,RCP_7,r1,0.9778,1,1,Power_Efficiency,0.99268,-13.581,92.741,위험을 높임
Chipping,2,LOT001777,STRIP74223,DP02,PKG_F,RCP_7,r1,0.9778,1,2,Head_Temp,0.89691,5.412,43.707,위험을 높임
Chipping,2,LOT001777,STRIP74223,DP02,PKG_F,RCP_7,r1,0.9778,1,3,Laser_Power,0.44432,-6.508,17.935,위험을 높임
Chipping,2,LOT001777,STRIP74223,DP02,PKG_F,RCP_7,r1,0.9778,1,4,CLN_Time,0.39929,2.656,16.353,위험을 높임
Chipping,2,LOT001777,STRIP74223,DP02,PKG_F,RCP_7,r1,0.9778,1,5,Laser_Cleaning_Demand,0.33486,-6.411,795.89611,위험을 높임
Chipping,3,LOT009661,STRIP804849,DP02,PKG_B,RCP_2,r1,0.9755,1,1,Power_Efficiency,0.98065,-11.363,93.106,위험을 높임
Chipping,3,LOT009661,STRIP804849,DP02,PKG_B,RCP_2,r1,0.9755,1,2,Head_Temp,0.76635,4.066,43.326,위험을 높임
Chipping,3,LOT009661,STRIP804849,DP02,PKG_B,RCP_2,r1,0.9755,1,3,Laser_Power,0.45258,-5.633,18.011,위험을 높임
Chipping,3,LOT009661,STRIP804849,DP02,PKG_B,RCP_2,r1,0.9755,1,4,Laser_Cleaning_Demand,0.33878,-6.096,797.2317,위험을 높임
Chipping,3,LOT009661,STRIP804849,DP02,PKG_B,RCP_2,r1,0.9755,1,5,Laser_Centering_Position,0.22347,7.459,1.127,위험을 높임
Chipping,4,LOT009724,STRIP805113,DP02,PKG_A,RCP_2,r1,0.9721,1,1,Power_Efficiency,0.93746,-14.455,92.639,위험을 높임
Chipping,4,LOT009724,STRIP805113,DP02,PKG_A,RCP_2,r1,0.9721,1,2,Head_Temp,0.80812,4.751,43.558,위험을 높임
Chipping,4,LOT009724,STRIP805113,DP02,PKG_A,RCP_2,r1,0.9721,1,3,Laser_Power,0.4278,-6.882,17.885,위험을 높임
Chipping,4,LOT009724,STRIP805113,DP02,PKG_A,RCP_2,r1,0.9721,1,4,Laser_Cleaning_Demand,0.33085,-6.955,792.27331,위험을 높임
Chipping,4,LOT009724,STRIP805113,DP02,PKG_A,RCP_2,r1,0.9721,1,5,Laser_Head_Remain_Time,0.21186,-1.369,1033.0,위험을 높임
Chipping,5,LOT005018,STRIP779986,DP02,PKG_B,RCP_6,r1,0.972,1,1,Power_Efficiency,0.99256,-14.152,92.706,위험을 높임
Chipping,5,LOT005018,STRIP779986,DP02,PKG_B,RCP_6,r1,0.972,1,2,Head_Temp,0.77703,3.634,43.197,위험을 높임
Chipping,5,LOT005018,STRIP779986,DP02,PKG_B,RCP_6,r1,0.972,1,3,Laser_Power,0.4526,-6.119,17.978,위험을 높임
Chipping,5,LOT005018,STRIP779986,DP02,PKG_B,RCP_6,r1,0.972,1,4,Laser_Cleaning_Demand,0.36813,-5.546,800.53877,위험을 높임
Chipping,5,LOT005018,STRIP779986,DP02,PKG_B,RCP_6,r1,0.972,1,5,CLN_Time,0.3207,3.065,16.561,위험을 높임
Micro_Crack,1,LOT006555,STRIP624474,DP04,PKG_F,RCP_8,r1,0.9123,0,1,Vibration,0.51469,2.148,0.2031,위험을 높임
Micro_Crack,1,LOT006555,STRIP624474,DP04,PKG_F,RCP_8,r1,0.9123,0,2,Cooling_Water_Temp,0.48895,1.774,22.53,위험을 높임
Micro_Crack,1,LOT006555,STRIP624474,DP04,PKG_F,RCP_8,r1,0.9123,0,3,CLN_Pressure,-0.32333,-2.625,294.805,위험을 낮춤
Micro_Crack,1,LOT006555,STRIP624474,DP04,PKG_F,RCP_8,r1,0.9123,0,4,Cleaning_Load_Ratio,0.317,0.919,0.01912,위험을 높임
Micro_Crack,1,LOT006555,STRIP624474,DP04,PKG_F,RCP_8,r1,0.9123,0,5,Cleaning_Capacity,-0.24385,-1.055,43288.30773,위험을 낮춤
Micro_Crack,2,LOT003155,STRIP875390,DP04,PKG_F,RCP_9,r1,0.9116,0,1,Cleaning_Load_Ratio,0.44911,2.727,0.02036,위험을 높임
Micro_Crack,2,LOT003155,STRIP875390,DP04,PKG_F,RCP_9,r1,0.9116,0,2,Vibration,0.40887,2.643,0.2145,위험을 높임
Micro_Crack,2,LOT003155,STRIP875390,DP04,PKG_F,RCP_9,r1,0.9116,0,3,CLN_Flow,0.29335,-17.282,9.047,위험을 높임
Micro_Crack,2,LOT003155,STRIP875390,DP04,PKG_F,RCP_9,r1,0.9116,0,4,Cleaning_Capacity,-0.27371,-2.63,40706.21879,위험을 낮춤
Micro_Crack,2,LOT003155,STRIP875390,DP04,PKG_F,RCP_9,r1,0.9116,0,5,CLN_Pressure,0.24476,1.692,303.461,위험을 높임
Micro_Crack,3,LOT002203,STRIP294264,DP04,PKG_B,RCP_8,r1,0.9083,0,1,Coating_Flow,0.43004,-2.001,49.008,위험을 높임
Micro_Crack,3,LOT002203,STRIP294264,DP04,PKG_B,RCP_8,r1,0.9083,0,2,Vibration,0.36038,2.019,0.1997,위험을 높임
Micro_Crack,3,LOT002203,STRIP294264,DP04,PKG_B,RCP_8,r1,0.9083,0,3,Cleaning_Load_Ratio,0.29702,1.458,0.01954,위험을 높임
Micro_Crack,3,LOT002203,STRIP294264,DP04,PKG_B,RCP_8,r1,0.9083,0,4,Cleaning_Capacity,-0.16783,-1.401,42542.97604,위험을 낮춤
Micro_Crack,3,LOT002203,STRIP294264,DP04,PKG_B,RCP_8,r1,0.9083,0,5,CLN_Flow,0.11659,-11.795,9.311,위험을 높임
Micro_Crack,4,LOT007509,STRIP597185,DP04,PKG_B,RCP_4,r1,0.8848,0,1,Vibration,0.52251,2.698,0.2156,위험을 높임
Micro_Crack,4,LOT007509,STRIP597185,DP04,PKG_B,RCP_4,r1,0.8848,0,2,Cleaning_Load_Ratio,0.46119,3.489,0.02091,위험을 높임
Micro_Crack,4,LOT007509,STRIP597185,DP04,PKG_B,RCP_4,r1,0.8848,0,3,Cleaning_Capacity,-0.21205,-3.102,39908.56251,위험을 낮춤
Micro_Crack,4,LOT007509,STRIP597185,DP04,PKG_B,RCP_4,r1,0.8848,0,4,Feed_Speed,0.16796,1.722,251.354,위험을 높임
Micro_Crack,4,LOT007509,STRIP597185,DP04,PKG_B,RCP_4,r1,0.8848,0,5,CLN_Pressure,-0.11833,-1.214,297.566,위험을 낮춤
Micro_Crack,5,LOT005723,STRIP250094,DP04,PKG_A,RCP_1,r1,0.8828,0,1,Vibration,0.37087,2.388,0.2052,위험을 높임
Micro_Crack,5,LOT005723,STRIP250094,DP04,PKG_A,RCP_1,r1,0.8828,0,2,Cleaning_Load_Ratio,0.36723,1.965,0.01987,위험을 높임
Micro_Crack,5,LOT005723,STRIP250094,DP04,PKG_A,RCP_1,r1,0.8828,0,3,Cleaning_Capacity,-0.24831,-1.742,41986.40838,위험을 낮춤
Micro_Crack,5,LOT005723,STRIP250094,DP04,PKG_A,RCP_1,r1,0.8828,0,4,Cooling_Water_Temp,0.19209,0.972,22.305,위험을 높임
Micro_Crack,5,LOT005723,STRIP250094,DP04,PKG_A,RCP_1,r1,0.8828,0,5,Feed_Speed,0.09452,1.462,251.148,위험을 높임
