target,model,factor,layer,role,verdict_existing,rank_statistic,rank_permutation,rank_shap,delta_pure,perm_importance,mean_abs_shap,shap_direction,n_methods_in_top10,agreement
Chipping,A_cause_FDConly,Head_Temp,FDC,원인후보,confirmed,5,9,1,0.8867,0.03284,2.064985,high_is_risky,3,3방법 모두 상위
Chipping,A_cause_FDConly,Laser_Power,FDC,원인후보,confirmed,6,1,2,-0.8724,0.094424,0.947988,low_is_risky,3,3방법 모두 상위
Chipping,A_cause_FDConly,Power_Efficiency,FDC,원인후보,confirmed,4,2,3,-0.8989,0.092247,0.827136,low_is_risky,3,3방법 모두 상위
Chipping,A_cause_FDConly,Laser_Cleaning_Demand,Engineered,원인후보,confirmed,7,3,5,-0.8622,0.085106,0.207746,low_is_risky,3,3방법 모두 상위
Chipping,A_cause_FDConly,Laser_Centering_Position,FDC,원인후보,confirmed,11,7,4,0.6067,0.056658,0.216368,high_is_risky,2,2방법 상위
Chipping,A_cause_FDConly,Vibration,FDC,원인후보,confirmed,8,13,6,0.8443,0.008578,0.186289,high_is_risky,2,2방법 상위
Chipping,A_cause_FDConly,CLN_Flow,FDC,-,insufficient_evidence,21,16,7,0.1293,0.004129,0.13548,high_is_risky,1,1방법만 상위
Chipping,A_cause_FDConly,Cleaning_Load_Ratio,Engineered,-,insufficient_evidence,18,15,8,-0.4789,0.006143,0.119202,low_is_risky,1,1방법만 상위
Chipping,A_cause_FDConly,Frequency,FDC,-,insufficient_evidence,23,21,9,-0.0162,0.001541,0.109772,low_is_risky,1,1방법만 상위
Chipping,A_cause_FDConly,Alignment_Time,FDC,-,insufficient_evidence,32,25,10,-0.0021,1e-05,0.086705,low_is_risky,1,1방법만 상위
Chipping,A_cause_FDConly,Cooling_Thermal_Load,Engineered,-,insufficient_evidence,20,29,11,0.3151,-0.00011,0.085405,high_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Cooling_Flow,FDC,-,insufficient_evidence,17,19,12,-0.48,0.00341,0.080464,low_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Feed_Speed,FDC,-,insufficient_evidence,29,30,13,0.0028,-0.000122,0.079932,low_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Process_Time,FDC,-,insufficient_evidence,27,20,14,0.0034,0.001964,0.079607,nonlinear_or_none,0,모두 하위
Chipping,A_cause_FDConly,CLN_Pressure,FDC,-,insufficient_evidence,26,22,15,-0.0054,0.001235,0.077775,low_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Cutting_X_Index,FDC,-,insufficient_evidence,28,33,16,-0.003,-0.000402,0.077254,high_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Laser_Current,FDC,-,insufficient_evidence,24,24,17,0.0083,0.000495,0.070917,low_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Cutting_Y_Index,FDC,-,insufficient_evidence,25,26,18,-0.007,-2.9e-05,0.07038,low_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Maintenance_Count,Engineered,-,insufficient_evidence,30,28,19,-0.0026,-9.7e-05,0.07,low_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Laser_Voltage,FDC,-,insufficient_evidence,39,37,20,-0.0002,-0.001685,0.068543,low_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Coating_Flow,FDC,-,insufficient_evidence,38,32,21,-0.0004,-0.000338,0.065426,low_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Beam_Diameter,FDC,-,insufficient_evidence,32,38,22,0.0021,-0.001827,0.061303,nonlinear_or_none,0,모두 하위
Chipping,A_cause_FDConly,Cooling_Water_Temp,FDC,-,insufficient_evidence,35,36,23,-0.0005,-0.000789,0.059893,low_is_risky,0,모두 하위
Chipping,A_cause_FDConly,CLN_Time,FDC,-,insufficient_evidence,31,39,24,0.0022,-0.00184,0.059535,low_is_risky,0,모두 하위
Chipping,A_cause_FDConly,Laser_Head_Remain_Time,FDC,-,insufficient_evidence,35,27,25,0.0005,-6.7e-05,0.056773,nonlinear_or_none,0,모두 하위
Chipping,A_cause_FDConly,Cleaning_Capacity,Engineered,-,insufficient_evidence,22,23,26,0.0762,0.000549,0.051939,low_is_risky,0,모두 하위
Chipping,B_monitor_full,Kerf_Width_Profile,Response,감시지표,confirmed,1,4,1,0.9306,0.082423,6.141639,high_is_risky,3,3방법 모두 상위
Chipping,B_monitor_full,Top_Kerf,Response,감시지표,confirmed,3,6,2,0.926,0.060226,0.4024,high_is_risky,3,3방법 모두 상위
Chipping,B_monitor_full,Bottom_Kerf,Response,감시지표,confirmed,2,5,3,0.9272,0.074477,0.215969,high_is_risky,3,3방법 모두 상위
Chipping,B_monitor_full,Head_Temp,FDC,원인후보,confirmed,5,9,4,0.8867,0.03284,0.150405,high_is_risky,3,3방법 모두 상위
Chipping,B_monitor_full,Laser_Cleaning_Demand,Engineered,원인후보,confirmed,7,3,5,-0.8622,0.085106,0.147128,low_is_risky,3,3방법 모두 상위
Chipping,B_monitor_full,Power_Efficiency,FDC,원인후보,confirmed,4,2,6,-0.8989,0.092247,0.140574,low_is_risky,3,3방법 모두 상위
Chipping,B_monitor_full,Laser_Power,FDC,원인후보,confirmed,6,1,7,-0.8724,0.094424,0.127484,low_is_risky,3,3방법 모두 상위
Chipping,B_monitor_full,Surface_Roughness,Response,감시지표,confirmed,19,8,8,0.3982,0.048923,0.115644,low_is_risky,2,2방법 상위
Chipping,B_monitor_full,Kerf_Angle,Response,감시지표,candidate_weak_signal,9,18,9,0.7811,0.003481,0.111727,high_is_risky,2,2방법 상위
Chipping,B_monitor_full,Vibration,FDC,원인후보,confirmed,8,13,10,0.8443,0.008578,0.094899,high_is_risky,2,2방법 상위
Chipping,B_monitor_full,Groove_Depth,Response,감시지표,confirmed,10,10,12,-0.7504,0.01909,0.080347,low_is_risky,2,2방법 상위
