stratum_type,stratum_value,n,n_defect,rate
Machine_ID,DP01,49949,72,0.0014414702997056997
Machine_ID,DP02,49717,16186,0.325562684795945
Machine_ID,DP03,49827,7848,0.15750496718646517
Machine_ID,DP04,50507,69,0.0013661472667155048
Product_ID,PKG_A,33386,4041,0.12103875876115737
Product_ID,PKG_B,33419,4052,0.1212483916335019
Product_ID,PKG_C,33240,4037,0.12145006016847172
Product_ID,PKG_D,32927,3959,0.1202356728520667
Product_ID,PKG_E,33426,4037,0.12077424759169508
Product_ID,PKG_F,33602,4049,0.12049877983453366
Recipe_ID,RCP_1,22548,2692,0.11938974631896399
Recipe_ID,RCP_2,22456,2666,0.11872105450659066
Recipe_ID,RCP_3,22117,2684,0.12135461409775286
Recipe_ID,RCP_4,22156,2712,0.12240476620328579
Recipe_ID,RCP_5,22040,2683,0.12173321234119783
Recipe_ID,RCP_6,22051,2708,0.12280622194004807
Recipe_ID,RCP_7,22113,2662,0.1203816759372315
Recipe_ID,RCP_8,22145,2716,0.12264619552946489
Recipe_ID,RCP_9,22374,2652,0.1185304371145079
source_dataset,original,100000,4,4e-05
source_dataset,r1,100000,24171,0.24171
Product_ID+Recipe_ID,PKG_A|RCP_1,3786,468,0.12361331220285261
Product_ID+Recipe_ID,PKG_A|RCP_2,3713,443,0.11931053056827363
Product_ID+Recipe_ID,PKG_A|RCP_3,3685,454,0.123202170963365
Product_ID+Recipe_ID,PKG_A|RCP_4,3607,456,0.12642084835042972
Product_ID+Recipe_ID,PKG_A|RCP_5,3737,422,0.11292480599411292
Product_ID+Recipe_ID,PKG_A|RCP_6,3654,440,0.120415982484948
Product_ID+Recipe_ID,PKG_A|RCP_7,3759,452,0.12024474594306997
Product_ID+Recipe_ID,PKG_A|RCP_8,3667,448,0.12217071175347696
Product_ID+Recipe_ID,PKG_A|RCP_9,3778,458,0.1212281630492324
Product_ID+Recipe_ID,PKG_B|RCP_1,3872,459,0.11854338842975207
Product_ID+Recipe_ID,PKG_B|RCP_2,3816,445,0.11661425576519917
Product_ID+Recipe_ID,PKG_B|RCP_3,3729,476,0.12764816304639315
Product_ID+Recipe_ID,PKG_B|RCP_4,3729,439,0.11772593188522391
Product_ID+Recipe_ID,PKG_B|RCP_5,3652,439,0.12020810514786419
Product_ID+Recipe_ID,PKG_B|RCP_6,3660,458,0.1251366120218579
Product_ID+Recipe_ID,PKG_B|RCP_7,3644,450,0.12349066959385291
Product_ID+Recipe_ID,PKG_B|RCP_8,3619,462,0.1276595744680851
Product_ID+Recipe_ID,PKG_B|RCP_9,3698,424,0.11465657111952407
Product_ID+Recipe_ID,PKG_C|RCP_1,3647,450,0.12338908692075679
Product_ID+Recipe_ID,PKG_C|RCP_2,3772,448,0.11876988335100742
Product_ID+Recipe_ID,PKG_C|RCP_3,3697,421,0.11387611576954287
Product_ID+Recipe_ID,PKG_C|RCP_4,3633,414,0.11395540875309662
Product_ID+Recipe_ID,PKG_C|RCP_5,3655,463,0.12667578659370726
Product_ID+Recipe_ID,PKG_C|RCP_6,3622,424,0.11706239646604086
Product_ID+Recipe_ID,PKG_C|RCP_7,3635,461,0.12682255845942228
Product_ID+Recipe_ID,PKG_C|RCP_8,3764,516,0.13708820403825717
Product_ID+Recipe_ID,PKG_C|RCP_9,3815,440,0.11533420707732635
Product_ID+Recipe_ID,PKG_D|RCP_1,3751,429,0.11436950146627566
Product_ID+Recipe_ID,PKG_D|RCP_2,3623,431,0.11896218603367376
Product_ID+Recipe_ID,PKG_D|RCP_3,3632,423,0.1164647577092511
Product_ID+Recipe_ID,PKG_D|RCP_4,3588,461,0.12848383500557414
Product_ID+Recipe_ID,PKG_D|RCP_5,3670,459,0.12506811989100816
Product_ID+Recipe_ID,PKG_D|RCP_6,3758,461,0.12267163384779138
Product_ID+Recipe_ID,PKG_D|RCP_7,3647,439,0.12037290924047161
Product_ID+Recipe_ID,PKG_D|RCP_8,3546,428,0.12069937958262832
Product_ID+Recipe_ID,PKG_D|RCP_9,3712,428,0.11530172413793104
Product_ID+Recipe_ID,PKG_E|RCP_1,3720,452,0.12150537634408602
Product_ID+Recipe_ID,PKG_E|RCP_2,3757,453,0.12057492680330051
Product_ID+Recipe_ID,PKG_E|RCP_3,3666,443,0.12084015275504638
Product_ID+Recipe_ID,PKG_E|RCP_4,3752,482,0.12846481876332622
Product_ID+Recipe_ID,PKG_E|RCP_5,3644,442,0.12129527991218442
Product_ID+Recipe_ID,PKG_E|RCP_6,3673,475,0.12932208004356113
Product_ID+Recipe_ID,PKG_E|RCP_7,3736,419,0.11215203426124197
Product_ID+Recipe_ID,PKG_E|RCP_8,3789,426,0.11243072050673
Product_ID+Recipe_ID,PKG_E|RCP_9,3689,445,0.12062889671997831
Product_ID+Recipe_ID,PKG_F|RCP_1,3772,434,0.11505832449628844
Product_ID+Recipe_ID,PKG_F|RCP_2,3775,446,0.11814569536423841
Product_ID+Recipe_ID,PKG_F|RCP_3,3708,467,0.12594390507011866
Product_ID+Recipe_ID,PKG_F|RCP_4,3847,460,0.11957369378736678
Product_ID+Recipe_ID,PKG_F|RCP_5,3682,458,0.12438891906572515
Product_ID+Recipe_ID,PKG_F|RCP_6,3684,450,0.12214983713355049
Product_ID+Recipe_ID,PKG_F|RCP_7,3692,441,0.11944745395449621
Product_ID+Recipe_ID,PKG_F|RCP_8,3760,436,0.11595744680851064
Product_ID+Recipe_ID,PKG_F|RCP_9,3682,457,0.12411732753938078
