stratum_type,stratum_value,n,n_defect,rate
Machine_ID,DP01,49949,1565,0.03133195859776972
Machine_ID,DP02,49717,677,0.01361707263109198
Machine_ID,DP03,49827,1298,0.02605013346177775
Machine_ID,DP04,50507,1381,0.027342744570059595
Product_ID,PKG_A,33386,845,0.025310010183909423
Product_ID,PKG_B,33419,786,0.02351955474430713
Product_ID,PKG_C,33240,852,0.025631768953068592
Product_ID,PKG_D,32927,846,0.025693200109332768
Product_ID,PKG_E,33426,806,0.024112965954646084
Product_ID,PKG_F,33602,786,0.023391464793762275
Recipe_ID,RCP_1,22548,532,0.023594110342380698
Recipe_ID,RCP_2,22456,536,0.02386889918061988
Recipe_ID,RCP_3,22117,513,0.02319482750825157
Recipe_ID,RCP_4,22156,583,0.026313413973641453
Recipe_ID,RCP_5,22040,577,0.02617967332123412
Recipe_ID,RCP_6,22051,510,0.02312820280259399
Recipe_ID,RCP_7,22113,532,0.0240582462804685
Recipe_ID,RCP_8,22145,585,0.026416798374350868
Recipe_ID,RCP_9,22374,553,0.024716188433002592
source_dataset,original,100000,34,0.00034
source_dataset,r1,100000,4887,0.04887
Product_ID+Recipe_ID,PKG_A|RCP_1,3786,107,0.02826201796090861
Product_ID+Recipe_ID,PKG_A|RCP_2,3713,102,0.02747104767034743
Product_ID+Recipe_ID,PKG_A|RCP_3,3685,92,0.02496607869742198
Product_ID+Recipe_ID,PKG_A|RCP_4,3607,102,0.028278347657332965
Product_ID+Recipe_ID,PKG_A|RCP_5,3737,87,0.023280706449023282
Product_ID+Recipe_ID,PKG_A|RCP_6,3654,86,0.02353585112205802
Product_ID+Recipe_ID,PKG_A|RCP_7,3759,83,0.022080340516094706
Product_ID+Recipe_ID,PKG_A|RCP_8,3667,88,0.023997818380147258
Product_ID+Recipe_ID,PKG_A|RCP_9,3778,98,0.02593965060878772
Product_ID+Recipe_ID,PKG_B|RCP_1,3872,97,0.025051652892561983
Product_ID+Recipe_ID,PKG_B|RCP_2,3816,98,0.025681341719077568
Product_ID+Recipe_ID,PKG_B|RCP_3,3729,72,0.019308125502815767
Product_ID+Recipe_ID,PKG_B|RCP_4,3729,84,0.02252614641995173
Product_ID+Recipe_ID,PKG_B|RCP_5,3652,94,0.02573932092004381
Product_ID+Recipe_ID,PKG_B|RCP_6,3660,76,0.020765027322404372
Product_ID+Recipe_ID,PKG_B|RCP_7,3644,83,0.022777167947310648
Product_ID+Recipe_ID,PKG_B|RCP_8,3619,92,0.025421387123514782
Product_ID+Recipe_ID,PKG_B|RCP_9,3698,90,0.024337479718766902
Product_ID+Recipe_ID,PKG_C|RCP_1,3647,88,0.024129421442281328
Product_ID+Recipe_ID,PKG_C|RCP_2,3772,96,0.02545068928950159
Product_ID+Recipe_ID,PKG_C|RCP_3,3697,104,0.028130916959697053
Product_ID+Recipe_ID,PKG_C|RCP_4,3633,97,0.026699697219928435
Product_ID+Recipe_ID,PKG_C|RCP_5,3655,88,0.024076607387140903
Product_ID+Recipe_ID,PKG_C|RCP_6,3622,89,0.024572059635560462
Product_ID+Recipe_ID,PKG_C|RCP_7,3635,105,0.02888583218707015
Product_ID+Recipe_ID,PKG_C|RCP_8,3764,93,0.024707757704569608
Product_ID+Recipe_ID,PKG_C|RCP_9,3815,92,0.024115334207077326
Product_ID+Recipe_ID,PKG_D|RCP_1,3751,72,0.01919488136496934
Product_ID+Recipe_ID,PKG_D|RCP_2,3623,92,0.02539332045266354
Product_ID+Recipe_ID,PKG_D|RCP_3,3632,88,0.024229074889867842
Product_ID+Recipe_ID,PKG_D|RCP_4,3588,106,0.029542920847268672
Product_ID+Recipe_ID,PKG_D|RCP_5,3670,108,0.029427792915531336
Product_ID+Recipe_ID,PKG_D|RCP_6,3758,92,0.024481106971793506
Product_ID+Recipe_ID,PKG_D|RCP_7,3647,93,0.0255004112969564
Product_ID+Recipe_ID,PKG_D|RCP_8,3546,103,0.0290468133107727
Product_ID+Recipe_ID,PKG_D|RCP_9,3712,92,0.02478448275862069
Product_ID+Recipe_ID,PKG_E|RCP_1,3720,83,0.022311827956989248
Product_ID+Recipe_ID,PKG_E|RCP_2,3757,74,0.019696566409369176
Product_ID+Recipe_ID,PKG_E|RCP_3,3666,81,0.0220949263502455
Product_ID+Recipe_ID,PKG_E|RCP_4,3752,93,0.02478678038379531
Product_ID+Recipe_ID,PKG_E|RCP_5,3644,110,0.030186608122941824
Product_ID+Recipe_ID,PKG_E|RCP_6,3673,93,0.025319901987476176
Product_ID+Recipe_ID,PKG_E|RCP_7,3736,83,0.02221627408993576
Product_ID+Recipe_ID,PKG_E|RCP_8,3789,98,0.025864344154130376
Product_ID+Recipe_ID,PKG_E|RCP_9,3689,91,0.024667931688804556
Product_ID+Recipe_ID,PKG_F|RCP_1,3772,85,0.022534464475079532
Product_ID+Recipe_ID,PKG_F|RCP_2,3775,74,0.01960264900662252
Product_ID+Recipe_ID,PKG_F|RCP_3,3708,76,0.020496224379719527
Product_ID+Recipe_ID,PKG_F|RCP_4,3847,101,0.026254224070704445
Product_ID+Recipe_ID,PKG_F|RCP_5,3682,90,0.024443237370994023
Product_ID+Recipe_ID,PKG_F|RCP_6,3684,74,0.02008686210640608
Product_ID+Recipe_ID,PKG_F|RCP_7,3692,85,0.023022751895991334
Product_ID+Recipe_ID,PKG_F|RCP_8,3760,111,0.029521276595744682
Product_ID+Recipe_ID,PKG_F|RCP_9,3682,90,0.024443237370994023
