column,p_fdr_is_chip_broad,p_fdr_is_chip_primary,cliffs_delta_is_chip_broad,cliffs_delta_is_chip_primary,univariate_flag_is_chip_broad,univariate_flag_is_chip_primary,importance_mean_is_chip_broad,importance_mean_is_chip_primary,rank_is_chip_broad,rank_is_chip_primary,tree_flag_is_chip_broad,tree_flag_is_chip_primary,univariate_any_label,tree_any_label,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,domain_mechanism,domain_direction_hypothesis,has_domain_support,domain_status,subsystem,is_laser_grooving,verdict
Laser_Centering_Position,0.0,0.0,0.6576619992233392,0.6576619992233392,True,True,0.0735400686783167,0.0735400686783167,4,4,True,True,True,True,2,2,2,정렬/센터링 — 빔 중심 이탈이 비대칭 절단·모서리 손상 유발,either,True,defect_related,fdc_laser,True,confirmed
Kerf_Width_Profile,0.0,0.0,0.9824854734902426,0.9824854734902426,True,True,0.07190440688210717,0.07190440688210717,5,5,True,True,True,True,2,2,2,"절단 폭 — Beam_Diameter가 만든 결과값, 동일 메커니즘 상속 (설계서 명시)",either,True,defect_related,response,True,confirmed
Top_Kerf,0.0,0.0,0.978023933558313,0.978023933558313,True,True,0.07019910388147434,0.07019910388147434,6,6,True,True,True,True,2,2,2,절단 폭 — Kerf_Width_Profile과 동일 메커니즘 상속,either,True,defect_related,response,True,confirmed
Bottom_Kerf,0.0,0.0,0.9793637420633794,0.9793637420633794,True,True,0.05461771339000851,0.05461771339000851,7,7,True,True,True,True,2,2,2,절단 폭 — Kerf_Width_Profile과 동일 메커니즘 상속,either,True,defect_related,response,True,confirmed
Vibration,0.0,0.0,0.9021842689016222,0.9021842689016222,True,True,0.029238093539997036,0.029238093539997036,8,8,True,True,True,True,2,2,2,기계적 불안정 — 스테이지 흔들림으로 나이프 자국형 대형 불량 (설계서 회의록 명시),up,True,defect_related,fdc_mechanical,False,confirmed
Groove_Depth,0.0,0.0,-0.7992895408276921,-0.7992895408276921,True,True,0.019983117598739334,0.019983117598739334,9,9,True,True,True,True,2,2,2,가공 깊이 — Depth 부족 시 Low-k 미승화로 Blade 진입 시 Chipping (설계서 C유형 명시),down,True,defect_related,response,True,confirmed
Focus,0.0,0.0,0.9371596401717359,0.9371596401717359,True,True,0.016639987052471814,0.016639987052471814,10,10,True,True,True,True,2,2,2,빔 집속 — 헤드온도 변화 시 굴절률 변화로 센터링 불량·Chipping·Depth/Width 이상 (설계서 PDF 명시),either,True,defect_related,fdc_thermal,True,confirmed
Laser_Power,0.0,0.0,-0.9229446033921044,-0.9229446033921044,True,True,0.12454020673378156,0.12454020673378156,1,1,True,True,True,True,2,2,2,"에너지 투입 계열 — Burn 전용(열 축적), Chipping(기계적 파손)과 연결고리 없음",not_applicable,False,not_related_to_defect,fdc_laser,True,candidate_needs_domain_review
Power_Efficiency,0.0,0.0,-0.9505849180499495,-0.9505849180499495,True,True,0.12059831035220521,0.12059831035220521,2,2,True,True,True,True,2,2,2,"에너지 투입 계열 — Burn 전용, Chipping과 연결고리 없음",not_applicable,False,not_related_to_defect,fdc_laser,True,candidate_needs_domain_review
Laser_Cleaning_Demand,0.0,0.0,-0.9122555728195826,-0.9122555728195826,True,True,0.09079607110454407,0.09079607110454407,3,3,True,True,True,True,2,2,2,"팀 공용 피처, 세정 계열 — Chipping과 무관",not_applicable,False,not_related_to_defect,engineered,True,candidate_needs_domain_review
