column,p_fdr_is_crack_broad,p_fdr_is_crack_primary,cliffs_delta_is_crack_broad,cliffs_delta_is_crack_primary,univariate_flag_is_crack_broad,univariate_flag_is_crack_primary,importance_mean_is_crack_broad,importance_mean_is_crack_primary,rank_is_crack_broad,rank_is_crack_primary,tree_flag_is_crack_broad,tree_flag_is_crack_primary,univariate_any_label,tree_any_label,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,domain_mechanism,domain_direction_hypothesis,has_domain_support,domain_status,subsystem,is_laser_grooving,verdict
Surface_Roughness,0.0,0.0,0.5751061455147894,0.43995559720713984,True,True,0.09258716066578351,0.03121957253797864,1,1,True,True,True,True,2,2,2,"결과 공변 — 균열이 표면 거칠기를 바꿀 가능성, 원인 아닐 수 있음",up,True,defect_related,response,False,confirmed
Vibration,0.0,3.9964075285141454e-13,0.5651533934750586,0.06332099624614584,True,False,0.02679675004328974,-0.0008010153294603029,8,36,True,False,True,True,2,1,1,기계적 스트레스 — 진동에 의한 반복 응력이 피로파괴형 미세균열 유발,up,True,defect_related,fdc_mechanical,False,confirmed
Bottom_Kerf,0.0,0.8440318289563972,0.5363491396193587,0.0027817272687840067,True,False,0.050271962945283896,0.0019123303712924654,2,4,True,True,True,True,2,1,2,[현업+Jun] 그루빙 절단 폭 — 파단과 무관,not_applicable,False,not_related_to_defect,response,True,candidate_needs_domain_review
Kerf_Width_Profile,0.0,0.24135199980518834,0.5341800501744962,-0.011627982135476889,True,False,0.042604660605384634,0.0015578132168555673,3,5,True,True,True,True,2,1,2,[현업+Jun] 그루빙 절단 폭 — 파단과 별개 메커니즘,not_applicable,False,not_related_to_defect,response,True,candidate_needs_domain_review
Laser_Cleaning_Demand,0.0,9.199986718377116e-10,-0.4790603533114969,0.05385609862176843,True,False,0.023357572810824002,0.0013597467913408045,9,6,True,True,True,True,2,1,2,[현업+Jun] 그루빙 파생피처(Laser_Power×Groove_Depth) — 제외,not_applicable,False,not_related_to_defect,engineered,True,candidate_needs_domain_review
Power_Efficiency,0.0,0.007628030672627657,-0.5101970809908258,0.024905897392374587,True,False,0.040009124408927434,0.0013533683414047935,5,7,True,True,True,True,2,1,2,[현업] 레이저 그루빙 제어인자 — 제외,not_applicable,False,not_related_to_defect,fdc_laser,True,candidate_needs_domain_review
Top_Kerf,0.0,0.8364188222091232,0.5349071803426966,-0.0030881387025631923,True,False,0.04147193971465725,0.0013249881477094207,4,8,True,True,True,True,2,1,2,[현업+Jun] 그루빙 절단 폭 — 파단과 무관,not_applicable,False,not_related_to_defect,response,True,candidate_needs_domain_review
Laser_Power,0.0,9.199986718377116e-10,-0.48439425478036546,0.05371549936815123,True,False,0.021128718801718058,0.001310565049599081,10,9,True,True,True,True,2,1,2,[현업] Micro_Crack은 레이저 그루빙 문제가 아님 — 그루빙 에너지 투입 인자라 제외,not_applicable,False,not_related_to_defect,fdc_laser,True,candidate_needs_domain_review
Head_Temp,0.0,0.16222643509609933,0.5119624769095159,0.014345589569500161,True,False,0.029142125995042782,0.001209103391150095,7,10,True,True,True,True,2,1,2,[현업] 레이저 헤드 온도 = 그루빙 계통 — 제외,not_applicable,False,not_related_to_defect,fdc_thermal,True,candidate_needs_domain_review
Focus,0.0,0.7976682727467038,0.5109100475591968,0.003688130103042697,True,False,0.029464942623352523,0.0007432411226149128,6,15,True,False,True,True,2,1,1,[현업] 레이저 빔 집속 = 그루빙 제어인자 — 제외,not_applicable,False,not_related_to_defect,fdc_thermal,True,candidate_needs_domain_review
