column,is_laser_grooving,cliffs_delta_primary,cliffs_delta_broad,cliffs_delta_pure
Surface_Roughness,False,0.44,0.5751,0.4919
Vibration,False,0.0633,0.5652,0.1242
Cooling_Flow,False,-0.0232,-0.2775,-0.018
Kerf_Width_Profile,True,-0.0116,0.5342,-0.023
Top_Kerf,True,-0.0031,0.5349,-0.0166
Bottom_Kerf,True,0.0028,0.5363,-0.0153
Focus,True,0.0037,0.5109,-0.0136
Head_Temp,True,0.0143,0.512,-0.0009
Laser_Power,True,0.0537,-0.4844,0.065
Power_Efficiency,True,0.0249,-0.5102,0.0405
Frequency,True,0.0706,0.0374,0.062
Groove_Depth,True,0.0497,-0.4248,0.0557
