column,importance_mean,is_laser_grooving,rank
Surface_Roughness,0.08765212758829488,False,1
CLN_Flow,0.027294244813883872,False,2
Bottom_Kerf,0.014761289877104651,True,3
Head_Temp,0.009939629518315785,True,4
Vibration,0.008967169328234386,False,5
Top_Kerf,0.008866555139389366,True,6
Focus,0.007523812534619542,True,7
Frequency,0.0067772263570404405,True,8
Cleaning_Load_Ratio,0.0027493018615557603,False,9
Kerf_Width_Profile,0.0026931599102794504,True,10
Process_Time,0.002595255705562512,False,11
Cleaning_Capacity,0.0020291347722481107,False,12
Power_Efficiency,0.001696130936539564,True,13
CLN_Pressure,0.0008066895060129735,False,14
Package_Size_3,0.0006476686903067537,False,15
Package_Size_2,0.0005758740893770283,False,16
Beam_Diameter,0.00046560206130165095,True,17
Maintenance_Count,0.00042805814337696925,False,18
Groove_Depth,0.0003193338238234589,True,19
Coating_Uniformity,0.00028939382164763403,False,20
Cooling_Flow,0.0002446927170463927,False,21
Cutting_X_Index,0.00022486625095958593,False,22
Kerf_Angle,0.00017034905354558946,True,23
Laser_Power,0.00013403623919581905,True,24
Coating_Flow,-0.0001495999366341631,False,25
Feed_Speed,-0.0002359367309687425,True,26
Cooling_Thermal_Load,-0.0003001952769957998,False,27
CLN_Time,-0.00031350893593280656,False,28
Cooling_Water_Temp,-0.00038430771506778316,False,29
Package_Size_4,-0.00039662019900019716,False,30
Laser_Voltage,-0.00046587169248324216,True,31
Coating_Thickness,-0.0006638580306437418,False,32
Package_Size_1,-0.0006929658406859347,False,33
Laser_Current,-0.0007308380261172254,True,34
Laser_Head_Remain_Time,-0.0007361684170188528,True,35
Alignment_Time,-0.0008586725629154413,False,36
Laser_Centering_Position,-0.0008923832339404414,True,37
Cutting_Offset,-0.0010451325437426126,False,38
Laser_Cleaning_Demand,-0.0018310099729205386,True,39
Cutting_Y_Index,-0.002099159109003716,False,40
