variable_1,variable_2,spearman_r,absolute_r
Laser_Power,Kerf_Width_Profile,-0.5788,0.5788
Laser_Power,Groove_Depth,0.3501,0.3501
Kerf_Width_Profile,Groove_Depth,-0.2269,0.2269
Power_Efficiency,Kerf_Width_Profile,-0.2245,0.2245
Power_Efficiency,Groove_Depth,0.1051,0.1051
Laser_Power,Power_Efficiency,0.0488,0.0488
Focus,Kerf_Width_Profile,0.0427,0.0427
Laser_Power,Focus,-0.024,0.024
Power_Efficiency,Laser_Centering_Position,-0.0182,0.0182
Laser_Centering_Position,Kerf_Width_Profile,0.0182,0.0182
Focus,Groove_Depth,-0.0131,0.0131
Power_Efficiency,Focus,-0.0126,0.0126
Laser_Power,Laser_Centering_Position,-0.0101,0.0101
Laser_Centering_Position,Groove_Depth,-0.0023,0.0023
Laser_Centering_Position,Focus,0.0004,0.0004
Vibration,Surface_Roughness,0.3152,0.3152
Vibration,Bottom_Kerf,0.0535,0.0535
Focus,Vibration,0.0519,0.0519
Head_Temp,Vibration,0.0513,0.0513
Laser_Power,Vibration,-0.0506,0.0506
Vibration,Top_Kerf,0.0501,0.0501
Vibration,Kerf_Width_Profile,0.0446,0.0446
Bottom_Kerf,Surface_Roughness,0.0437,0.0437
Top_Kerf,Surface_Roughness,0.0424,0.0424
Vibration,CLN_Flow,-0.0412,0.0412
Power_Efficiency,Vibration,-0.0394,0.0394
Kerf_Width_Profile,Surface_Roughness,0.0372,0.0372
Vibration,Groove_Depth,-0.0213,0.0213
CLN_Flow,Surface_Roughness,-0.0164,0.0164
Laser_Power,Surface_Roughness,-0.0161,0.0161
Focus,Surface_Roughness,0.0152,0.0152
Head_Temp,Surface_Roughness,0.0152,0.0152
Power_Efficiency,Surface_Roughness,-0.014,0.014
Vibration,Cooling_Flow,-0.0114,0.0114
Vibration,Cutting_Offset,0.0096,0.0096
Groove_Depth,Surface_Roughness,-0.0094,0.0094
Laser_Head_Remain_Time,Surface_Roughness,-0.0081,0.0081
Vibration,Kerf_Angle,0.0078,0.0078
Laser_Centering_Position,Vibration,0.0071,0.0071
Vibration,Cutting_Y_Index,0.007,0.007
Package_Size_1,Surface_Roughness,-0.0062,0.0062
Cutting_Offset,Surface_Roughness,0.0061,0.0061
Vibration,CLN_Time,0.0056,0.0056
Cooling_Flow,Surface_Roughness,-0.0053,0.0053
Laser_Centering_Position,Surface_Roughness,0.0052,0.0052
Vibration,Process_Time,0.0051,0.0051
CLN_Time,Surface_Roughness,0.0049,0.0049
Vibration,Laser_Voltage,0.0045,0.0045
Coating_Thickness,Surface_Roughness,0.0042,0.0042
Surface_Roughness,PLC_Memory,0.0039,0.0039
Frequency,Vibration,-0.0039,0.0039
Vibration,Package_Size_1,-0.0039,0.0039
Vibration,Package_Size_4,0.0038,0.0038
Package_Size_3,Surface_Roughness,0.0038,0.0038
Surface_Roughness,Vision_Exposure,-0.0035,0.0035
Vibration,Cooling_Water_Temp,-0.0034,0.0034
Vibration,Room_Noise,0.0032,0.0032
Vibration,LED_Brightness,-0.0032,0.0032
Surface_Roughness,Room_Noise,0.0032,0.0032
Vibration,Package_Size_2,-0.0031,0.0031
Laser_Voltage,Surface_Roughness,0.0029,0.0029
Vibration,Package_Size_3,0.0029,0.0029
Vibration,Beam_Diameter,-0.0029,0.0029
Frequency,Surface_Roughness,0.0027,0.0027
Vibration,Laser_Head_Remain_Time,-0.0027,0.0027
Vibration,Coating_Flow,-0.0027,0.0027
Package_Size_4,Surface_Roughness,0.0026,0.0026
Surface_Roughness,LED_Brightness,0.0025,0.0025
Vibration,PLC_CPU_Load,-0.0023,0.0023
Kerf_Angle,Surface_Roughness,-0.0023,0.0023
Vibration,Laser_Current,0.0022,0.0022
Vibration,Coating_Thickness,0.0022,0.0022
Beam_Diameter,Surface_Roughness,-0.0021,0.0021
Surface_Roughness,Maintenance_Count,-0.0021,0.0021
Surface_Roughness,Door_Open_Count,-0.0021,0.0021
Vibration,Maintenance_Count,-0.0019,0.0019
Cooling_Water_Temp,Surface_Roughness,-0.0019,0.0019
Coating_Uniformity,Surface_Roughness,0.0019,0.0019
Surface_Roughness,Factory_Power,-0.0018,0.0018
Surface_Roughness,Fan_RPM,0.0018,0.0018
Vibration,Door_Open_Count,0.0016,0.0016
Process_Time,Surface_Roughness,0.0015,0.0015
Feed_Speed,Vibration,0.0014,0.0014
Feed_Speed,Surface_Roughness,-0.0014,0.0014
Package_Size_2,Surface_Roughness,-0.0013,0.0013
Vibration,Cutting_X_Index,0.0013,0.0013
Vibration,Network_Latency,-0.0011,0.0011
Vibration,PLC_Memory,0.001,0.001
Laser_Current,Surface_Roughness,-0.001,0.001
Cutting_Y_Index,Surface_Roughness,-0.001,0.001
Vibration,Vision_Exposure,-0.0009,0.0009
Vibration,Factory_Power,0.0009,0.0009
Cutting_X_Index,Surface_Roughness,-0.0009,0.0009
Vibration,CLN_Pressure,0.0006,0.0006
Vibration,Fan_RPM,-0.0006,0.0006
Alignment_Time,Surface_Roughness,0.0005,0.0005
Surface_Roughness,PLC_CPU_Load,-0.0004,0.0004
Surface_Roughness,Network_Latency,-0.0003,0.0003
Vibration,Alignment_Time,-0.0003,0.0003
CLN_Pressure,Surface_Roughness,-0.0003,0.0003
Vibration,Coating_Uniformity,0.0003,0.0003
Coating_Flow,Surface_Roughness,0.0001,0.0001
