Machine_ID,column,direction,latest_date,current_value,baseline_median,lsl,usl,spec_source,spec_status,cusum_alert_lower,cusum_alert_upper,control_lsl,control_usl,score_side,defect_zone_rate_pct,defect_zone_baseline_pct,margin_used_pct,health_index,margin_trend_pct_per_day,estimated_days_to_spec_out,trend_direction,early_warning_active,trend_message,alert_since,alert_active_days,recipe_hotspots,n_product_recipe_combos_affected,recipe_hotspot_concentrated,is_cause_factor
DP01,Alignment_Time,either,2026-03-30,0.4,0.4,0.3402,0.4598,control_limit_3sigma,OK,,0.414,0.3402,0.4598,both,,,1.1,99.0,0.022,,down,False,DP01 / PKG_C / RCP_7의 Alignment_Time 변동성이 정상 대비 지속적으로 확대되고 있습니다.,,,"[{'product_id': 'PKG_C', 'recipe_id': 'RCP_9', 'warning_count': 13}, {'product_id': 'PKG_C', 'recipe_id': 'RCP_7', 'warning_count': 13}, {'product_id': 'PKG_F', 'recipe_id': 'RCP_5', 'warning_count': 13}]",29.0,True,False
DP01,Beam_Diameter,either,2026-03-30,34.9984,34.9982,34.0978,35.8987,control_limit_3sigma,OK,34.7881,35.2084,34.0978,35.8987,both,,,1.6,96.9,0.013,,up,True,DP01 / PKG_E / RCP_4의 Beam_Diameter 변동성이 정상 대비 지속적으로 확대되고 있습니다.,2026-03-30,0.6,"[{'product_id': 'PKG_F', 'recipe_id': 'RCP_8', 'warning_count': 11}, {'product_id': 'PKG_F', 'recipe_id': 'RCP_7', 'warning_count': 11}, {'product_id': 'PKG_C', 'recipe_id': 'RCP_6', 'warning_count': 11}]",26.0,True,False
DP01,Bottom_Kerf,either,2026-03-30,50.0832,50.0942,49.7995,50.3889,control_limit_3sigma,OK,50.0254,50.163,49.7995,50.3889,both,,,3.7,94.1,-0.104,,down,True,DP01 / PKG_F / RCP_6의 Bottom_Kerf 변동성이 정상 대비 지속적으로 확대되고 있습니다.,2026-03-30,0.9,"[{'product_id': 'PKG_B', 'recipe_id': 'RCP_4', 'warning_count': 10}, {'product_id': 'PKG_C', 'recipe_id': 'RCP_2', 'warning_count': 8}, {'product_id': 'PKG_D', 'recipe_id': 'RCP_6', 'warning_count': 7}]",28.0,True,False
DP01,CLN_Flow,down,2026-03-30,10.0001,9.992,9.7465,10.2375,control_limit_3sigma,OK,,,9.7465,10.2375,lower,4.61,3.93,0.0,100.0,,,down,False,DP01 / PKG_F / RCP_2의 CLN_Flow에서 위험 Threshold(10.0605)에 진입했습니다.,,,"[{'product_id': 'PKG_F', 'recipe_id': 'RCP_2', 'warning_count': 29}, {'product_id': 'PKG_B', 'recipe_id': 'RCP_9', 'warning_count': 25}, {'product_id': 'PKG_E', 'recipe_id': 'RCP_3', 'warning_count': 1}]",3.0,False,True
DP01,CLN_Pressure,down,2026-03-30,299.9679,300.0362,294.1534,305.9191,control_limit_3sigma,OK,,,294.1534,305.9191,lower,7.09,5.67,1.2,99.0,-0.081,,down,False,DP01 / PKG_B / RCP_6의 CLN_Pressure 변동성이 정상 대비 지속적으로 확대되고 있습니다.,,,"[{'product_id': 'PKG_E', 'recipe_id': 'RCP_6', 'warning_count': 11}, {'product_id': 'PKG_B', 'recipe_id': 'RCP_6', 'warning_count': 10}, {'product_id': 'PKG_B', 'recipe_id': 'RCP_9', 'warning_count': 8}]",31.0,True,True
DP01,CLN_Time,either,2026-03-30,14.9945,15.0013,13.4938,16.5087,control_limit_3sigma,OK,14.6495,15.353,13.4938,16.5087,both,,,0.8,99.3,0.001,,down,False,DP01 / PKG_F / RCP_8의 CLN_Time 변동성이 정상 대비 지속적으로 확대되고 있습니다.,,,"[{'product_id': 'PKG_A', 'recipe_id': 'RCP_9', 'warning_count': 13}, {'product_id': 'PKG_D', 'recipe_id': 'RCP_1', 'warning_count': 11}, {'product_id': 'PKG_C', 'recipe_id': 'RCP_4', 'warning_count': 10}]",27.0,True,False
DP01,Coating_Flow,either,2026-03-30,50.0019,50.0025,48.5005,51.5045,control_limit_3sigma,OK,49.652,,48.5005,51.5045,both,,,1.4,98.7,-0.025,,down,False,DP01 / PKG_C / RCP_3의 Coating_Flow에서 정상 Baseline 대비 지속적인 하강 추세가 감지되었습니다.,,,"[{'product_id': 'PKG_D', 'recipe_id': 'RCP_5', 'warning_count': 12}, {'product_id': 'PKG_B', 'recipe_id': 'RCP_3', 'warning_count': 8}, {'product_id': 'PKG_F', 'recipe_id': 'RCP_8', 'warning_count': 7}]",32.0,True,False
DP01,Coating_Thickness,either,2026-03-30,10.0027,10.0,9.5,10.5,mentor_spec+control_limit_3sigma,OK,,,9.5556,10.4444,both,2.94,2.16,1.6,97.7,-0.066,,down,True,DP01 / PKG_F / RCP_8의 Coating_Thickness 변동성이 정상 대비 지속적으로 확대되고 있습니다.,2026-03-30,0.3,"[{'product_id': 'PKG_E', 'recipe_id': 'RCP_2', 'warning_count': 10}, {'product_id': 'PKG_B', 'recipe_id': 'RCP_7', 'warning_count': 9}, {'product_id': 'PKG_E', 'recipe_id': 'RCP_1', 'warning_count': 9}]",34.0,True,False
DP01,Coating_Uniformity,either,2026-03-30,98.8075,98.8099,97.0,100.0,mentor_spec_recomputed_target+control_limit_3sigma,OK,98.6343,98.9837,98.0614,99.5584,both,,,2.0,96.7,-0.068,,down,True,DP01 / PKG_B / RCP_2의 Coating_Uniformity에서 정상 Baseline(최적값) 대비 낮은 방향으로 지속적으로 벌어지는 편차가 감지되었습니다.,2026-03-30,0.5,"[{'product_id': 'PKG_B', 'recipe_id': 'RCP_3', 'warning_count': 12}, {'product_id': 'PKG_B', 'recipe_id': 'RCP_1', 'warning_count': 11}, {'product_id': 'PKG_B', 'recipe_id': 'RCP_2', 'warning_count': 10}]",36.0,True,False
DP01,Cooling_Flow,down,2026-03-30,9.9985,9.999,9.7003,10.2977,control_limit_3sigma,OK,9.9293,,9.7003,10.2977,lower,,,0.2,99.8,-0.02,,down,False,DP01 / PKG_E / RCP_7의 Cooling_Flow 변동성이 정상 대비 지속적으로 확대되고 있습니다.,,,"[{'product_id': 'PKG_F', 'recipe_id': 'RCP_3', 'warning_count': 13}, {'product_id': 'PKG_A', 'recipe_id': 'RCP_5', 'warning_count': 12}, {'product_id': 'PKG_C', 'recipe_id': 'RCP_4', 'warning_count': 7}]",22.0,True,True
