Machine_ID,date,health_index,defect_penalty,stability_penalty,trend_penalty,trigger_type,triggered_factors
DP03,2026-03-29,75.5,0.6806298712461682,3.851913328712796,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Head_Temp,Cooling_Flow,Vibration"
DP03,2026-03-27,75.8,0.672612286144485,3.5335278103730334,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Head_Temp,Cooling_Flow,Vibration"
DP03,2026-03-30,75.8,0.6331581818951832,3.608210026904898,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Head_Temp,Cooling_Flow,Vibration"
DP03,2026-03-25,75.9,0.6020297651047173,3.47421784829557,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Head_Temp,Cooling_Flow,Vibration"
DP03,2026-03-28,75.9,0.6543332797509436,3.4561472665933195,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Head_Temp,Cooling_Flow,Vibration"
DP03,2026-03-26,76.0,0.6440850380760565,3.4030803731988883,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Head_Temp,Cooling_Flow,Vibration"
DP03,2026-03-24,76.1,0.5655874010917756,3.315425930782729,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Head_Temp,Cooling_Flow,Vibration"
DP02,2026-03-25,76.5,0.5016829024450828,3.0161957095450598,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Laser_Centering_Position,Head_Temp,Vibration"
DP02,2026-03-28,76.5,0.498248313778447,2.986126323015506,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Laser_Centering_Position,Head_Temp,Vibration"
DP02,2026-03-29,76.5,0.5114969526169091,3.003433739734614,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Laser_Centering_Position,Head_Temp,Vibration"
DP02,2026-03-24,76.6,0.49057306845377013,2.9174005233847056,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Laser_Centering_Position,Head_Temp,Vibration"
DP02,2026-03-27,76.6,0.5147868440841705,2.9037673268875315,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Laser_Centering_Position,Head_Temp,Vibration"
DP02,2026-03-26,76.7,0.5240935786056014,2.72623646144624,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Laser_Centering_Position,Head_Temp,Vibration"
DP02,2026-03-30,76.7,0.5417867786848802,2.7503610675649286,20.0,지속적 추세 이상 (spec 이내지만 서서히 악화),"Laser_Power,Power_Efficiency,Laser_Centering_Position,Head_Temp,Vibration"
