Machine_ID,defect,health_index,worst_factor,scored,worst_factors
DP01,Particle,91.1,Surface_Roughness,True,"[{'factor': 'Surface_Roughness', 'health_index': 91.1, 'spec_status': 'OK'}]"
DP01,Remain_Coat,95.5,CLN_Pressure,True,"[{'factor': 'CLN_Pressure', 'health_index': 95.5, 'spec_status': 'OK'}, {'factor': 'CLN_Flow', 'health_index': 100.0, 'spec_status': 'OK'}]"
DP01,Chipping,90.7,Power_Efficiency,True,"[{'factor': 'Power_Efficiency', 'health_index': 90.7, 'spec_status': 'OK'}, {'factor': 'Laser_Power', 'health_index': 93.5, 'spec_status': 'OK'}, {'factor': 'Head_Temp', 'health_index': 96.5, 'spec_status': 'OK'}]"
DP02,Particle,69.3,Surface_Roughness,True,"[{'factor': 'Surface_Roughness', 'health_index': 69.3, 'spec_status': 'OK'}]"
DP02,Remain_Coat,96.3,CLN_Pressure,True,"[{'factor': 'CLN_Pressure', 'health_index': 96.3, 'spec_status': 'OK'}, {'factor': 'CLN_Flow', 'health_index': 99.4, 'spec_status': 'OK'}]"
DP02,Chipping,9.7,Laser_Power,True,"[{'factor': 'Laser_Power', 'health_index': 9.7, 'spec_status': 'OK'}, {'factor': 'Power_Efficiency', 'health_index': 10.3, 'spec_status': 'OK'}, {'factor': 'Head_Temp', 'health_index': 90.9, 'spec_status': 'OK'}]"
DP03,Particle,39.3,Surface_Roughness,True,"[{'factor': 'Surface_Roughness', 'health_index': 39.3, 'spec_status': 'OK'}]"
DP03,Remain_Coat,99.1,CLN_Pressure,True,"[{'factor': 'CLN_Pressure', 'health_index': 99.1, 'spec_status': 'OK'}, {'factor': 'CLN_Flow', 'health_index': 100.0, 'spec_status': 'OK'}]"
DP03,Chipping,22.3,Head_Temp,True,"[{'factor': 'Head_Temp', 'health_index': 22.3, 'spec_status': 'OK'}, {'factor': 'Laser_Power', 'health_index': 53.3, 'spec_status': 'OK'}, {'factor': 'Power_Efficiency', 'health_index': 65.2, 'spec_status': 'OK'}]"
DP04,Particle,78.4,Surface_Roughness,True,"[{'factor': 'Surface_Roughness', 'health_index': 78.4, 'spec_status': 'OK'}]"
DP04,Remain_Coat,2.6,CLN_Flow,True,"[{'factor': 'CLN_Flow', 'health_index': 2.6, 'spec_status': 'OK'}, {'factor': 'CLN_Pressure', 'health_index': 75.3, 'spec_status': 'OK'}]"
DP04,Chipping,90.9,Power_Efficiency,True,"[{'factor': 'Power_Efficiency', 'health_index': 90.9, 'spec_status': 'OK'}, {'factor': 'Laser_Power', 'health_index': 92.9, 'spec_status': 'OK'}, {'factor': 'Head_Temp', 'health_index': 97.8, 'spec_status': 'OK'}]"
