,원본,R1
Alignment_Time,1.0002262420973902,1.0004410847127603
Beam_Diameter,1.000359717255286,1.0002848993724318
CLN_Flow,1.0094262133589567,1.2694336907102342
CLN_Pressure,1.000274914715104,1.0003656224602089
CLN_Time,1.0004023349126439,1.000221274637056
Coating_Flow,1.0003327684362722,1.0002144013680976
Cooling_Flow,1.0004934866864468,1.4001284063494264
Cooling_Water_Temp,1.000343032527073,1.0002727981596027
Cutting_X_Index,1.000274898433691,1.0002625107229408
Cutting_Y_Index,1.0003863974987461,1.0002088877991073
Door_Open_Count,1.000401006983044,1.0002542574525326
Factory_Power,1.000292622196951,1.0002902092186468
Fan_RPM,1.0003463873083476,1.000266886239118
Feed_Speed,1.000167261722094,1.0001627499578047
Focus,1.005804788675659,12.025428701721104
Frequency,1.0003697422482751,1.0003176750636724
Head_Temp,1.0053642454408096,11.821587355141615
LED_Brightness,1.0003525911489337,1.0003022471550775
Laser_Centering_Position,1.0007385747833237,8.552268528311508
Laser_Current,1.0002542378268766,1.0002531433454331
Laser_Head_Remain_Time,1.0002877046211462,1.000223153819909
Laser_Power,1.007740625885234,7.007497029016223
Laser_Voltage,1.0002471840840874,1.000231199006727
Maintenance_Count,1.0002694898195952,1.000317832582597
Network_Latency,1.0003449795312085,1.0002900793783251
PLC_CPU_Load,1.0003312344407729,1.0002470475316836
PLC_Memory,1.0003852323949698,1.0002050393872404
Power_Efficiency,1.0062500400379943,12.766198402363887
Process_Time,1.000348028257696,1.0001837987809776
Room_Noise,1.000329517078882,1.0002481448479665
Vibration,1.0147199279683883,3.4295539641065713
Vision_Exposure,1.0003990330171364,1.000243963130273
