stratum_type,stratum_value,n,n_defect,rate
Machine_ID,DP01,49949,2891,0.057879036617349694
Machine_ID,DP02,49717,2373,0.047730152664078686
Machine_ID,DP03,49827,3072,0.061653320488891564
Machine_ID,DP04,50507,2960,0.05860573781852021
Product_ID,PKG_A,33386,1994,0.059725633499071465
Product_ID,PKG_B,33419,1941,0.058080732517430206
Product_ID,PKG_C,33240,1825,0.05490373044524669
Product_ID,PKG_D,32927,1798,0.05460564278555593
Product_ID,PKG_E,33426,1863,0.05573505654281099
Product_ID,PKG_F,33602,1875,0.05580024998511993
Recipe_ID,RCP_1,22548,1263,0.05601383714741884
Recipe_ID,RCP_2,22456,1292,0.0575347345920912
Recipe_ID,RCP_3,22117,1297,0.05864267305692454
Recipe_ID,RCP_4,22156,1260,0.056869471023650475
Recipe_ID,RCP_5,22040,1264,0.0573502722323049
Recipe_ID,RCP_6,22051,1247,0.0565507233232053
Recipe_ID,RCP_7,22113,1274,0.05761316872427984
Recipe_ID,RCP_8,22145,1177,0.053149695190787986
Recipe_ID,RCP_9,22374,1222,0.0546169661213909
source_dataset,original,100000,6455,0.06455
source_dataset,r1,100000,4841,0.04841
Product_ID+Recipe_ID,PKG_A|RCP_1,3786,220,0.05810882197569995
Product_ID+Recipe_ID,PKG_A|RCP_2,3713,252,0.06786964718556424
Product_ID+Recipe_ID,PKG_A|RCP_3,3685,221,0.059972862957937585
Product_ID+Recipe_ID,PKG_A|RCP_4,3607,200,0.05544774050457444
Product_ID+Recipe_ID,PKG_A|RCP_5,3737,218,0.05833556328605834
Product_ID+Recipe_ID,PKG_A|RCP_6,3654,221,0.06048166392993979
Product_ID+Recipe_ID,PKG_A|RCP_7,3759,226,0.060122372971534985
Product_ID+Recipe_ID,PKG_A|RCP_8,3667,215,0.05863103354240524
Product_ID+Recipe_ID,PKG_A|RCP_9,3778,221,0.05849655902593965
Product_ID+Recipe_ID,PKG_B|RCP_1,3872,214,0.05526859504132232
Product_ID+Recipe_ID,PKG_B|RCP_2,3816,218,0.05712788259958071
Product_ID+Recipe_ID,PKG_B|RCP_3,3729,229,0.0614105658353446
Product_ID+Recipe_ID,PKG_B|RCP_4,3729,217,0.05819254491820863
Product_ID+Recipe_ID,PKG_B|RCP_5,3652,216,0.05914567360350493
Product_ID+Recipe_ID,PKG_B|RCP_6,3660,213,0.05819672131147541
Product_ID+Recipe_ID,PKG_B|RCP_7,3644,243,0.06668496158068057
Product_ID+Recipe_ID,PKG_B|RCP_8,3619,185,0.05111909367228516
Product_ID+Recipe_ID,PKG_B|RCP_9,3698,206,0.05570578691184424
Product_ID+Recipe_ID,PKG_C|RCP_1,3647,225,0.06169454346037839
Product_ID+Recipe_ID,PKG_C|RCP_2,3772,205,0.05434782608695652
Product_ID+Recipe_ID,PKG_C|RCP_3,3697,214,0.0578847714362997
Product_ID+Recipe_ID,PKG_C|RCP_4,3633,209,0.05752821359757776
Product_ID+Recipe_ID,PKG_C|RCP_5,3655,220,0.060191518467852256
Product_ID+Recipe_ID,PKG_C|RCP_6,3622,185,0.051076753175041414
Product_ID+Recipe_ID,PKG_C|RCP_7,3635,184,0.05061898211829436
Product_ID+Recipe_ID,PKG_C|RCP_8,3764,185,0.049149840595111585
Product_ID+Recipe_ID,PKG_C|RCP_9,3815,198,0.051900393184796854
Product_ID+Recipe_ID,PKG_D|RCP_1,3751,207,0.05518528392428686
Product_ID+Recipe_ID,PKG_D|RCP_2,3623,189,0.05216671266905879
Product_ID+Recipe_ID,PKG_D|RCP_3,3632,204,0.05616740088105727
Product_ID+Recipe_ID,PKG_D|RCP_4,3588,207,0.057692307692307696
Product_ID+Recipe_ID,PKG_D|RCP_5,3670,187,0.050953678474114444
Product_ID+Recipe_ID,PKG_D|RCP_6,3758,211,0.05614688664183076
Product_ID+Recipe_ID,PKG_D|RCP_7,3647,215,0.05895256375102824
Product_ID+Recipe_ID,PKG_D|RCP_8,3546,181,0.05104342921601805
Product_ID+Recipe_ID,PKG_D|RCP_9,3712,197,0.05307112068965517
Product_ID+Recipe_ID,PKG_E|RCP_1,3720,192,0.05161290322580645
Product_ID+Recipe_ID,PKG_E|RCP_2,3757,202,0.053766302901251
Product_ID+Recipe_ID,PKG_E|RCP_3,3666,228,0.062193126022913256
Product_ID+Recipe_ID,PKG_E|RCP_4,3752,208,0.05543710021321962
Product_ID+Recipe_ID,PKG_E|RCP_5,3644,211,0.05790340285400659
Product_ID+Recipe_ID,PKG_E|RCP_6,3673,203,0.055268173155458754
Product_ID+Recipe_ID,PKG_E|RCP_7,3736,205,0.05487152034261242
Product_ID+Recipe_ID,PKG_E|RCP_8,3789,225,0.05938242280285035
Product_ID+Recipe_ID,PKG_E|RCP_9,3689,189,0.051233396584440226
Product_ID+Recipe_ID,PKG_F|RCP_1,3772,205,0.05434782608695652
Product_ID+Recipe_ID,PKG_F|RCP_2,3775,226,0.05986754966887417
Product_ID+Recipe_ID,PKG_F|RCP_3,3708,201,0.054207119741100325
Product_ID+Recipe_ID,PKG_F|RCP_4,3847,219,0.05692747595528984
Product_ID+Recipe_ID,PKG_F|RCP_5,3682,212,0.057577403585008145
Product_ID+Recipe_ID,PKG_F|RCP_6,3684,214,0.05808903365906623
Product_ID+Recipe_ID,PKG_F|RCP_7,3692,201,0.054442036836403036
Product_ID+Recipe_ID,PKG_F|RCP_8,3760,186,0.04946808510638298
Product_ID+Recipe_ID,PKG_F|RCP_9,3682,211,0.05730581205866377
