column,p_fdr_is_chip_broad,p_fdr_is_chip_primary,cliffs_delta_is_chip_broad,cliffs_delta_is_chip_primary,univariate_flag_is_chip_broad,univariate_flag_is_chip_primary,importance_mean_is_chip_broad,importance_mean_is_chip_primary,rank_is_chip_broad,rank_is_chip_primary,tree_flag_is_chip_broad,tree_flag_is_chip_primary,univariate_any_label,tree_any_label,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,domain_mechanism,domain_direction_hypothesis,has_domain_support,domain_status,subsystem,daeho_followup_status,verdict
Top_Kerf,0.0,0.0,0.978023933558313,0.978023933558313,True,True,0.06378328171546162,0.06378328171546162,4,4,True,True,True,True,2,2,2,절단 폭 — Kerf_Width_Profile과 동일 메커니즘 상속,either,True,defect_related,response,,confirmed
Kerf_Width_Profile,0.0,0.0,0.9824854734902426,0.9824854734902426,True,True,0.06341026433400458,0.06341026433400458,5,5,True,True,True,True,2,2,2,"절단 폭 — Beam_Diameter가 만든 결과값, 동일 메커니즘 상속 (설계서 명시)",either,True,defect_related,response,,confirmed
Bottom_Kerf,0.0,0.0,0.9793637420633794,0.9793637420633794,True,True,0.05144631138952481,0.05144631138952481,6,6,True,True,True,True,2,2,2,절단 폭 — Kerf_Width_Profile과 동일 메커니즘 상속,either,True,defect_related,response,,confirmed
Laser_Centering_Position,0.0,0.0,0.6576619992233392,0.6576619992233392,True,True,0.03473167719169752,0.03473167719169752,7,7,True,True,True,True,2,2,2,정렬/센터링 — 빔 중심 이탈이 비대칭 절단·모서리 손상 유발,either,True,defect_related,fdc_laser,,confirmed
Vibration,0.0,0.0,0.9021842689016222,0.9021842689016222,True,True,0.024812233969243747,0.024812233969243747,8,8,True,True,True,True,2,2,2,기계적 불안정 — 스테이지 흔들림으로 나이프 자국형 대형 불량 (설계서 회의록 명시),up,True,defect_related,fdc_mechanical,"검증1·5: 유일한 원인 후보. 선행신호 잔존율 33.5%, 층 무관 강건(축소 2.3%)",confirmed
Focus,0.0,0.0,0.9371596401717359,0.9371596401717359,True,True,0.010608321873593974,0.010608321873593974,9,9,True,True,True,True,2,2,2,빔 집속 — 헤드온도 변화 시 굴절률 변화로 센터링 불량·Chipping·Depth/Width 이상 (설계서 PDF 명시),either,True,defect_related,fdc_thermal,,confirmed
Head_Temp,0.0,0.0,0.931890171066788,0.931890171066788,True,True,0.00453553957367628,0.00453553957367628,10,10,True,True,True,True,2,2,2,방열 능력 — Focus 이상을 매개로 간접 연결 (Focus 메커니즘의 상류 원인),up,True,defect_related,fdc_thermal,,confirmed
Power_Efficiency,0.0,0.0,-0.9505849180499495,-0.9505849180499495,True,True,0.10769796003568798,0.10769796003568798,1,1,True,True,True,True,2,2,2,"에너지 투입 계열 — Burn 전용, Chipping과 연결고리 없음",not_applicable,False,not_related_to_defect,fdc_laser,,candidate_needs_domain_review
Laser_Power,0.0,0.0,-0.9229446033921044,-0.9229446033921044,True,True,0.08594861205728019,0.08594861205728019,2,2,True,True,True,True,2,2,2,"에너지 투입 계열 — Burn 전용(열 축적), Chipping(기계적 파손)과 연결고리 없음",not_applicable,False,not_related_to_defect,fdc_laser,,candidate_needs_domain_review
Laser_Cleaning_Demand,0.0,0.0,-0.9122555728195826,-0.9122555728195826,True,True,0.07781284844247124,0.07781284844247124,3,3,True,True,True,True,2,2,2,"팀 공용 피처, 세정 계열 — Chipping과 무관",not_applicable,False,not_related_to_defect,engineered,,candidate_needs_domain_review
