column,p_fdr_is_particle_broad,p_fdr_is_particle_primary,cliffs_delta_is_particle_broad,cliffs_delta_is_particle_primary,univariate_flag_is_particle_broad,univariate_flag_is_particle_primary,importance_mean_is_particle_broad,importance_mean_is_particle_primary,rank_is_particle_broad,rank_is_particle_primary,tree_flag_is_particle_broad,tree_flag_is_particle_primary,univariate_any_label,tree_any_label,n_methods_agree,n_labels_univariate_flag,n_labels_tree_flag,domain_mechanism,domain_direction_hypothesis,has_domain_support,domain_status,subsystem,daeho_followup_status,verdict
Surface_Roughness,0.0,0.0,0.5513476751852491,0.6180465306202534,True,True,0.11790510152975771,0.12244584168120412,1,1,True,True,True,True,2,2,2,결과 공변 — particle이 표면에 남아 거칠기 상승. 원인 아니라 증상,up,True,defect_related,response,"검증1: 결과 공변 확정 — 선행신호 잔존율 7.5%. 원인 아님, 탐지지표로만",confirmed
Vibration,0.0,1.1175129214460685e-52,0.31707582414833313,0.08651160901648636,True,False,0.00569214060202119,0.004652803032179538,6,3,True,True,True,True,2,1,2,기계적 진동 — 진동 → 디브리 비산/재부착,up,True,defect_related,fdc_mechanical,"검증1·5: 유일한 원인 후보. 선행신호 잔존율 33.5%, 층 무관 강건(축소 2.3%)",confirmed
CLN_Flow,3.7904554722261005e-266,0.27574959773104246,-0.1459601602628704,-0.007574176717731307,False,False,0.051197339951506673,0.005419634565043716,2,2,True,True,False,True,1,0,2,세정 능력 — 세정 부족 시 디브리 잔류 (Particle의 1차 메커니즘),down,True,defect_related,fdc_cleaning,검증4: 기각 — particle 단독군 delta -0.005,candidate_weak_signal
Kerf_Width_Profile,7.953901765962071e-190,1.8529083120728642e-34,0.12305580980724562,-0.0692496877501032,False,False,-0.0005638048342150759,0.0036667376552876624,30,4,False,True,False,True,1,0,1,가공 제거량 — 더 넓게 깎을수록 디브리 발생량 증가,up,True,defect_related,response,,candidate_weak_signal
Top_Kerf,4.001853091787505e-204,1.7301170389667581e-28,0.1276587209809925,-0.06243925315412213,False,False,-0.0019142700151784098,0.003425844503665306,40,5,False,True,False,True,1,0,1,가공 제거량 — 위와 동일,up,True,defect_related,response,,candidate_weak_signal
Bottom_Kerf,1.3973147771391895e-212,1.2893931401512304e-25,0.130317046380382,-0.0589605476445626,False,False,-0.0015418096909699272,0.0030720140645294934,38,7,False,True,False,True,1,0,1,가공 제거량 — 위와 동일,up,True,defect_related,response,,candidate_weak_signal
Focus,1.6754963368759284e-156,2.8167190391852556e-39,0.1115676611134071,-0.07420406807357749,False,False,-0.0005015130023439673,0.001788894390132025,28,8,False,True,False,True,1,0,1,빔 품질/집속 — 빔 이상 시 비정상 어블레이션(스패터) 증가 가능성,either,True,defect_related,fdc_thermal,,candidate_weak_signal
Cleaning_Load_Ratio,7.171996483140024e-60,2.7849481715359417e-10,0.06836254976001044,0.03592885260054457,False,False,0.006386290114785206,0.0002723879259510416,5,28,True,False,False,True,1,0,1,팀 공용 피처 — 수요/능력 밸런스(승준님 핵심 가설),up,True,defect_related,engineered,검증3·4: 기각 — 비율 정의 4종 전부 무신호(최대 |delta| 0.012),candidate_weak_signal
CLN_Pressure,1.4212715079380543e-51,0.034761949231639895,-0.06329028581126483,0.01310424937510235,False,False,0.008999936353115945,-0.00019603934639645938,3,37,True,False,False,True,1,0,1,세정 능력 — 위와 동일,down,True,defect_related,fdc_cleaning,"검증4: 기각 — particle 단독군 delta -0.002, REM_COAT 전용(-0.536)",candidate_weak_signal
Cleaning_Capacity,8.878137972969276e-257,0.2985229955902582,-0.14332291892742655,0.007143138608104227,False,False,0.00725617475670286,-0.0004931737960667741,4,39,True,False,False,True,1,0,1,팀 공용 피처 — 세정 능력(CLN_Flow x CLN_Pressure x CLN_Time),down,True,defect_related,engineered,검증4: 기각 — particle 단독군 delta -0.004,candidate_weak_signal
Frequency,0.9058190617092393,0.830752257895377,0.000614085674199627,0.0014950349155125053,False,False,9.186914642060895e-05,0.003283738010070179,17,6,False,True,False,True,1,0,1,체류시간/열축적 계열 — 위와 동일,not_applicable,False,not_related_to_defect,fdc_motion,,insufficient_evidence
Head_Temp,1.021012009367873e-161,1.0366653246867652e-29,0.11345721949266485,-0.06389793932407173,False,False,-0.0009518544265097055,0.0015815629511154376,33,9,False,True,False,True,1,0,1,"방열 계열 — 열 축적 메커니즘 전용, Particle은 물질(디브리) 문제",not_applicable,False,not_related_to_defect,fdc_thermal,,insufficient_evidence
Cutting_Y_Index,0.6878797144689676,0.6371849905335946,-0.00228394495323192,-0.0034135478932246777,False,False,-0.00012450991331345676,0.0014707784786017327,24,10,False,True,False,True,1,0,1,정렬/센터링 계열(E유형) — 디브리 발생과 무관,not_applicable,False,not_related_to_defect,fdc_motion,,insufficient_evidence
Laser_Power,2.226938568725377e-158,4.231535234463828e-42,-0.11225450420189054,0.07702987634665392,False,False,-0.0012832238307116882,0.0014339235532517351,35,11,False,False,False,False,0,0,0,에너지 투입 — 에너지↑ → 제거 재질량↑ → 디브리 소스,up,True,defect_related,fdc_laser,,insufficient_evidence
Cooling_Flow,1.6251428004433247e-52,2.699012581720967e-08,-0.06389541243478603,0.031763331207956824,False,False,-0.0005608618033732286,0.0014180976402684193,29,12,False,False,False,False,0,0,0,방열 계열 — 위와 동일,not_applicable,False,not_related_to_defect,fdc_thermal,,insufficient_evidence
Laser_Cleaning_Demand,3.775393398423983e-164,3.920207506946927e-39,-0.11433086851934215,0.07398879273236236,False,False,-0.000622702802606312,0.0012837859984448307,31,13,False,False,False,False,0,0,0,팀 공용 피처 — 디브리 발생 수요(Laser_Power x Groove_Depth),up,True,defect_related,engineered,,insufficient_evidence
Coating_Uniformity,0.7009068558034605,0.4689953148793207,-0.0021119482595352013,0.005207734565692457,False,False,-8.895489311907533e-05,0.0010682199896312398,23,14,False,False,False,False,0,0,0,"설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실, 팀 미확정",unknown,False,team_undetermined,response,,insufficient_evidence
Power_Efficiency,9.6096108321285e-183,4.231535234463828e-42,-0.12070284000641274,0.07697120118364542,False,False,-0.0018364547697429642,0.0009513819447406961,39,15,False,False,False,False,0,0,0,에너지 변환 이상 — 효율 이상 시 비정상 어블레이션 가능성,either,True,defect_related,fdc_laser,,insufficient_evidence
Alignment_Time,0.19389565760163696,0.4808399049774345,0.006158331357114966,0.004985779736095264,False,False,0.0008338798542016171,0.0008939912215090662,12,16,False,False,False,False,0,0,0,체류시간 계열 — 위와 동일,not_applicable,False,not_related_to_defect,fdc_motion,,insufficient_evidence
Coating_Thickness,5.580382255678045e-13,0.27574959773104246,-0.03039803301840638,0.007511268584946995,False,False,0.004826331471396114,0.0008196991489174336,7,17,True,False,False,True,1,0,1,"설계서 G유형(미해결형) — 측정 시점(가공전/후) 불확실, 팀 미확정",unknown,False,team_undetermined,response,,insufficient_evidence
Package_Size_1,4.67791323683078e-131,2.2113612572844574e-29,-0.10195090515199168,0.06348969347905697,False,False,-0.0011901268898429685,0.0007999748530457429,34,18,False,False,False,False,0,0,0,정렬/센터링 계열(E유형) — 디브리 발생과 무관,not_applicable,False,not_related_to_defect,response,,insufficient_evidence
Package_Size_2,4.727631981626556e-109,9.747532224523464e-23,-0.09285241511834585,0.05533601649041553,False,False,0.0007416704977886602,0.0007355664410097828,13,19,False,False,False,False,0,0,0,정렬/센터링 계열(E유형) — 디브리 발생과 무관,not_applicable,False,not_related_to_defect,response,,insufficient_evidence
Coating_Flow,0.5549615893648099,0.16021898178851265,0.003102463637325137,0.009305316394613738,False,False,-0.00015803603544244741,0.0007021864650444779,26,20,False,False,False,False,0,0,0,코팅 이슈 — 코팅 불균일 → 박리가 particle 소스 가능성(약한 가설),down,True,defect_related,fdc_cleaning,,insufficient_evidence
Laser_Centering_Position,6.789080833920105e-128,3.983252588552587e-32,0.1006878254380037,-0.0666798463102547,False,False,-0.0014896236853376192,0.000683887184483147,37,21,False,False,False,False,0,0,0,"정렬/센터링 계열(E유형) — Chipping 메커니즘, 디브리 발생과 무관",not_applicable,False,not_related_to_defect,fdc_laser,,insufficient_evidence
Cooling_Thermal_Load,1.3734467216059608e-17,8.158915115442912e-06,0.035923035380311275,-0.02570926680786334,False,False,-0.0007209139340568882,0.0006582956370913181,32,22,False,False,False,False,0,0,0,"팀 공용 피처, 방열 계열 — 위와 동일",not_applicable,False,not_related_to_defect,engineered,,insufficient_evidence
Kerf_Angle,1.474902163571747e-133,8.675908781807415e-31,0.10294210579853313,-0.06513351237977638,False,False,0.0012197022272580794,0.0005856560877093575,9,23,True,False,False,True,1,0,1,정렬/센터링 계열(E유형) — 디브리 발생과 무관,not_applicable,False,not_related_to_defect,response,,insufficient_evidence
Cooling_Water_Temp,0.18471183047486958,0.4918486063289655,-0.0063389426334439225,-0.004649296873085906,False,False,-0.00014592754698118012,0.0005354268552685911,25,24,False,False,False,False,0,0,0,방열 계열 — 위와 동일,not_applicable,False,not_related_to_defect,fdc_thermal,,insufficient_evidence
Laser_Voltage,0.3457317178175667,0.8286321469059515,-0.004714063546541469,-0.0016608263099280318,False,False,-0.00034581047482088454,0.0004211430167095742,27,25,False,False,False,False,0,0,0,"설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,False,team_undetermined,fdc_laser,,insufficient_evidence
Maintenance_Count,0.006692407058405438,0.10410784956629537,-0.011903672508194352,-0.010512457760938343,False,False,5.123863255096506e-05,0.0003934726735261962,19,26,False,False,False,False,0,0,0,정비 이력 프록시 — 김시우님 decision_note가 Goal2 확인 가치 명시,either,True,defect_related,engineered,,insufficient_evidence
Beam_Diameter,0.4544957696135857,0.7725545358601309,0.003796713705632948,0.002337355555664944,False,False,-4.624350144639318e-05,0.0003617265808533554,21,27,False,False,False,False,0,0,0,빔 품질/집속 — 위와 동일 메커니즘,either,True,defect_related,fdc_laser,,insufficient_evidence
Cutting_X_Index,0.09542014015827534,0.9348094958325844,-0.00772830145162251,-0.0004574370540176842,False,False,0.0012952405160224557,0.00026303911415310376,8,29,True,False,False,True,1,0,1,정렬/센터링 계열(E유형) — 디브리 발생과 무관,not_applicable,False,not_related_to_defect,fdc_motion,,insufficient_evidence
Laser_Head_Remain_Time,0.8197647177643008,0.8027712406072804,-0.0011895568733690798,-0.0019860350147131722,False,False,0.00024013230822741427,0.00026233678935239275,15,30,False,False,False,False,0,0,0,헤드 노후 — 빔 품질 저하 → 스패터 증가 가능성,down,True,defect_related,fdc_cleaning,,insufficient_evidence
Feed_Speed,0.8197647177643008,0.4141870392085388,0.0011739248348545672,-0.005861677964494105,False,False,6.554284316183286e-05,0.00020367164677836575,18,31,False,False,False,False,0,0,0,체류시간 계열 — 위와 동일,not_applicable,False,not_related_to_defect,fdc_motion,,insufficient_evidence
Cutting_Offset,5.936672270054512e-127,3.3148889442047085e-31,0.10030174015100934,-0.06563569937881941,False,False,0.00041069833033371045,0.00018226045936680645,14,32,False,False,False,False,0,0,0,정렬/센터링 계열(E유형) — 디브리 발생과 무관,not_applicable,False,not_related_to_defect,response,,insufficient_evidence
Package_Size_3,5.364154595560597e-103,6.262390839487154e-28,0.09018777770219821,-0.06172957885899877,False,False,-7.630305383729738e-05,0.00017159795918724184,22,33,False,False,False,False,0,0,0,정렬/센터링 계열(E유형) — 디브리 발생과 무관,not_applicable,False,not_related_to_defect,response,,insufficient_evidence
Process_Time,0.9188747680983825,0.8798179834632787,0.0004256312664894235,0.0010018702454879236,False,False,9.556504069975583e-05,8.269906494188424e-05,16,34,False,False,False,False,0,0,0,체류시간 계열 — 위와 동일,not_applicable,False,not_related_to_defect,fdc_motion,,insufficient_evidence
CLN_Time,0.3887316400963657,0.4918486063289655,0.004319863744975505,0.004730254824348856,False,False,0.0010647489186361898,-8.173689493192748e-05,11,35,False,False,False,False,0,0,0,세정 능력 — 위와 동일,down,True,defect_related,fdc_cleaning,,insufficient_evidence
Package_Size_4,1.531996920178817e-139,2.485520050261035e-28,0.10526116579818146,-0.0622245248197516,False,False,0.001068017046958451,-0.00015751125678945913,10,36,True,False,False,True,1,0,1,정렬/센터링 계열(E유형) — 디브리 발생과 무관,not_applicable,False,not_related_to_defect,response,,insufficient_evidence
Laser_Current,0.800843366334556,0.4141870392085388,-0.0014937425903335244,-0.00579278371907066,False,False,3.7537309671916334e-05,-0.00020059714647879256,20,38,False,False,False,False,0,0,0,"설계서 F유형(불확실형) — 전기적 제어수치, 실패모드 근거 부족(팀 미확정)",unknown,False,team_undetermined,fdc_laser,,insufficient_evidence
Groove_Depth,5.730011952487927e-154,4.492601746313087e-33,-0.11063926026606707,0.06774286497782889,False,False,-0.0014270385499887276,-0.0007059277093011111,36,40,False,False,False,False,0,0,0,가공 제거량 — 더 깊게 깎을수록 디브리 발생량 증가,up,True,defect_related,response,,insufficient_evidence
