target,column,delta_original,delta_r1,delta_combined
CHIP,Kerf_Width_Profile,0.9998,0.96,0.9825
CHIP,Bottom_Kerf,0.9446,0.9565,0.9794
CHIP,Top_Kerf,0.909,0.9537,0.978
CHIP,Power_Efficiency,-0.4454,-0.9246,-0.9506
CHIP,Focus,-0.1815,0.8721,0.9372
CHIP,Head_Temp,0.0421,0.8665,0.9319
CHIP,Laser_Power,-0.9792,-0.9071,-0.9229
CHIP,Laser_Cleaning_Demand,-0.9827,-0.8965,-0.9123
CHIP,Vibration,0.3447,0.8694,0.9022
CHIP,Kerf_Angle,0.1714,0.7653,0.8246
CHIP,Groove_Depth,-0.834,-0.7863,-0.7993
CHIP,Laser_Centering_Position,-0.012,0.6478,0.6577
CHIP,Cutting_Offset,-0.0663,0.6472,0.6566
CHIP,Package_Size_1,-0.169,-0.6388,-0.6479
CHIP,Package_Size_4,0.1907,0.6368,0.6466
CHIP,Package_Size_2,0.4005,-0.57,-0.5788
CHIP,Package_Size_3,0.0493,0.5641,0.5739
CHIP,Cleaning_Load_Ratio,-0.6781,-0.5318,-0.5112
CHIP,Surface_Roughness,0.0691,0.4848,0.5034
CHIP,Cooling_Flow,0.3711,-0.4623,-0.4992
CHIP,Cooling_Thermal_Load,0.2439,0.3002,0.3257
CHIP,CLN_Flow,0.0815,0.1559,0.1327
CHIP,Cleaning_Capacity,0.4398,0.1325,0.0773
CHIP,Laser_Current,-0.2395,0.0111,0.009
CHIP,Frequency,-0.1316,-0.0031,-0.0041
CHIP,Cooling_Water_Temp,0.5051,-0.0055,-0.0036
CHIP,Alignment_Time,-0.3995,-0.0056,-0.0035
CHIP,Laser_Head_Remain_Time,-0.1917,-0.0032,-0.0034
CHIP,Feed_Speed,-0.3156,0.0018,0.0025
CHIP,Cutting_X_Index,-0.0711,-0.0043,-0.0023
CHIP,Coating_Flow,-0.2531,-0.0016,-0.0021
CHIP,Maintenance_Count,0.1551,0.0016,-0.0016
CHIP,CLN_Time,0.2748,0.0003,-0.0009
CHIP,Laser_Voltage,-0.411,0.0039,0.0007
CHIP,Process_Time,-0.038,0.0002,-0.0007
CHIP,Beam_Diameter,-0.1192,0.0014,0.0006
CHIP,Cutting_Y_Index,0.3356,-0.0025,0.0003
CHIP,Coating_Thickness,0.0022,-0.0026,0.0002
CHIP,Coating_Uniformity,-0.0603,0.0005,-0.0001
CHIP,CLN_Pressure,0.6237,-0.0002,0.0
