target,column,delta_original,delta_r1,delta_combined
PARTICLE,Surface_Roughness,0.6103,0.4896,0.5513
PARTICLE,Vibration,0.1936,0.3307,0.3171
PARTICLE,CLN_Flow,-0.0304,-0.2061,-0.146
PARTICLE,Cleaning_Capacity,-0.0344,-0.1937,-0.1433
PARTICLE,Bottom_Kerf,0.0244,0.1389,0.1303
PARTICLE,Top_Kerf,0.0207,0.1368,0.1277
PARTICLE,Kerf_Width_Profile,0.014,0.1332,0.1231
PARTICLE,Power_Efficiency,-0.0156,-0.1298,-0.1207
PARTICLE,Laser_Cleaning_Demand,-0.0083,-0.1291,-0.1143
PARTICLE,Head_Temp,0.0111,0.1013,0.1135
PARTICLE,Laser_Power,-0.0046,-0.1279,-0.1123
PARTICLE,Focus,0.0044,0.1019,0.1116
PARTICLE,Groove_Depth,-0.0072,-0.1271,-0.1106
PARTICLE,Package_Size_4,0.0139,0.1217,0.1053
PARTICLE,Kerf_Angle,-0.0053,0.0967,0.1029
PARTICLE,Package_Size_1,-0.0079,-0.1203,-0.102
PARTICLE,Laser_Centering_Position,0.0041,0.1199,0.1007
PARTICLE,Cutting_Offset,0.0032,0.12,0.1003
PARTICLE,Package_Size_2,0.0016,-0.1146,-0.0929
PARTICLE,Package_Size_3,-0.0009,0.1095,0.0902
PARTICLE,Cleaning_Load_Ratio,0.0326,0.0951,0.0684
PARTICLE,Cooling_Flow,-0.0184,-0.0498,-0.0639
PARTICLE,CLN_Pressure,-0.0901,-0.0478,-0.0633
PARTICLE,Cooling_Thermal_Load,0.0036,0.0274,0.0359
PARTICLE,Coating_Thickness,-0.0432,-0.0241,-0.0304
PARTICLE,Maintenance_Count,-0.0131,-0.01,-0.0119
PARTICLE,Cutting_X_Index,-0.0044,-0.0105,-0.0077
PARTICLE,Cooling_Water_Temp,-0.0088,-0.0054,-0.0063
PARTICLE,Alignment_Time,0.0151,0.0002,0.0062
PARTICLE,Laser_Voltage,-0.0054,-0.0033,-0.0047
PARTICLE,CLN_Time,-0.0015,0.0085,0.0043
PARTICLE,Beam_Diameter,0.008,0.0015,0.0038
PARTICLE,Coating_Flow,0.0043,0.0027,0.0031
PARTICLE,Cutting_Y_Index,-0.0097,0.0011,-0.0023
PARTICLE,Coating_Uniformity,0.0006,-0.0036,-0.0021
PARTICLE,Laser_Current,-0.0042,0.0004,-0.0015
PARTICLE,Laser_Head_Remain_Time,-0.0103,0.0047,-0.0012
PARTICLE,Feed_Speed,0.0087,-0.0039,0.0012
PARTICLE,Frequency,-0.0062,0.0054,0.0006
PARTICLE,Process_Time,0.0065,-0.0029,0.0004
