case,column,delta_B_combined_ok_used,delta_C_all_rows,verdict_changed
CHIP broad,Laser_Power,-0.9229,-0.9229,False
CHIP broad,Power_Efficiency,-0.9506,-0.9506,False
CHIP broad,Laser_Centering_Position,0.6577,0.6577,False
CHIP broad,Laser_Current,0.009,0.0091,False
CHIP broad,Laser_Voltage,0.0007,0.0008,False
CHIP broad,Beam_Diameter,0.0006,0.0007,False
CHIP broad,Feed_Speed,0.0025,0.0025,False
CHIP broad,Frequency,-0.0041,-0.0041,False
CHIP broad,Alignment_Time,-0.0035,-0.0036,False
CHIP broad,Process_Time,-0.0007,-0.0006,False
CHIP broad,Cutting_X_Index,-0.0023,-0.0023,False
CHIP broad,Cutting_Y_Index,0.0003,0.0003,False
CHIP broad,Head_Temp,0.9319,0.9319,False
CHIP broad,Cooling_Flow,-0.4992,-0.4992,False
CHIP broad,Cooling_Water_Temp,-0.0036,-0.0036,False
CHIP broad,Focus,0.9372,0.9371,False
CHIP broad,CLN_Flow,0.1327,0.1326,False
CHIP broad,CLN_Pressure,0.0,0.0001,False
CHIP broad,CLN_Time,-0.0009,-0.0008,False
CHIP broad,Coating_Flow,-0.0021,-0.0022,False
CHIP broad,Laser_Head_Remain_Time,-0.0034,-0.0033,False
CHIP broad,Vibration,0.9022,0.9022,False
CHIP broad,Kerf_Width_Profile,0.9825,0.9825,False
CHIP broad,Top_Kerf,0.978,0.978,False
CHIP broad,Bottom_Kerf,0.9794,0.9793,False
CHIP broad,Kerf_Angle,0.8246,0.8246,False
CHIP broad,Groove_Depth,-0.7993,-0.7992,False
CHIP broad,Package_Size_1,-0.6479,-0.6478,False
CHIP broad,Package_Size_2,-0.5788,-0.5788,False
CHIP broad,Package_Size_3,0.5739,0.5739,False
CHIP broad,Package_Size_4,0.6466,0.6466,False
CHIP broad,Coating_Thickness,0.0002,0.0,False
CHIP broad,Coating_Uniformity,-0.0001,-0.0001,False
CHIP broad,Cutting_Offset,0.6566,0.6566,False
CHIP broad,Surface_Roughness,0.5034,0.5033,False
CHIP broad,Cooling_Thermal_Load,0.3257,0.3257,False
CHIP broad,Laser_Cleaning_Demand,-0.9123,-0.9122,False
CHIP broad,Cleaning_Capacity,0.0773,0.0773,False
CHIP broad,Cleaning_Load_Ratio,-0.5112,-0.511,False
CHIP broad,Maintenance_Count,-0.0016,-0.0019,False
