case,column,delta_B_combined_ok_used,delta_C_all_rows,verdict_changed
PARTICLE broad,Laser_Power,-0.1123,-0.1123,False
PARTICLE broad,Power_Efficiency,-0.1207,-0.1208,False
PARTICLE broad,Laser_Centering_Position,0.1007,0.1007,False
PARTICLE broad,Laser_Current,-0.0015,-0.0016,False
PARTICLE broad,Laser_Voltage,-0.0047,-0.0046,False
PARTICLE broad,Beam_Diameter,0.0038,0.0038,False
PARTICLE broad,Feed_Speed,0.0012,0.0011,False
PARTICLE broad,Frequency,0.0006,0.0007,False
PARTICLE broad,Alignment_Time,0.0062,0.0063,False
PARTICLE broad,Process_Time,0.0004,0.0004,False
PARTICLE broad,Cutting_X_Index,-0.0077,-0.0075,False
PARTICLE broad,Cutting_Y_Index,-0.0023,-0.0022,False
PARTICLE broad,Head_Temp,0.1135,0.1134,False
PARTICLE broad,Cooling_Flow,-0.0639,-0.0639,False
PARTICLE broad,Cooling_Water_Temp,-0.0063,-0.0063,False
PARTICLE broad,Focus,0.1116,0.1116,False
PARTICLE broad,CLN_Flow,-0.146,-0.146,False
PARTICLE broad,CLN_Pressure,-0.0633,-0.0632,False
PARTICLE broad,CLN_Time,0.0043,0.0041,False
PARTICLE broad,Coating_Flow,0.0031,0.0032,False
PARTICLE broad,Laser_Head_Remain_Time,-0.0012,-0.0011,False
PARTICLE broad,Vibration,0.3171,0.317,False
PARTICLE broad,Kerf_Width_Profile,0.1231,0.1231,False
PARTICLE broad,Top_Kerf,0.1277,0.1276,False
PARTICLE broad,Bottom_Kerf,0.1303,0.1302,False
PARTICLE broad,Kerf_Angle,0.1029,0.1029,False
PARTICLE broad,Groove_Depth,-0.1106,-0.1106,False
PARTICLE broad,Package_Size_1,-0.102,-0.1019,False
PARTICLE broad,Package_Size_2,-0.0929,-0.0928,False
PARTICLE broad,Package_Size_3,0.0902,0.0901,False
PARTICLE broad,Package_Size_4,0.1053,0.1052,False
PARTICLE broad,Coating_Thickness,-0.0304,-0.0304,False
PARTICLE broad,Coating_Uniformity,-0.0021,-0.0021,False
PARTICLE broad,Cutting_Offset,0.1003,0.1003,False
PARTICLE broad,Surface_Roughness,0.5513,0.5511,False
PARTICLE broad,Cooling_Thermal_Load,0.0359,0.0359,False
PARTICLE broad,Laser_Cleaning_Demand,-0.1143,-0.1143,False
PARTICLE broad,Cleaning_Capacity,-0.1433,-0.1433,False
PARTICLE broad,Cleaning_Load_Ratio,0.0684,0.0685,False
PARTICLE broad,Maintenance_Count,-0.0119,-0.0121,False
