dataset,variant,column,n_group,n_rest,cliffs_delta,p_value,note
original,A_jh_primary_vs_rest,Laser_Power,4,99996,-0.9792,0.0006942935783298218,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Power_Efficiency,4,99996,-0.4454,0.12285728746603805,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Laser_Centering_Position,4,99996,-0.012,0.9669727901762473,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Laser_Current,4,99996,-0.2395,0.4067772693264936,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Laser_Voltage,4,99996,-0.411,0.154531445880808,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Beam_Diameter,4,99996,-0.1192,0.6795902227003134,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Feed_Speed,4,99996,-0.3156,0.2742260544966669,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Frequency,4,99996,-0.1316,0.6483934325661336,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Alignment_Time,4,99996,-0.3995,0.16636947368261967,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Process_Time,4,99996,-0.038,0.8951611430183789,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cutting_X_Index,4,99996,-0.0711,0.8054489884561149,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cutting_Y_Index,4,99996,0.3356,0.24503567277459914,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Head_Temp,4,99996,0.0421,0.8839854826025454,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cooling_Flow,4,99996,0.3711,0.19856775411472116,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cooling_Water_Temp,4,99996,0.5051,0.08017745292934192,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Focus,4,99996,-0.1815,0.5296131508688979,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,CLN_Flow,4,99996,0.0815,0.7778308770894211,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,CLN_Pressure,4,99996,0.6237,0.030738209134807095,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,CLN_Time,4,99996,0.2748,0.3412148894808523,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Coating_Flow,4,99996,-0.2531,0.3807111423447994,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Laser_Head_Remain_Time,4,99996,-0.1917,0.5066513209664767,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Vibration,4,99996,0.3447,0.23242097422073305,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
