dataset,variant,column,n_group,n_rest,cliffs_delta,p_value,note
original,A_jh_primary_vs_rest,Laser_Power,6455,93545,-0.0131,0.07772173318467643,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Power_Efficiency,6455,93545,-0.0197,0.007944825850803883,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Laser_Centering_Position,6455,93545,0.0081,0.27656668576664434,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Laser_Current,6455,93545,-0.0051,0.49397547008693543,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Laser_Voltage,6455,93545,-0.0013,0.8618700378916446,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Beam_Diameter,6455,93545,0.0054,0.4693362155871942,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Feed_Speed,6455,93545,0.0028,0.7067901396429359,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Frequency,6455,93545,-0.004,0.5870228745285213,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Alignment_Time,6455,93545,0.0141,0.05705493532559236,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Process_Time,6455,93545,0.006,0.4227343621839187,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cutting_X_Index,6455,93545,-0.0027,0.7200098074408952,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cutting_Y_Index,6455,93545,-0.0107,0.14859945204919403,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Head_Temp,6455,93545,0.0174,0.019175770442021723,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cooling_Flow,6455,93545,-0.0169,0.023240384969513778,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Cooling_Water_Temp,6455,93545,-0.0121,0.10290718073261251,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Focus,6455,93545,0.0076,0.3052590537349086,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,CLN_Flow,6455,93545,-0.001,0.8880179814686553,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,CLN_Pressure,6455,93545,0.0113,0.12735875218491052,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,CLN_Time,6455,93545,-0.0024,0.7428639448727018,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
original,A_jh_primary_vs_rest,Coating_Flow,6455,93545,0.0046,0.5363534617337407,진혁님 방법 — 비교군 = 정상 + 다른 불량 전부 (판정 근거)
