target,model,factor,layer,process_stage,is_laser_grooving,shap_rank,mean_abs_shap,mean_signed_shap,value_shap_corr,shap_direction,model_roc_auc,model_pr_auc,n_features
Chipping,A_cause_FDConly,Head_Temp,FDC,2_laser_grooving,True,1,1.979015,-1.668426,0.857,high_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Laser_Power,FDC,2_laser_grooving,True,2,1.18044,-0.964131,-0.7736,low_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Power_Efficiency,FDC,2_laser_grooving,True,3,0.842172,-0.600046,-0.7751,low_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Laser_Centering_Position,FDC,2_laser_grooving,True,4,0.227612,-0.145966,0.5959,high_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Vibration,FDC,0_equipment_mechanical,False,5,0.21186,-0.140339,0.4836,high_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,CLN_Flow,FDC,3_cleaning,False,6,0.122452,-0.091917,0.7967,high_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Frequency,FDC,2_laser_grooving,True,7,0.107638,-0.06104,-0.2639,low_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Cooling_Flow,FDC,unassigned,False,8,0.098864,-0.076984,-0.4334,low_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Coating_Flow,FDC,1_coating,False,9,0.093604,-0.048138,-0.4282,low_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Feed_Speed,FDC,unassigned,False,10,0.088963,-0.046827,-0.4865,low_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,CLN_Pressure,FDC,3_cleaning,False,11,0.085422,-0.050445,-0.0231,nonlinear_or_none,0.9649,0.5712,23
Chipping,A_cause_FDConly,Process_Time,FDC,unassigned,False,12,0.084194,-0.041124,-0.0062,nonlinear_or_none,0.9649,0.5712,23
Chipping,A_cause_FDConly,Alignment_Time,FDC,unassigned,False,13,0.083177,-0.057025,-0.1637,low_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Cutting_X_Index,FDC,unassigned,False,14,0.081794,-0.046656,0.4398,high_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Laser_Current,FDC,2_laser_grooving,True,15,0.079582,-0.047721,0.0061,nonlinear_or_none,0.9649,0.5712,23
Chipping,A_cause_FDConly,Cleaning_Capacity,FDC,3_cleaning,False,16,0.073562,-0.0505,0.302,high_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Cutting_Y_Index,FDC,unassigned,False,17,0.071285,-0.049164,-0.3267,low_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Beam_Diameter,FDC,2_laser_grooving,True,18,0.070924,-0.040297,0.2653,high_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,CLN_Time,FDC,3_cleaning,False,19,0.070813,-0.029585,0.2464,high_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Cooling_Thermal_Load,FDC,unassigned,False,20,0.07043,-0.034549,0.3947,high_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Cooling_Water_Temp,FDC,unassigned,False,21,0.070314,-0.041715,0.1668,high_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Laser_Voltage,FDC,2_laser_grooving,True,22,0.064204,-0.041248,-0.3563,low_is_risky,0.9649,0.5712,23
Chipping,A_cause_FDConly,Laser_Head_Remain_Time,FDC,2_laser_grooving,True,23,0.056024,-0.031837,0.1477,high_is_risky,0.9649,0.5712,23
Chipping,B_monitor_full,Kerf_Width_Profile,Response,2R_grooving_result,True,1,6.141639,-5.496047,0.8807,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Top_Kerf,Response,2R_grooving_result,True,2,0.4024,-0.366139,0.6824,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Bottom_Kerf,Response,2R_grooving_result,True,3,0.215969,-0.133576,0.7546,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Head_Temp,FDC,2_laser_grooving,True,4,0.150405,-0.105013,0.3404,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Cleaning_Demand,Response,2R_grooving_result,True,5,0.147128,-0.079828,-0.193,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Power_Efficiency,FDC,2_laser_grooving,True,6,0.140574,-0.0892,-0.595,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Laser_Power,FDC,2_laser_grooving,True,7,0.127484,-0.10645,-0.4459,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Surface_Roughness,Response,unassigned,False,8,0.115644,0.005896,-0.3674,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Kerf_Angle,Response,2R_grooving_result,True,9,0.111727,-0.005216,0.2693,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Vibration,FDC,0_equipment_mechanical,False,10,0.094899,-0.038036,0.1459,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Package_Size_4,Response,unassigned,False,11,0.081824,-0.044494,-0.0376,nonlinear_or_none,0.9686,0.6159,39
Chipping,B_monitor_full,Groove_Depth,Response,2R_grooving_result,True,12,0.080347,-0.068948,-0.5143,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,CLN_Flow,FDC,3_cleaning,False,13,0.073316,-0.057263,0.6841,high_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Cleaning_Load_Ratio,Response,3_cleaning,False,14,0.071853,-0.051118,-0.5568,low_is_risky,0.9686,0.6159,39
Chipping,B_monitor_full,Beam_Diameter,FDC,2_laser_grooving,True,15,0.071495,-0.041357,0.4188,high_is_risky,0.9686,0.6159,39
